Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
1233,P522562.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522562,2,1,seal identification
1234,P522562.2.2,Nabu-bel-šumati[1]PN,{m}{d}PA-EN-MU.MEŠ,Nabu-bel-šumati,Nabu-bel-šumati,1,PN,"['𒁹', '𒀭', '𒉺', '𒂗', '𒈬', '𒈨𒌍']",𒁹𒀭𒉺𒂗𒈬𒈨𒌍,{m}{d}PA-EN-MU.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522562,2,2,seal identification
1235,P522562.3.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522562,3,1,seal identification
1236,P522562.3.2,Nabu-šallim-ahhe[1]PN,{m}{d}PA-šal-lim-PAB.MEŠ,Nabu-šallim-ahhe,Nabu-šallim-ahhe,1,PN,"['𒁹', '𒀭', '𒉺', '𒊩', '𒅆', '𒉽', '𒈨𒌍']",𒁹𒀭𒉺𒊩𒅆𒉽𒈨𒌍,{m}{d}PA-šal-lim-PAB.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522562,3,2,seal identification
1237,P522562.4.1,gimru[total]N,PAB,gimru,gimru,total,N,['𒉽'],𒉽,PAB,['complete'],0.0,,,P522562,4,1,seal identification
1238,P522562.4.2,n,02,,,,n,['0₂'],0₂,02,['complete'],0.0,,NUMBER,P522562,4,2,seal identification
1239,P522562.4.3,amēlē[man]N,LU₂.MEŠ,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍']",𒇽𒈨𒌍,LU₂.MEŠ,"['complete', 'complete']",0.0,,,P522562,4,3,seal identification
1240,P522562.4.4,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522562,4,4,seal identification
1241,P522562.4.5,amēli[man]N,LU₂,amēli,awīlu,man,N,['𒇽'],𒇽,LU₂,['complete'],0.0,,,P522562,4,5,seal identification
1242,P522562.4.6,tadāni[giving]'N,SUM-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,,,P522562,4,6,seal identification
1243,P522562.8.1,Ah-imme[1]PN,{m}PAB-im-me-e,Ah-imme,Ah-imme,1,PN,"['𒁹', '𒉽', '𒅎', '𒈨', '𒂊']",𒁹𒉽𒅎𒈨𒂊,{m}PAB-im-me-e,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522562,8,1,object sold
1244,P522562.8.2,aškāpu[leatherworker]N,{lu₂}AŠGAB,aškāpu,aškāpu,leatherworker,N,"['𒇽', '𒀿']",𒇽𒀿,{LU₂}AŠGAB,"['complete', 'complete']",0.0,,,P522562,8,2,object sold
1245,P522562.8.3,urdušunu[servant]N,ARAD-šu₂-nu,urdušunu,ardu,servant,N,"['𒀴', '𒋙', '𒉡']",𒀴𒋙𒉡,ARAD-šu₂-nu,"['complete', 'complete', 'complete']",0.0,,,P522562,8,3,object sold
1246,P522562.9.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,,P522562,9,1,initiation of transaction
1247,P522562.9.2,La-qepi[1]PN,{m}la-qe-pu,La-qepi,La-qepu,1,PN,"['𒁹', '𒆷', '𒆥', '𒁍']",𒁹𒆷𒆥𒁍,{m}la-qe-pu,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522562,9,2,initiation of transaction
1248,P522562.10.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,,P522562,10,1,completion of transaction
1249,P522562.10.2,pān[presence],IGI,pān,pānu,presence,N,['𒅆'],𒅆,IGI,['complete'],0.0,,,P522562,10,2,completion of transaction
1250,P522562.10.3,amēlē[man]N,LU₂.MEŠ,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍']",𒇽𒈨𒌍,LU₂.MEŠ,"['complete', 'complete']",0.0,,,P522562,10,3,completion of transaction
1251,P522562.10.4,annūte[this]DP,an-nu-te,annūte,annû,this,DP,"['𒀭', '𒉡', '𒋼']",𒀭𒉡𒋼,an-nu-te,"['complete', 'complete', 'complete']",0.0,,,P522562,10,4,completion of transaction
1252,P522562.11.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522562,11,1,price
1253,P522562.11.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,,P522562,11,2,price
1254,P522562.11.3,n,30,,,,n,['𒌍'],𒌍,30,['complete'],0.0,,NUMBER,P522562,11,3,price
1255,P522562.11.4,šiqil[a unit of weight]N,GIN₂,šiqil,šiqlu,a unit of weight,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,,,P522562,11,4,price
1256,P522562.11.5,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,,P522562,11,5,price
1257,P522562.11.6,izzirip[purchase]V,i-zi-rip,izzirip,zarāpu,purchase,V,"['𒄿', '𒍣', '𒆗']",𒄿𒍣𒆗,i-zi-rip,"['complete', 'complete', 'complete']",0.0,,,P522562,11,6,completion of transaction
1258,P522562.12.1,issiqi[purchase]V,i-si-qi,issiqi,leqû,purchase,V,"['𒄿', '𒋛', '𒆥']",𒄿𒋛𒆥,i-si-qi,"['complete', 'complete', 'complete']",0.0,,,P522562,12,1,completion of transaction
1259,P522562.12.2,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,,P522562,12,2,confirmation of transfer 1
1260,P522562.12.3,gammur[completed]AJ,ga-mur,gammur,gammuru,completed,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,,,P522562,12,3,confirmation of transfer 1
1261,P522562.12.4,tadin[paid]AJ,ta-din,tadin,tadnu,paid,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,,,P522562,12,4,confirmation of transfer 1
1262,P522562.13.1,amēlu[man]N,⸢LU₂⸣,amēlu,awīlu,man,N,['𒇽'],𒇽,⸢LU₂⸣,['damaged'],0.5,,,P522562,13,1,confirmation of transfer 2
1263,P522562.13.2,šuātu[that]'DP,šu-a-tu₂,šuātu,šuāti,that,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,,,P522562,13,2,confirmation of transfer 2
1264,P522562.13.3,zarip[purchased]AJ,za-rip,zarip,zarpu,purchased,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,,,P522562,13,3,confirmation of transfer 2
1265,P522562.13.4,laqi[acquired]AJ,la-qi,laqi,leqû,acquired,AJ,"['𒆷', '𒆥']",𒆷𒆥,la-qi,"['complete', 'complete']",0.0,,,P522562,13,4,confirmation of transfer 2
1266,P522562.14.1,tuāru[revocation]'N,tu-a-ru,tuāru,târu,revocation,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,,,P522562,14,1,exclusion of litigation
1267,P522562.14.2,dēnu[lawsuit]N,de-e-nu,dēnu,dīnu,lawsuit,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,,,P522562,14,2,exclusion of litigation
1268,P522562.14.3,dabābu[litigation]'N,DUG₄.DUG₄,dabābu,dabābu,litigation,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,,,P522562,14,3,exclusion of litigation
1269,P522562.14.4,laššu[(there) is not]V,la-aš₂-šu₂,laššu,laššu,(there) is not,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,,,P522562,14,4,exclusion of litigation
1270,P522562.15.1,mannu[whoever]'XP,man-nu,mannu,mannu,whoever,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,,,P522562,15,1,penalties for litigation: contravention
1271,P522562.15.2,ša[whoever]REL,ša,ša,ša,whoever,REL,['𒊭'],𒊭,ša,['complete'],0.0,,,P522562,15,2,penalties for litigation: contravention
1272,P522562.15.3,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522562,15,3,penalties for litigation: contravention
1273,P522562.15.4,urkiš[later]AV,ur-kiš,urkiš,urkiš,later,AV,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,,,P522562,15,4,penalties for litigation: contravention
1274,P522562.15.5,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522562,15,5,penalties for litigation: contravention
1275,P522562.15.6,matīma[ever]AV,ma-ti-ma,matīma,matīma,ever,AV,"['𒈠', '𒋾', '𒈠']",𒈠𒋾𒈠,ma-ti-ma,"['complete', 'complete', 'complete']",0.0,,,P522562,15,6,penalties for litigation: contravention
1276,P522562.16.1,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,,P522562,16,1,penalties for litigation: contravention
1277,P522562.16.2,amēlē[man]N,LU₂.MEŠ,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍']",𒇽𒈨𒌍,LU₂.MEŠ,"['complete', 'complete']",0.0,,,P522562,16,2,penalties for litigation: contravention
1278,P522562.16.3,annūti[this]DP,an-nu-ti,annūti,annû,this,DP,"['𒀭', '𒉡', '𒋾']",𒀭𒉡𒋾,an-nu-ti,"['complete', 'complete', 'complete']",0.0,,,P522562,16,3,penalties for litigation: contravention
1279,P522562.17.1,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,,P522562,17,1,penalties for litigation: contravention
1280,P522562.17.2,marʾēšunu[son]N,DUMU.MEŠ-šu₂-nu,marʾēšunu,māru,son,N,"['𒌉', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒈨𒌍𒋙𒉡,DUMU.MEŠ-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,,,P522562,17,2,penalties for litigation: contravention
1281,P522562.17.3,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,,P522562,17,3,penalties for litigation: contravention
1282,P522562.17.4,+bēl-ilki[labour-duty superior]N$bēl-ilkišunu,DUMU.DUMU.MEŠ-šu₂-nu,bēl-ilkišunu,bēl-ilki,labour-duty superior,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒌉𒈨𒌍𒋙𒉡,DUMU.DUMU.MEŠ-šu₂-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,P522562,17,4,penalties for litigation: contravention
1283,P522562.18.1,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,,P522562,18,1,penalties for litigation: contravention
1284,P522562.18.2,pāhussunu[governor]N,{lu₂}EN.NAM-su-nu,pāhussunu,pīhātu,governor,N,"['𒇽', '𒂗', '𒉆', '𒋢', '𒉡']",𒇽𒂗𒉆𒋢𒉡,{LU₂}EN.NAM-su-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,P522562,18,2,penalties for litigation: contravention
