Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
1069,P522457.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522457,2,1,,seal identification
1070,P522457.2.2,%akk-x-neoass:{m}sa-la-ma-a-nu=,{m}[sa-la-ma-a-nu],"['𒁹', '𒊓', '𒆷', '𒈠', '𒀀', '𒉡']",𒁹𒊓𒆷𒈠𒀀𒉡,{m}[sa-la-ma-a-nu],"['complete', 'missing', 'missing', 'missing', 'missing', 'missing']",0.83,P522457,2,2,,seal identification
1071,P522457.3.1,%akk-x-neoass:DUMU=,DUMU,['𒌉'],𒌉,DUMU,['complete'],0.0,P522457,3,1,,seal identification
1072,P522457.3.2,%akk-x-neoass:{m}ha-di-x-x=,{m}ha-di-[x-x,"['𒁹', '𒄩', '𒁲', 'X', 'X']",𒁹𒄩𒁲XX,{m}ha-di-[x-x],"['complete', 'complete', 'complete', 'missing', 'missing']",0.4,P522457,3,2,,seal identification
1073,P522457.3.3,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,P522457,3,3,,seal identification
1074,P522457.4.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522457,4,1,,seal identification
1075,P522457.4.2,%akk-x-neoass:ARAD=,ARAD,['𒀴'],𒀴,ARAD,['complete'],0.0,P522457,4,2,,seal identification
1076,P522457.4.3,%akk-x-neoass:SUM-ni=,[SUM-ni],"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,P522457,4,3,,seal identification
1077,P522457.8.1,%akk-x-neoass:{m}{d}U.GUR-DU₃=,{m}{d}U.GUR-DU₃,"['𒁹', '𒀭', '𒌋', '𒄥', '𒆕']",𒁹𒀭𒌋𒄥𒆕,{m}{d}U.GUR-DU₃,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522457,8,1,,object sold
1078,P522457.8.2,%akk-x-neoass:ARAD-u-šu₂=,ARAD-u-šu₂,"['𒀴', '𒌋', '𒋙']",𒀴𒌋𒋙,ARAD-u-šu₂,"['complete', 'complete', 'complete']",0.0,P522457,8,2,,object sold
1079,P522457.9.1,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522457,9,1,,object sold
1080,P522457.9.2,%akk-x-neoass:{m}sa-la-ma-nu=,{m}sa-la-ma-nu,"['𒁹', '𒊓', '𒆷', '𒈠', '𒉡']",𒁹𒊓𒆷𒈠𒉡,{m}sa-la-ma-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522457,9,2,,object sold
1081,P522457.10.1,%akk-x-neoass:u₂-piš-u-ma=,u₂-piš-((u))-ma,"['𒌑', '𒄫', '𒌋', '𒈠']",𒌑𒄫𒌋𒈠,u₂-piš-u-ma,"['complete', 'complete', 'complete', 'complete']",0.0,P522457,10,1,,initiation of transaction
1082,P522457.10.2,%akk-x-neoass:{m}GIN-aš-šur=,{m}GIN-aš-šur,"['𒁹', '𒁺', '𒀸', '𒋩']",𒁹𒁺𒀸𒋩,{m}GIN-aš-šur,"['complete', 'complete', 'complete', 'complete']",0.0,P522457,10,2,,initiation of transaction
1083,P522457.11.1,%akk-x-neoass:TA=,TA,['𒋫'],𒋫,TA,['complete'],0.0,P522457,11,1,,initiation of transaction
