Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
616,P522460.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522460,2,1,,seal identification
617,P522460.2.2,%akk-x-neoass:{m}tar-bi-i=,{m}tar-bi-i,"['𒁹', '𒋻', '𒁉', '𒄿']",𒁹𒋻𒁉𒄿,{m}tar-bi-i,"['complete', 'complete', 'complete', 'complete']",0.0,P522460,2,2,,seal identification
618,P522460.3.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522460,3,1,,seal identification
619,P522460.3.2,%akk-x-neoass:{MI₂}la-tu-ba-ši-ni=,{mi₂}la-tu-ba-ši-ni,"['𒊩', '𒆷', '𒌅', '𒁀', '𒅆', '𒉌']",𒊩𒆷𒌅𒁀𒅆𒉌,{MI₂}la-tu-ba-ši-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522460,3,2,,seal identification
620,P522460.4.1,%akk-x-neoass:{MI₂}TUR-šu₂=,{mi₂}TUR-šu₂,"['𒊩', '𒌉', '𒋙']",𒊩𒌉𒋙,{MI₂}TUR-šu₂,"['complete', 'complete', 'complete']",0.0,P522460,4,1,,seal identification
621,P522460.4.2,%akk-x-neoass:ta-SUM-ni=,ta-SUM-ni,"['𒋫', '𒋧', '𒉌']",𒋫𒋧𒉌,ta-SUM-ni,"['complete', 'complete', 'complete']",0.0,P522460,4,2,,seal identification
622,P522460.8.1,%akk-x-neoass:{MI₂}la-tu-ba-ši-ni=,{mi₂}la-tu-ba-ši-ni,"['𒊩', '𒆷', '𒌅', '𒁀', '𒅆', '𒉌']",𒊩𒆷𒌅𒁀𒅆𒉌,{MI₂}la-tu-ba-ši-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522460,8,1,,object sold
623,P522460.9.1,%akk-x-neoass:{MI₂}TUR-su=,{mi₂}TUR-su,"['𒊩', '𒌉', '𒋢']",𒊩𒌉𒋢,{MI₂}TUR-su,"['complete', 'complete', 'complete']",0.0,P522460,9,1,,object sold
624,P522460.9.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522460,9,2,,object sold
625,P522460.9.3,%akk-x-neoass:{m}tar-bi-i=,{m}tar-bi-i,"['𒁹', '𒋻', '𒁉', '𒄿']",𒁹𒋻𒁉𒄿,{m}tar-bi-i,"['complete', 'complete', 'complete', 'complete']",0.0,P522460,9,3,,object sold
626,P522460.10.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,P522460,10,1,,initiation of transaction
