Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
974,P522458.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522458,2,1,,seal identification
975,P522458.2.2,%akk-x-neoass:{m}a.a-PAB.MEŠ=,{m}a.a-PAB.MEŠ,"['𒁹', '𒀀', '𒀀', '𒉽', '𒈨𒌍']",𒁹𒀀𒀀𒉽𒈨𒌍,{m}a.a-PAB.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522458,2,2,,seal identification
976,P522458.3.1,%akk-x-neoass:DUMU=,DUMU,['𒌉'],𒌉,DUMU,['complete'],0.0,P522458,3,1,,seal identification
977,P522458.3.2,%akk-x-neoass:{m}ha-nu-nu=,{m}ha-nu-nu,"['𒁹', '𒄩', '𒉡', '𒉡']",𒁹𒄩𒉡𒉡,{m}ha-nu-nu,"['complete', 'complete', 'complete', 'complete']",0.0,P522458,3,2,,seal identification
978,P522458.4.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522458,4,1,,seal identification
979,P522458.4.2,%akk-x-neoass:{LU₂}TUR=,{lu₂}TUR,"['𒇽', '𒌉']",𒇽𒌉,{LU₂}TUR,"['complete', 'complete']",0.0,P522458,4,2,,seal identification
980,P522458.4.3,%akk-x-neoass:SUM-ni=,SUM-ni,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,P522458,4,3,,seal identification
981,P522458.8.1,%akk-x-neoass:{m}ia-di-il=,{m}ia-di-il,"['𒁹', '𒅀', '𒁲', '𒅋']",𒁹𒅀𒁲𒅋,{m}ia-di-il,"['complete', 'complete', 'complete', 'complete']",0.0,P522458,8,1,,object sold
982,P522458.8.2,%akk-x-neoass:ARAD-šu₂=,ARAD-šu₂,"['𒀴', '𒋙']",𒀴𒋙,ARAD-šu₂,"['complete', 'complete']",0.0,P522458,8,2,,object sold
983,P522458.9.1,%akk-x-neoass:04=,04,['0₄'],0₄,04,['complete'],0.0,P522458,9,1,,object sold
984,P522458.9.2,%akk-x-neoass:ru-ṭu=,ru-ṭu,"['𒊒', '𒂅']",𒊒𒂅,ru-ṭu,"['complete', 'complete']",0.0,P522458,9,2,,object sold
985,P522458.9.3,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522458,9,3,,object sold
986,P522458.9.4,%akk-x-neoass:{m}a.a-PAB.MEŠ=,{m}a.a-PAB.MEŠ,"['𒁹', '𒀀', '𒀀', '𒉽', '𒈨𒌍']",𒁹𒀀𒀀𒉽𒈨𒌍,{m}a.a-PAB.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522458,9,4,,object sold
987,P522458.10.1,%akk-x-neoass:DUMU=,DUMU,['𒌉'],𒌉,DUMU,['complete'],0.0,P522458,10,1,,object sold
988,P522458.10.2,%akk-x-neoass:{m}ha-nu-ni=,{m}ha-nu-ni,"['𒁹', '𒄩', '𒉡', '𒉌']",𒁹𒄩𒉡𒉌,{m}ha-nu-ni,"['complete', 'complete', 'complete', 'complete']",0.0,P522458,10,2,,object sold
989,P522458.11.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,P522458,11,1,,initiation of transaction
990,P522458.11.2,%akk-x-neoass:{m}aš-šur-KUR-LAL=,{m}aš-šur-KUR-LAL,"['𒁹', '𒀸', '𒋩', '𒆳', '𒇲']",𒁹𒀸𒋩𒆳𒇲,{m}aš-šur-KUR-LAL,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522458,11,2,,initiation of transaction
991,P522458.12.1,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522458,12,1,,price
992,P522458.12.2,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,P522458,12,2,,price
993,P522458.12.3,%akk-x-neoass:16=,16,['𒌋𒐋'],𒌋𒐋,16,['complete'],0.0,P522458,12,3,,price
994,P522458.12.4,%akk-x-neoass:GIN₂=,GIN₂,['𒂆'],𒂆,GIN₂,['complete'],0.0,P522458,12,4,,price
995,P522458.12.5,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522458,12,5,,price
996,P522458.13.1,%akk-x-neoass:il-qi₂=,il-qi₂,"['𒅋', '𒆠']",𒅋𒆠,il-qi₂,"['complete', 'complete']",0.0,P522458,13,1,,completion of transaction
997,P522458.13.2,%akk-x-neoass:kas-pu=,kas-pu,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,P522458,13,2,,confirmation of transfer 1
998,P522458.13.3,%akk-x-neoass:gam-mur=,gam-mur,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,P522458,13,3,,confirmation of transfer 1
999,P522458.14.1,%akk-x-neoass:ta-din=,ta-din,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,P522458,14,1,,confirmation of transfer 1
1000,P522458.14.2,%akk-x-neoass:{LU₂}TUR=,{lu₂}TUR,"['𒇽', '𒌉']",𒇽𒌉,{LU₂}TUR,"['complete', 'complete']",0.0,P522458,14,2,,confirmation of transfer 2
1001,P522458.14.3,%akk-x-neoass:šu₂-a-tu₂=,šu₂-a-tu₂,"['𒋙', '𒀀', '𒌓']",𒋙𒀀𒌓,šu₂-a-tu₂,"['complete', 'complete', 'complete']",0.0,P522458,14,3,,confirmation of transfer 2
1002,P522458.15.1,%akk-x-neoass:up-pu=,up-pu,"['𒌒', '𒁍']",𒌒𒁍,up-pu,"['complete', 'complete']",0.0,P522458,15,1,,confirmation of transfer 2
1003,P522458.15.2,%akk-x-neoass:u=,u,['𒌋'],𒌋,u,['complete'],0.0,P522458,15,2,,confirmation of transfer 2
1004,P522458.15.3,%akk-x-neoass:TI=,TI,['𒋾'],𒋾,TI,['complete'],0.0,P522458,15,3,,confirmation of transfer 2
1005,P522458.15.4,%akk-x-neoass:za-ar-rip=,⸢za-ar⸣-rip,"['𒍝', '𒅈', '𒆗']",𒍝𒅈𒆗,⸢za-ar⸣-rip,"['damaged', 'damaged', 'complete']",0.33,P522458,15,4,,confirmation of transfer 2
1006,P522458.15.5,%akk-x-neoass:TI=,TI,['𒋾'],𒋾,TI,['complete'],0.0,P522458,15,5,,confirmation of transfer 2
1007,P522458.16.1,%akk-x-neoass:tu-a-ru=,tu-a-ru,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,P522458,16,1,,exclusion of litigation
1008,P522458.16.2,%akk-x-neoass:de-e-nu=,de-e-nu,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,P522458,16,2,,exclusion of litigation
1009,P522458.17.1,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.DUG₄,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,P522458,17,1,,exclusion of litigation
1010,P522458.17.2,%akk-x-neoass:la-aš₂-šu=,la-aš₂-šu,"['𒆷', '𒀾', '𒋗']",𒆷𒀾𒋗,la-aš₂-šu,"['complete', 'complete', 'complete']",0.0,P522458,17,2,,exclusion of litigation
1011,P522458.18.1,%akk-x-neoass:man-nu=,man-nu,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,P522458,18,1,,penalties for litigation: contravention
1012,P522458.18.2,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,P522458,18,2,,penalties for litigation: contravention
1013,P522458.18.3,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522458,18,3,,penalties for litigation: contravention
1014,P522458.18.4,%akk-x-neoass:ur-kiš=,ur-kiš,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,P522458,18,4,,penalties for litigation: contravention
1015,P522458.18.5,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522458,18,5,,penalties for litigation: contravention
1016,P522458.18.6,%akk-x-neoass:ma-te-me=,ma-te-me,"['𒈠', '𒋼', '𒈨']",𒈠𒋼𒈨,ma-te-me,"['complete', 'complete', 'complete']",0.0,P522458,18,6,,penalties for litigation: contravention
