Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
2207,P522561.3.1,Ha-x-x[1]PN,{f}ha-⸢x-x⸣,Ha-x-x,Ha-x-x,1,PN,"['𒊩', '𒄩', 'X', 'X']",𒊩𒄩XX,{f}ha-⸢x-x⸣,"['complete', 'complete', 'damaged', 'damaged']",0.25,,PN,P522561,3,1,object sold
2208,P522561.3.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,P522561,3,2,object sold
2209,P522561.4.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,,P522561,4,1,initiation of transaction
2210,P522561.4.2,La-qepi[1]PN,{m}la-⸢qe⸣-[pu],La-qepi,La-qepu,1,PN,"['𒁹', '𒆷', '𒆥', '𒁍']",𒁹𒆷𒆥𒁍,{m}la-⸢qe⸣-[pu],"['complete', 'complete', 'damaged', 'missing']",0.38,,PN,P522561,4,2,initiation of transaction
2211,P522561.5.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,,P522561,5,1,completion of transaction
2212,P522561.5.2,pān[presence]N,IGI,pān,pānu,presence,N,['𒅆'],𒅆,IGI,['complete'],0.0,,,P522561,5,2,completion of transaction
2213,P522561.5.3,Nergal-Ilaʾi[1]PN,{m}U.GUR-DINGIR-a-a,Nergal-Ilaʾi,Nergal-Ilaʾi,1,PN,"['𒁹', '𒌋', '𒄥', '𒀭', '𒀀', '𒀀']",𒁹𒌋𒄥𒀭𒀀𒀀,{m}U.GUR-DINGIR-a-a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522561,5,3,completion of transaction
2214,P522561.6.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522561,6,1,price
2215,P522561.6.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,,P522561,6,2,price
2216,P522561.6.3,n,1/2,,,,n,['𒈦'],𒈦,1/2,['complete'],0.0,,NUMBER,P522561,6,3,price
2217,P522561.6.4,manā[a unit of weight]N,MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,,P522561,6,4,price
2218,P522561.6.5,n,07,,,,n,['0₇'],0₇,07,['complete'],0.0,,NUMBER,P522561,6,5,price
2219,P522561.6.6,šiqlī[a unit of weight]N,GIN₂.MEŠ,šiqlī,šiqlu,a unit of weight,N,"['𒂆', '𒈨𒌍']",𒂆𒈨𒌍,GIN₂.MEŠ,"['complete', 'complete']",0.0,,,P522561,6,6,price
2220,P522561.6.7,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,,P522561,6,7,price
2221,P522561.7.1,izzirip[purchase]V,i-zi-rip,izzirip,zarāpu,purchase,V,"['𒄿', '𒍣', '𒆗']",𒄿𒍣𒆗,i-zi-rip,"['complete', 'complete', 'complete']",0.0,,,P522561,7,1,completion of transaction
2222,P522561.7.2,issiqi[purchase]V,i-si-qi,issiqi,leqû,purchase,V,"['𒄿', '𒋛', '𒆥']",𒄿𒋛𒆥,i-si-qi,"['complete', 'complete', 'complete']",0.0,,,P522561,7,2,completion of transaction
2223,P522561.8.1,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,,P522561,8,1,confirmation of transfer 1
