Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
70,P522659.2.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P522659,2,1,seal identification
71,P522659.2.2,+x[]PN$,{m}x-x-x-x]-x,x,x,1,PN,"['𒁹', 'X', 'X', 'X', 'X', 'X']",𒁹XXXXX,{[m]}[x-x-x-x]-x,"['missing', 'missing', 'missing', 'missing', 'missing', 'complete']",0.83,PN,P522659,2,2,seal identification
72,P522659.3.1,mār[son]N,[DUMU,mār,māru,son,N,['𒌉'],𒌉,[DUMU],['missing'],1.0,,P522659,3,1,seal identification
73,P522659.3.2,+x[]PN$,{m}x-x-x-x]-x-x,x,x,1,PN,"['𒁹', 'X', 'X', 'X', 'X', 'X', 'X']",𒁹XXXXXX,{[m]}[x-x-x-x]-x-x,"['missing', 'missing', 'missing', 'missing', 'missing', 'complete', 'complete']",0.71,PN,P522659,3,2,seal identification
74,P522659.4.1,bēl[owner]N,[EN],bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,P522659,4,1,seal identification
75,P522659.4.2,amti[maid]N,⸢GEME₂,amti,amtu,maid,N,['𒊩𒆳'],𒊩𒆳,⸢GEME₂⸣,['damaged'],0.5,,P522659,4,2,seal identification
76,P522659.4.3,tadāni[giving]'N,SUM⸣,tadāni,tadānu,giving,V,['𒋧'],𒋧,⸢SUM⸣,['damaged'],0.5,,P522659,4,3,seal identification
77,P522659.8.1,+Nikkal-suri[]PN$,{[f}{d]}NIN.GAL-su-ri,Nikkal-suri,Nikkal-suri,1,PN,"['𒊩', '𒀭', '𒊩𒌆', '𒃲', '𒋢', '𒊑']",𒊩𒀭𒊩𒌆𒃲𒋢𒊑,{[f]}{[d]}NIN.GAL-su-ri,"['missing', 'missing', 'complete', 'complete', 'complete', 'complete']",0.33,PN,P522659,8,1,object sold
78,P522659.8.2,amatšu[maid]N,⸢GEME₂⸣-šu₂,amatšu,amtu,maid,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,⸢GEME₂⸣-šu₂,"['damaged', 'complete']",0.25,,P522659,8,2,object sold
79,P522659.9.1,uppišma[contract]V,[u₂]-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂]-piš-ma,"['missing', 'complete', 'complete']",0.33,,P522659,9,1,initiation of transaction
80,P522659.9.2,+Sin-belu-uṣur[]PN$,{m}{d}30-EN-PAB,Sin-belu-uṣur,Sin-belu-uṣur,1,PN,"['𒁹', '𒀭', '𒌍', '𒂗', '𒉽']",𒁹𒀭𒌍𒂗𒉽,{m}{d}30-EN-PAB,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,P522659,9,2,initiation of transaction
81,P522659.10.1,ina[in]PRP,[ina],ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,P522659,10,1,price
