Unnamed: 0,ref,inst,frag,lang,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
52,P522600.2.1,kunuk[seal]N,{[na₄}KIŠIB,,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,kunuk,kunukku,seal,P522600,2,1,seal identification
53,P522600.2.2,u,...],,,u,['x'],x,[x],['missing'],1.0,,,,P522600,2,2,seal identification
54,P522600.3.1,kunuk[seal]N,{[na₄}KIŠIB,,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,kunuk,kunukku,seal,P522600,3,1,seal identification
55,P522600.3.2,u,...],,,u,['x'],x,[x],['missing'],1.0,,,,P522600,3,2,seal identification
56,P522600.4.1,+bēlu[lord//owner]N'N$bēlī,[EN.MEŠ,,,N,"['𒂗', '𒈨𒌍']",𒂗𒈨𒌍,[EN].[MEŠ],"['missing', 'missing']",1.0,bēlī,bēlu,owner,P522600,4,1,seal identification
57,P522600.4.2,urdi[servant]N,ARAD,,,N,['𒀴'],𒀴,[ARAD],['missing'],1.0,urdi,ardu,servant,P522600,4,2,seal identification
58,P522600.4.3,tadāni[giving]'N,SUM-ni],,,V,"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,tadāni,tadānu,giving,P522600,4,3,seal identification
59,P522600.8.1,u,[...],,,u,['x'],x,[x],['missing'],1.0,,,,P522600,8,1,object sold
60,P522600.8.2,urdušunu[servant]N,ARAD-šu₂-nu,,,N,"['𒀴', '𒋙', '𒉡']",𒀴𒋙𒉡,ARAD-šu₂-nu,"['complete', 'complete', 'complete']",0.0,urdušunu,ardu,servant,P522600,8,2,object sold
61,P522600.9.1,uppišma[contract]V,[up-piš-ma],,,V,"['𒌒', '𒄫', '𒈠']",𒌒𒄫𒈠,[up-piš-ma],"['missing', 'missing', 'missing']",1.0,uppišma,epēšu,contract,P522600,9,1,initiation of transaction
62,P522600.9.2,Hanni[1]PN,{m}ha-an-ni-i,,PN,PN,"['𒁹', '𒄩', '𒀭', '𒉌', '𒄿']",𒁹𒄩𒀭𒉌𒄿,{m}ha-an-ni-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Hanni,Hanni,1,P522600,9,2,initiation of transaction
