Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
1762,P522464.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522464,2,1,,seal identification
1763,P522464.2.2,%akk-x-neoass:{m}la-te-gi-ana-aš-šur=,{m}la-te-gi-ana-aš-šur,"['𒁹', '𒆷', '𒋼', '𒄀', '𒁹', '𒀸', '𒋩']",𒁹𒆷𒋼𒄀𒁹𒀸𒋩,{m}la-te-gi-ana-aš-šur,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522464,2,2,,seal identification
1764,P522464.3.1,%akk-x-neoass:A=,A,['𒀀'],𒀀,A,['complete'],0.0,P522464,3,1,,seal identification
1765,P522464.3.2,%akk-x-neoass:{m}me-ia-ṣab-u-tu₂=,{m}me-ia-ṣab-u-tu₂,"['𒁹', '𒈨', '𒅀', '𒂟', '𒌋', '𒌓']",𒁹𒈨𒅀𒂟𒌋𒌓,{m}me-ia-ṣab-u-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522464,3,2,,seal identification
1766,P522464.4.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522464,4,1,,seal identification
1767,P522464.4.2,%akk-x-neoass:MI₂=,MI₂,['𒊩'],𒊩,MI₂,['complete'],0.0,P522464,4,2,,seal identification
1768,P522464.4.3,%akk-x-neoass:SUM-ni=,SUM-ni,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,P522464,4,3,,seal identification
1769,P522464.8.1,%akk-x-neoass:{MI₂}arba-il₃-i-tu₂=,{mi₂}arba-il₃-i-tu₂,"['𒊩', '𒇹', '𒀭', '𒄿', '𒌓']",𒊩𒇹𒀭𒄿𒌓,{MI₂}arba-il₃-i-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522464,8,1,,object sold
1770,P522464.9.1,%akk-x-neoass:GEME₂-šu=,GEME₂-šu,"['𒊩𒆳', '𒋗']",𒊩𒆳𒋗,GEME₂-šu,"['complete', 'complete']",0.0,P522464,9,1,,object sold
1771,P522464.9.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522464,9,2,,object sold
1772,P522464.9.3,%akk-x-neoass:{m}la-te-gi-ana-aš-šur=,{m}la-te-gi-ana-aš-šur,"['𒁹', '𒆷', '𒋼', '𒄀', '𒁹', '𒀸', '𒋩']",𒁹𒆷𒋼𒄀𒁹𒀸𒋩,{m}la-te-gi-ana-aš-šur,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522464,9,3,,object sold
1773,P522464.10.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,P522464,10,1,,initiation of transaction
1774,P522464.10.2,%akk-x-neoass:{m}aš-šur-KUR-LAL=,{m}aš-šur-KUR-LAL,"['𒁹', '𒀸', '𒋩', '𒆳', '𒇲']",𒁹𒀸𒋩𒆳𒇲,{m}aš-šur-KUR-LAL,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522464,10,2,,initiation of transaction
1775,P522464.11.1,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522464,11,1,,price
1776,P522464.11.2,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,P522464,11,2,,price
1777,P522464.11.3,%akk-x-neoass:50=,50,['𒐐'],𒐐,50,['complete'],0.0,P522464,11,3,,price
1778,P522464.11.4,%akk-x-neoass:GIN₂=,GIN₂,['𒂆'],𒂆,GIN₂,['complete'],0.0,P522464,11,4,,price
1779,P522464.11.5,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522464,11,5,,price
1780,P522464.12.1,%akk-x-neoass:TA=,TA,['𒋫'],𒋫,TA,['complete'],0.0,P522464,12,1,,completion of transaction
1781,P522464.12.2,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,P522464,12,2,,completion of transaction
