Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
421,P522852.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522852,2,1,seal identification
422,P522852.2.2,+Adda-qatar[]PN$,{m}10-qa-tar,Adda-qatar,Adda-qatar,1,PN,"['𒁹', '𒌋', '𒋡', '𒋻']",𒁹𒌋𒋡𒋻,{m}10-qa-tar,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522852,2,2,seal identification
423,P522852.3.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522852,3,1,seal identification
424,P522852.3.2,nišē[people]N,UN-MEŠ,nišē,nišu,people,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,,,P522852,3,2,seal identification
425,P522852.3.3,tadāni[giving]'N,ta-da-ni,tadāni,tadānu,giving,V,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,,,P522852,3,3,seal identification
426,P522852.7.1,+Handaru[]PN$,{m}ha-an-da-ru,Handaru,Handaru,1,PN,"['𒁹', '𒄩', '𒀭', '𒁕', '𒊒']",𒁹𒄩𒀭𒁕𒊒,{m}ha-an-da-ru,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P522852,7,1,object sold
427,P522852.7.2,+Hanši[]PN$,{m}ha-an-ši-i,Hanši,Hanši,1,PN,"['𒁹', '𒄩', '𒀭', '𒅆', '𒄿']",𒁹𒄩𒀭𒅆𒄿,{m}ha-an-ši-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P522852,7,2,object sold
428,P522852.8.1,+Bidu[]PN$,{mi₂}bi-du-u₂,Bidu,Bidu,1,PN,"['𒊩', '𒁉', '𒁺', '𒌑']",𒊩𒁉𒁺𒌑,{MI₂}bi-du-u₂,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522852,8,1,object sold
429,P522852.8.2,gimru[total]N,PAB,gimru,gimru,total,N,['𒉽'],𒉽,PAB,['complete'],0.0,,,P522852,8,2,object sold
430,P522852.8.3,n,03,,,,n,['0₃'],0₃,03,['complete'],0.0,NUMBER,,P522852,8,3,object sold
431,P522852.8.4,nupšāti[person]N,ZI-MEŠ,nupšāti,napištu,person,N,"['𒍣', '𒈨𒌍']",𒍣𒈨𒌍,ZI-MEŠ,"['complete', 'complete']",0.0,,,P522852,8,4,object sold
432,P522852.9.1,amēlu[man]N,LU₂,amēlu,awīlu,man,N,['𒇽'],𒇽,LU₂,['complete'],0.0,,,P522852,9,1,object sold
