Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
1941,P522462.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522462,2,1,,seal identification
1942,P522462.2.2,%akk-x-neoass:{m}{d}MES-SUM-na=,{m}{d}MES-SUM-na,"['𒁹', '𒀭', '𒈩', '𒋧', '𒈾']",𒁹𒀭𒈩𒋧𒈾,{m}{d}MES-SUM-na,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,2,2,,seal identification
1943,P522462.3.1,%akk-x-neoass:A=,A,['𒀀'],𒀀,A,['complete'],0.0,P522462,3,1,,seal identification
1944,P522462.3.2,%akk-x-neoass:{m}{LU₂}ar₂-ba-a.a=,{m}{lu₂}ar₂-ba-a.a,"['𒁹', '𒇽', '𒌒', '𒁀', '𒀀', '𒀀']",𒁹𒇽𒌒𒁀𒀀𒀀,{m}{LU₂}ar₂-ba-a.a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,3,2,,seal identification
1945,P522462.3.3,%akk-x-neoass:{URU}ni-nu-a.a=,{uru}ni-nu-a.a,"['𒌷', '𒉌', '𒉡', '𒀀', '𒀀']",𒌷𒉌𒉡𒀀𒀀,{URU}ni-nu-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,3,3,,seal identification
1946,P522462.4.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522462,4,1,,seal identification
1947,P522462.4.2,%akk-x-neoass:MI₂=,MI₂,['𒊩'],𒊩,MI₂,['complete'],0.0,P522462,4,2,,seal identification
1948,P522462.4.3,%akk-x-neoass:SUM-ni=,SUM-ni,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,P522462,4,3,,seal identification
1949,P522462.8.1,%akk-x-neoass:{MI₂}a-mat-{d}a-se-e-en=,{mi₂}a-mat-{d}a-se-e-en,"['𒊩', '𒀀', '𒆳', '𒀭', '𒀀', '𒋛', '𒂊', '𒂗']",𒊩𒀀𒆳𒀭𒀀𒋛𒂊𒂗,{MI₂}a-mat-{d}a-se-e-en,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,8,1,,object sold
1950,P522462.9.1,%akk-x-neoass:GEME₂-šu₂=,GEME₂-šu₂,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,P522462,9,1,,object sold
1951,P522462.9.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522462,9,2,,object sold
1952,P522462.9.3,%akk-x-neoass:{m}d-MES-SUM-na=,{m}d-MES-SUM-na,"['𒁹', '𒀭', '𒈩', '𒋧', '𒈾']",𒁹𒀭𒈩𒋧𒈾,{m}d-MES-SUM-na,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,9,3,,object sold
1953,P522462.10.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,P522462,10,1,,initiation of transaction
1954,P522462.10.2,%akk-x-neoass:{m}aš-šur-KUR-LAL=,{m}aš-šur-KUR-LAL,"['𒁹', '𒀸', '𒋩', '𒆳', '𒇲']",𒁹𒀸𒋩𒆳𒇲,{m}aš-šur-KUR-LAL,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,10,2,,initiation of transaction
1955,P522462.11.1,%akk-x-neoass:{m}a-ta-na-ah-DINGIR.MEŠ=,{m}a-ta-na-ah-DINGIR.MEŠ,"['𒁹', '𒀀', '𒋫', '𒈾', '𒄴', '𒀭', '𒈨𒌍']",𒁹𒀀𒋫𒈾𒄴𒀭𒈨𒌍,{m}a-ta-na-ah-DINGIR.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,11,1,,initiation of transaction
1956,P522462.12.1,%akk-x-neoass:{m}IGI-aš-šur-IGI.LAL=,{m}IGI-aš-šur-IGI.LAL,"['𒁹', '𒅆', '𒀸', '𒋩', '𒅆', '𒇲']",𒁹𒅆𒀸𒋩𒅆𒇲,{m}IGI-aš-šur-IGI.LAL,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,12,1,,initiation of transaction
1957,P522462.12.2,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522462,12,2,,price
1958,P522462.12.3,%akk-x-neoass:ŠA₃=,ŠA₃,['𒊮'],𒊮,ŠA₃,['complete'],0.0,P522462,12,3,,price
1959,P522462.12.4,%akk-x-neoass:02=,02,['0₂'],0₂,02,['complete'],0.0,P522462,12,4,,price
1960,P522462.12.5,%akk-x-neoass:MA=,MA,['𒈠'],𒈠,MA,['complete'],0.0,P522462,12,5,,price
1961,P522462.12.6,%akk-x-neoass:04=,04,['0₄'],0₄,04,['complete'],0.0,P522462,12,6,,price
1962,P522462.12.7,%akk-x-neoass:GIN₂=,GIN₂,['𒂆'],𒂆,GIN₂,['complete'],0.0,P522462,12,7,,price
1963,P522462.12.8,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522462,12,8,,price
1964,P522462.13.1,%akk-x-neoass:TA=,TA,['𒋫'],𒋫,TA,['complete'],0.0,P522462,13,1,,completion of transaction
1965,P522462.13.2,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,P522462,13,2,,completion of transaction
1966,P522462.13.3,%akk-x-neoass:{m}{d}MES-SUM-na=,{m}{d}MES-SUM-na,"['𒁹', '𒀭', '𒈩', '𒋧', '𒈾']",𒁹𒀭𒈩𒋧𒈾,{m}{d}MES-SUM-na,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,13,3,,completion of transaction
1967,P522462.14.1,%akk-x-neoass:TI-u₂=,TI-u₂,"['𒋾', '𒌑']",𒋾𒌑,TI-u₂,"['complete', 'complete']",0.0,P522462,14,1,,completion of transaction
1968,P522462.14.2,%akk-x-neoass:kas-pu=,kas-pu,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,P522462,14,2,,confirmation of transfer 1
1969,P522462.14.3,%akk-x-neoass:gam-mur=,gam-mur,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,P522462,14,3,,confirmation of transfer 1
1970,P522462.14.4,%akk-x-neoass:ta-din=,ta-din,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,P522462,14,4,,confirmation of transfer 1
1971,P522462.15.1,%akk-x-neoass:MI₂=,MI₂,['𒊩'],𒊩,MI₂,['complete'],0.0,P522462,15,1,,confirmation of transfer 2
1972,P522462.15.2,%akk-x-neoass:šu-a-tu₂=,šu-a-tu₂,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,P522462,15,2,,confirmation of transfer 2
1973,P522462.15.3,%akk-x-neoass:zar₄-pat=,zar₄-pat,"['𒆰', '𒉻']",𒆰𒉻,zar₄-pat,"['complete', 'complete']",0.0,P522462,15,3,,confirmation of transfer 2
1974,P522462.15.4,%akk-x-neoass:TI-at=,TI-at,"['𒋾', '𒀜']",𒋾𒀜,TI-at,"['complete', 'complete']",0.0,P522462,15,4,,confirmation of transfer 2
1975,P522462.16.1,%akk-x-neoass:tu-a-ru=,tu-a-ru,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,P522462,16,1,,exclusion of litigation
1976,P522462.16.2,%akk-x-neoass:de-e-nu=,de-e-nu,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,P522462,16,2,,exclusion of litigation
1977,P522462.16.3,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.DUG₄,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,P522462,16,3,,exclusion of litigation
1978,P522462.17.1,%akk-x-neoass:la-aš₂-šu=,la-aš₂-šu,"['𒆷', '𒀾', '𒋗']",𒆷𒀾𒋗,la-aš₂-šu,"['complete', 'complete', 'complete']",0.0,P522462,17,1,,exclusion of litigation
1979,P522462.17.2,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522462,17,2,,penalties for litigation: contravention
1980,P522462.17.3,%akk-x-neoass:ur-kiš=,ur-kiš,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,P522462,17,3,,penalties for litigation: contravention
1981,P522462.18.1,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,P522462,18,1,,penalties for litigation: contravention
1982,P522462.18.2,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522462,18,2,,penalties for litigation: contravention
1983,P522462.18.3,%akk-x-neoass:ma-ti-me=,ma-ti-me,"['𒈠', '𒋾', '𒈨']",𒈠𒋾𒈨,ma-ti-me,"['complete', 'complete', 'complete']",0.0,P522462,18,3,,penalties for litigation: contravention
1984,P522462.18.4,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,P522462,18,4,,penalties for litigation: contravention
1985,P522462.19.1,%akk-x-neoass:{m}{d}MES-SUM-na=,{m}{d}MES-SUM-na,"['𒁹', '𒀭', '𒈩', '𒋧', '𒈾']",𒁹𒀭𒈩𒋧𒈾,{m}{d}MES-SUM-na,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522462,19,1,,penalties for litigation: contravention
1986,P522462.19.2,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,P522462,19,2,,penalties for litigation: contravention
1987,P522462.19.3,%akk-x-neoass:DUMU.MEŠ-šu₂=,DUMU.MEŠ-šu₂,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU.MEŠ-šu₂,"['complete', 'complete', 'complete']",0.0,P522462,19,3,,penalties for litigation: contravention
1988,P522462.20.1,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,P522462,20,1,,penalties for litigation: contravention
1989,P522462.20.2,%akk-x-neoass:DUMU-DUMU.MEŠ-šu₂=,DUMU-DUMU.MEŠ-šu₂,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,DUMU-DUMU.MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,P522462,20,2,,penalties for litigation: contravention
1990,P522462.20.3,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,P522462,20,3,,penalties for litigation: contravention
1991,P522462.20.4,%akk-x-neoass:PAB-šu₂=,PAB-šu₂,"['𒉽', '𒋙']",𒉽𒋙,PAB-šu₂,"['complete', 'complete']",0.0,P522462,20,4,,penalties for litigation: contravention
1992,P522462.22.1,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,P522462,22,1,,penalties for litigation: contravention
