Unnamed: 0,ref,inst,frag,lang,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
688,P522604.2.1,kunuk[seal]N,{na₄}KIŠIB,,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,P522604,2,1,seal identification
689,P522604.2.2,+Tabaya[]PN$,{m}ta-ba-a-[(a)],,PN,PN,"['𒁹', '𒋫', '𒁀', '𒀀', '𒀀']",𒁹𒋫𒁀𒀀𒀀,{m}ta-ba-a-[a],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,Tabaya,Tabaya,1,P522604,2,2,seal identification
690,P522604.3.1,bēl[owner]N,EN,,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,P522604,3,1,seal identification
691,P522604.3.2,amēli[man]N,LU₂,,,N,['𒇽'],𒇽,LU₂,['complete'],0.0,amēli,awīlu,man,P522604,3,2,seal identification
692,P522604.3.3,tadāni[giving]'N,SUM-ni,,,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,tadāni,tadānu,giving,P522604,3,3,seal identification
693,P522604.7.1,+Pan-Seʾ[]PN$,{m}pa-an-si-i,,PN,PN,"['𒁹', '𒉺', '𒀭', '𒋛', '𒄿']",𒁹𒉺𒀭𒋛𒄿,{m}pa-an-si-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Pan-Seʾ,Pan-Seʾ,1,P522604,7,1,object sold
694,P522604.7.2,urdušu[servant]N,ARAD-šu₂,,,N,"['𒀴', '𒋙']",𒀴𒋙,ARAD-šu₂,"['complete', 'complete']",0.0,urdušu,ardu,servant,P522604,7,2,object sold
695,P522604.8.1,uppišma[contract]V,up-piš-ma,,,V,"['𒌒', '𒄫', '𒈠']",𒌒𒄫𒈠,up-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,P522604,8,1,initiation of transaction
696,P522604.8.2,šakintu[governess]N,{mi₂}ša₂-kin₂-tu₂,,,N,"['𒊩', '𒃻', '𒄯', '𒌓']",𒊩𒃻𒄯𒌓,{MI₂}ša₂-kin₂-tu₂,"['complete', 'complete', 'complete', 'complete']",0.0,šakintu,šakintu,governess,P522604,8,2,initiation of transaction
697,P522604.9.1,ina[in]PRP,ina,,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522604,9,1,price
698,P522604.9.2,libbi[interior]N,ŠA₃-bi,,,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,P522604,9,2,price
699,P522604.9.3,n,1/2,,NUMBER,n,['𒈦'],𒈦,1/2,['complete'],0.0,,,,P522604,9,3,price
700,P522604.9.4,manā[a unit of weight]N,MA.NA,,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manā,manû,a unit of weight,P522604,9,4,price
701,P522604.9.5,n,05,,NUMBER,n,['0₅'],0₅,05,['complete'],0.0,,,,P522604,9,5,price
702,P522604.9.6,šiqil[a unit of weight]N,GIN₂,,,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,šiqil,šiqlu,a unit of weight,P522604,9,6,price
703,P522604.9.7,ṣarpi[silver]N,KU₃.BABBAR,,,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,P522604,9,7,price
704,P522604.10.1,ilqi[purchase]V,il-qi₂,,,V,"['𒅋', '𒆠']",𒅋𒆠,il-qi₂,"['complete', 'complete']",0.0,ilqi,leqû,purchase,P522604,10,1,completion of transaction
705,P522604.10.2,kaspu[money]N,kas-pu,,,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,P522604,10,2,confirmation of transfer 1
706,P522604.10.3,gammur[completed]AJ,ga-mur,,,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,P522604,10,3,confirmation of transfer 1
707,P522604.11.1,tadin[paid]AJ,ta-din,,,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,P522604,11,1,confirmation of transfer 1
708,P522604.11.2,amēlu[man]N,LU₂,,,N,['𒇽'],𒇽,LU₂,['complete'],0.0,amēlu,awīlu,man,P522604,11,2,confirmation of transfer 2
709,P522604.11.3,šuātu[that]'DP,šu-a-tu₂,,,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,šuātu,šuāti,that,P522604,11,3,confirmation of transfer 2
710,P522604.12.1,zarip[purchased]AJ,za-rip,,,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,zarip,zarpu,purchased,P522604,12,1,confirmation of transfer 2
711,P522604.12.2,laqqi[acquired]AJ,laq-qi₂,,,AJ,"['𒋃', '𒆠']",𒋃𒆠,laq-qi₂,"['complete', 'complete']",0.0,laqqi,leqû,acquired,P522604,12,2,confirmation of transfer 2
712,P522604.13.1,tuāru[revocation]'N,tu-a-ru,,,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,tuāru,târu,revocation,P522604,13,1,exclusion of litigation
713,P522604.13.2,dēnu[lawsuit]N,de-e-nu,,,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,dēnu,dīnu,lawsuit,P522604,13,2,exclusion of litigation
714,P522604.14.1,dabābu[litigation]'N,DUG₄.DUG₄,,,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,P522604,14,1,exclusion of litigation
715,P522604.14.2,laššu[(there) is not]V,la-aš₂-šu₂,,,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,laššu,laššu,(there) is not,P522604,14,2,exclusion of litigation
716,P522604.15.1,mannu[whoever]'XP,man-nu,,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,mannu,mannu,whoever,P522604,15,1,penalties for litigation: contravention
717,P522604.15.2,ša[that]REL,ša₂,,,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,ša,ša,that,P522604,15,2,penalties for litigation: contravention
718,P522604.15.3,ina[in]PRP,ina,,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522604,15,3,penalties for litigation: contravention
719,P522604.15.4,urkiš[later]AV,ur-kiš,,,AV,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,urkiš,urkiš,later,P522604,15,4,penalties for litigation: contravention
720,P522604.16.1,ina[in]PRP,ina,,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522604,16,1,penalties for litigation: contravention
721,P522604.16.2,matēma[ever]AV,ma-te-<ma>,,,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,ma-te-ma,"['complete', 'complete', 'complete']",0.0,matēma,matīma,ever,P522604,16,2,penalties for litigation: contravention
722,P522604.16.3,ibbalakkatūni[transgress]V,ib-ba-lak-;,,,V,"['𒅁', '𒁀', '𒋃']",𒅁𒁀𒋃,ib-ba-lak-,"['complete', 'complete', 'complete']",0.0,ibbalakkatūni,nabalkutu,transgress,P522604,16,3,penalties for litigation: contravention
723,P522604.17.2,kaspu[money]N,kas-pu,,,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,P522604,17,2,penalties for litigation: penalty
724,P522604.18.1,ana[to]PRP,a-na,,,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,ana,ana,to,P522604,18,1,penalties for litigation: penalty
725,P522604.18.2,+ešriātu[tenfold]AV$ešrāte,10-te,,,AV,"['𒌋', '𒋼']",𒌋𒋼,10-te,"['complete', 'complete']",0.0,ešrāte,ešriātu,tenfold,P522604,18,2,penalties for litigation: penalty
726,P522604.18.3,ana[to]PRP,ana,,,PRP,['𒁹'],𒁹,ana,['complete'],0.0,ana,ana,to,P522604,18,3,penalties for litigation: penalty
727,P522604.18.4,bēlīšu[owner]N,EN-šu₂,,,N,"['𒂗', '𒋙']",𒂗𒋙,EN-šu₂,"['complete', 'complete']",0.0,bēlīšu,bēlu,owner,P522604,18,4,penalties for litigation: penalty
728,P522604.18.5,utâr[return]V,GUR,,,V,['𒄥'],𒄥,GUR,['complete'],0.0,utâr,târu,return,P522604,18,5,penalties for litigation: penalty
729,P522604.20.1,ina[in]PRP,ina,,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522604,20,1,penalties for litigation: penalty
