Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
12822,P335204.2.1,{[na₄]}KIŠIB,kunuk[seal]N,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}KIŠIB,"['missing', 'complete']",0.5,kunuk,kunukku,seal,,P335204,2,1,seal identification
12823,P335204.2.2,{1}{d]}⸢PA⸣—[EN—PAB],Nabu-belu-uṣur[1]PN,PN,PN,"['𒁹', '𒀭', '𒉺', '𒂗', '𒉽']",𒁹𒀭𒉺𒂗𒉽,{[1]}{[d]}⸢PA⸣-[EN-PAB],"['missing', 'missing', 'damaged', 'missing', 'missing']",0.9,Nabu-belu-uṣur,Nabu-belu-uṣur,1,,P335204,2,2,seal identification
12824,P335204.6.1,{mi₂}⸢mar-qi⸣-hi-⸢ta-a,Marqihita[1]PN$,PN,PN,"['𒊩', '𒈥', '𒆥', '𒄭', '𒋫', '𒀀']",𒊩𒈥𒆥𒄭𒋫𒀀,{MI₂}⸢mar-qi⸣-hi-⸢ta-a⸣,"['complete', 'damaged', 'damaged', 'complete', 'damaged', 'damaged']",0.33,Marqihita,Marqihita,1,,P335204,6,1,object sold
12825,P335204.6.2,GEME₂⸣-[šu₂,amtīšu[maid]N,,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,⸢GEME₂⸣-[šu₂],"['damaged', 'missing']",0.75,amtīšu,amtu,maid,,P335204,6,2,object sold
12826,P335204.6.3,DUMU-ša₂],marʾūša[son]N,,N,"['𒌉', '𒃻']",𒌉𒃻,[DUMU-ša₂],"['missing', 'missing']",1.0,marʾūša,māru,son,,P335204,6,3,object sold
12827,P335204.7.1,PAB,gimru[total]N,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,P335204,7,1,object sold
12828,P335204.7.2,02,n,NUMBER,n,['𒈫'],𒈫,02,['complete'],0.0,,,,,P335204,7,2,object sold
12829,P335204.7.3,⸢ZI-MEŠ,nupšāti[person]N,,N,"['𒍣', '𒈨𒌍']",𒍣𒈨𒌍,⸢ZI-MEŠ⸣,"['damaged', 'damaged']",0.5,nupšāti,napištu,person,,P335204,7,3,object sold
12830,P335204.7.4,ARAD-MEŠ,urdāni[servant]N,,N,"['𒀴', '𒈨𒌍']",𒀴𒈨𒌍,⸢ARAD-MEŠ⸣,"['damaged', 'damaged']",0.5,urdāni,ardu,servant,,P335204,7,4,object sold
12831,P335204.7.5,ša⸣,ša[of]DET,,DET,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,ša,ša,of,,P335204,7,5,object sold
12832,P335204.7.6,{1}{[d}PA—EN—PAB],Nabu-belu-uṣur[1]PN,PN,PN,"['𒁹', '𒀭', '𒉺', '𒂗', '𒉽']",𒁹𒀭𒉺𒂗𒉽,{1}{[d]}[PA-EN-PAB],"['complete', 'missing', 'missing', 'missing', 'missing']",0.8,Nabu-belu-uṣur,Nabu-belu-uṣur,1,,P335204,7,6,object sold
12833,P335204.8.1,u₂-⸢piš-ma⸣,uppišma[contract]V,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-⸢piš-ma⸣,"['complete', 'damaged', 'damaged']",0.33,uppišma,epēšu,contract,,P335204,8,1,initiation of transaction
12834,P335204.8.2,{1}{[d}PA]-u-[a],Nabuʾa[1]PN,PN,PN,"['𒁹', '𒀭', '𒉺', '𒌋', '𒀀']",𒁹𒀭𒉺𒌋𒀀,{1}{[d]}[PA]-u-[a],"['complete', 'missing', 'missing', 'complete', 'missing']",0.6,Nabuʾa,Nabuʾa,1,,P335204,8,2,initiation of transaction
12835,P335204.9.1,TA@v,issu[from+=from]PRP,,PRP,['𒋬'],𒋬,TA@v,['complete'],0.0,issu,ištu,from,,P335204,9,1,completion of transaction
12836,P335204.9.2,pa-an,pān[front]N,,N,"['𒉺', '𒀭']",𒉺𒀭,pa-an,"['complete', 'complete']",0.0,pān,pānu,front,,P335204,9,2,completion of transaction
12837,P335204.9.3,{1}{[d}PA]—EN—[PAB],Nabu-belu-uṣur[1]PN,PN,PN,"['𒁹', '𒀭', '𒉺', '𒂗', '𒉽']",𒁹𒀭𒉺𒂗𒉽,{1}{[d]}[PA]-EN-[PAB],"['complete', 'missing', 'missing', 'complete', 'missing']",0.6,Nabu-belu-uṣur,Nabu-belu-uṣur,1,,P335204,9,3,completion of transaction
12838,P335204.10.1,ina,ina[in+=for]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P335204,10,1,price
12839,P335204.10.2,ŠA₃,libbi[interior]N,,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,libbi,libbu,interior,,P335204,10,2,price
12840,P335204.10.3,02,n,NUMBER,n,['𒈫'],𒈫,02,['complete'],0.0,,,,,P335204,10,3,price
12841,P335204.10.4,MA.NA,manê[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manê,manû,a unit of weight,,P335204,10,4,price
12842,P335204.10.5,KUG.⸢UD⸣,ṣarpi[silver]N,,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.⸢UD⸣,"['complete', 'damaged']",0.25,ṣarpi,ṣarpu,silver,,P335204,10,5,price
12843,P335204.10.6,ina,ina[by]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,by,,P335204,10,6,price
12844,P335204.10.7,01,n,NUMBER,n,['𒁹'],𒁹,01,['complete'],0.0,,,,,P335204,10,7,price
12845,P335204.10.8,⸢MA⸣.[NA],manê[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.[NA],"['damaged', 'missing']",0.75,manê,manû,a unit of weight,,P335204,10,8,price
12846,P335204.11.1,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335204,11,1,price
12847,P335204.11.2,{uru}gar-ga-mis,Gargamis[Carchemish]GN,GN,GN,"['𒌷', '𒃻', '𒂵', '𒈩']",𒌷𒃻𒂵𒈩,{URU}gar-ga-mis,"['complete', 'complete', 'complete', 'complete']",0.0,Gargamis,Gargamis,Carchemish,,P335204,11,2,price
12848,P335204.11.3,[i-zi-rip],izzirip[purchase]V,,V,"['𒄿', '𒍣', '𒆗']",𒄿𒍣𒆗,[i-zi-rip],"['missing', 'missing', 'missing']",1.0,izzirip,zarāpu,purchase,,P335204,11,3,completion of transaction
