Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
11975,P225182.1.1,kunuk[seal]N,{[na₄}KIŠIB,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,kunuk,kunukku,seal,,P225182,1,1,seal identification
11976,P225182.1.2,Urdu-Nanaya[1]PN,{1}ARAD-{d]}⸢na⸣-na-a,PN,"['𒁹', '𒀴', '𒀭', '𒈾', '𒈾', '𒀀']",𒁹𒀴𒀭𒈾𒈾𒀀,{[1]}[ARAD]-{[d]}⸢na⸣-na-a,"['missing', 'missing', 'missing', 'damaged', 'complete', 'complete']",0.58,Urdu-Nanaya,Urdu-Nanaya,1,PN,P225182,1,2,seal identification
11977,P225182.2.1,+bēlu[lord//owner]N'N$bēl,[EN,N,['𒂗'],𒂗,[EN],['missing'],1.0,bēl,bēlu,owner,,P225182,2,1,seal identification
11978,P225182.2.2,marʾitīšu[daughter]N,DUMU.MI₂-šu₂,N,"['𒌉', '𒊩', '𒋙']",𒌉𒊩𒋙,[DUMU].[MI₂-šu₂],"['missing', 'missing', 'missing']",1.0,marʾitīšu,mārtu,daughter,,P225182,2,2,seal identification
11979,P225182.2.3,ina[for]PRP,ina,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,for,,P225182,2,3,seal identification
11980,P225182.2.4,+tarbûtu[adoptive childhood//upbringing]N'N$tarbûti,tar]-⸢bu⸣-u₂-ti,N,"['𒋻', '𒁍', '𒌑', '𒋾']",𒋻𒁍𒌑𒋾,[tar]-⸢bu⸣-u₂-ti,"['missing', 'damaged', 'complete', 'complete']",0.38,tarbûti,tarbûtu,upbringing,,P225182,2,4,seal identification
11981,P225182.3.1,tadāni[giving]'N,[ta-da-(a)]-ni,V,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,[ta-da-a]-ni,"['missing', 'missing', 'missing', 'complete']",0.75,tadāni,tadānu,giving,,P225182,3,1,seal identification
11982,P225182.7.1,u,{[mi₂}x,u,"['𒊩', 'X']",𒊩X,{[MI₂]}[x],"['missing', 'missing']",1.0,,,,,P225182,7,1,object sold
11983,P225182.7.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,7,2,object sold
11984,P225182.7.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,7,3,object sold
11985,P225182.7.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,7,4,object sold
11986,P225182.7.5,marʾussu[daughter]N,DUMU].⸢MI₂⸣-su,N,"['𒌉', '𒊩', '𒋢']",𒌉𒊩𒋢,[DUMU].⸢MI₂⸣-su,"['missing', 'damaged', 'complete']",0.5,marʾussu,mārtu,daughter,,P225182,7,5,object sold
11987,P225182.8.1,+epēšu[do//contract]V'V$tuppišma,[tu-up-piš-ma,V,"['𒌅', '𒌒', '𒄫', '𒈠']",𒌅𒌒𒄫𒈠,[tu-up-piš-ma],"['missing', 'missing', 'missing', 'missing']",1.0,tuppišma,epēšu,contract,,P225182,8,1,initiation of transaction
11988,P225182.8.2,u,{mi₂}x,u,"['𒊩', 'X']",𒊩X,{[MI₂]}[x],"['missing', 'missing']",1.0,,,,,P225182,8,2,initiation of transaction
11989,P225182.8.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,8,3,initiation of transaction
11990,P225182.8.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,8,4,initiation of transaction
11991,P225182.8.5,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,8,5,initiation of transaction
11992,P225182.8.6,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P225182,8,6,initiation of transaction
11993,P225182.9.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,9,1,initiation of transaction
11994,P225182.9.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,9,2,initiation of transaction
11995,P225182.9.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,9,3,initiation of transaction
11996,P225182.9.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225182,9,4,initiation of transaction
11997,P225182.9.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P225182,9,5,initiation of transaction
11998,P225182.9.6,ša[of]DET,ša,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P225182,9,6,initiation of transaction
11999,P225182.9.7,šakinti[governess]N,{mi₂}ša₂-kin₂-ti,N,"['𒊩', '𒃻', '𒄯', '𒋾']",𒊩𒃻𒄯𒋾,{MI₂}ša₂-kin₂-ti,"['complete', 'complete', 'complete', 'complete']",0.0,šakinti,šakintu,governess,,P225182,9,7,initiation of transaction
