Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
6641,P514236.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,P514236,2,1,seal identification
6642,P514236.2.2,Šep-Aššur[]PN$,{m}GIR₃.2-[aš]+⸢šur,Šep-Aššur,Šep-Aššur,1,PN,"['𒁹', '𒄊', '𒈫', '𒀸', '𒋩']",𒁹𒄊𒈫𒀸𒋩,{m}GIR₃.2-[aš]+⸢šur⸣,"['complete', 'complete', 'complete', 'missing', 'damaged']",0.3,PN,P514236,2,2,seal identification
6643,P514236.2.3,mār[son]N,A⸣,mār,māru,son,N,['𒀀'],𒀀,⸢A⸣,['damaged'],0.5,,P514236,2,3,seal identification
6644,P514236.2.4,x-ahhe[]PN$,{[m}x-x]-⸢PAB⸣.MEŠ,x-ahhe,x-ahhe,1,PN,"['𒁹', 'X', 'X', '𒉽', '𒈨𒌍']",𒁹XX𒉽𒈨𒌍,{[m]}[x-x]-⸢PAB⸣.MEŠ,"['missing', 'missing', 'missing', 'damaged', 'complete']",0.7,PN,P514236,2,4,seal identification
6645,P514236.3.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,P514236,3,1,seal identification
6646,P514236.3.2,Sukkaya[]PN$,{m}⸢suk₃-a-a⸣,Sukkaya,Sukkaya,1,PN,"['𒁹', '𒍇', '𒀀', '𒀀']",𒁹𒍇𒀀𒀀,{m}⸢suk₃-a-a⸣,"['complete', 'damaged', 'damaged', 'damaged']",0.38,PN,P514236,3,2,seal identification
6647,P514236.4.1,kunuk[seal]N,{na₄}⸢KIŠIB⸣,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}⸢KIŠIB⸣,"['complete', 'damaged']",0.25,,P514236,4,1,seal identification
6648,P514236.4.2,Nuhšaya[]PN$,{m}HE₂.⸢NUN⸣-[a-a],Nuhšaya,Nuhšaya,1,PN,"['𒁹', '𒃶', '𒉣', '𒀀', '𒀀']",𒁹𒃶𒉣𒀀𒀀,{m}HE₂.⸢NUN⸣-[a-a],"['complete', 'complete', 'damaged', 'missing', 'missing']",0.5,PN,P514236,4,2,seal identification
6649,P514236.5.1,mār[son]N,[DUMU],mār,māru,son,N,['𒌉'],𒌉,[DUMU],['missing'],1.0,,P514236,5,1,seal identification
6650,P514236.5.2,Nergal-eṭir[]PN$,{m}U.GUR-⸢KAR⸣-[ir],Nergal-eṭir,Nergal-eṭir,1,PN,"['𒁹', '𒌋', '𒄥', '𒋼𒀀', '𒅕']",𒁹𒌋𒄥𒋼𒀀𒅕,{m}U.GUR-⸢KAR⸣-[ir],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,PN,P514236,5,2,seal identification
6651,P514236.6.1,bēl[lord]N,[EN],bēl,bēlu,lord,N,['𒂗'],𒂗,[EN],['missing'],1.0,,P514236,6,1,seal identification
6652,P514236.6.2,batussu[nubile girl]N$batūssi,MUNUS.TUR,batūssi,batussu,nubile girl,N,"['𒊩', '𒌉']",𒊩𒌉,MUNUS.TUR,"['complete', 'complete']",0.0,,P514236,6,2,seal identification
6653,P514236.6.3,tadānu[give//giving]V'N$tadāni,⸢SUM-ni⸣,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,⸢SUM-ni⸣,"['damaged', 'damaged']",0.5,,P514236,6,3,seal identification
6654,P514236.10.1,Put-upnišu[]PN$,{[f}pu]-ut-up-ni-⸢šu⸣,Put-upnišu,Put-upnišu,1,PN,"['𒊩', '𒁍', '𒌓', '𒌒', '𒉌', '𒋗']",𒊩𒁍𒌓𒌒𒉌𒋗,{[f]}[pu]-ut-up-ni-⸢šu⸣,"['missing', 'missing', 'complete', 'complete', 'complete', 'damaged']",0.42,PN,P514236,10,1,object sold
6655,P514236.11.1,amtu[maid//female slave]N'N$amatšunu,⸢GEME₂⸣-šu₂-nu,amatšunu,amtu,female slave,N,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,⸢GEME₂⸣-šu₂-nu,"['damaged', 'complete', 'complete']",0.17,,P514236,11,1,object sold
6656,P514236.11.2,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,P514236,11,2,object sold
6657,P514236.11.3,awīlu[man]N$amēlē,⸢LU₂⸣.[MEŠ]-⸢e⸣,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,⸢LU₂⸣.[MEŠ]-⸢e⸣,"['damaged', 'missing', 'damaged']",0.67,,P514236,11,3,object sold
6658,P514236.12.1,annūti[this]DP,[an]-nu-⸢ti⸣,annūti,annû,this,DP,"['𒀭', '𒉡', '𒋾']",𒀭𒉡𒋾,[an]-nu-⸢ti⸣,"['missing', 'complete', 'damaged']",0.5,,P514236,12,1,object sold
6659,P514236.13.1,epēšu[do//contract]V'V$uppišūma,[u₂]-⸢piš⸣-u-⸢ma⸣,uppišūma,epēšu,contract,V,"['𒌑', '𒄫', '𒌋', '𒈠']",𒌑𒄫𒌋𒈠,[u₂]-⸢piš⸣-u-⸢ma⸣,"['missing', 'damaged', 'complete', 'damaged']",0.5,,P514236,13,1,initiation of transaction
6660,P514236.14.1,x-šumu-iddina[]PN$,{[m}x]-MU-AŠ,x-šumu-iddina,x-šumu-iddina,1,PN,"['𒁹', 'X', '𒈬', '𒀸']",𒁹X𒈬𒀸,{[m]}[x]-MU-AŠ,"['missing', 'missing', 'complete', 'complete']",0.5,PN,P514236,14,1,initiation of transaction
6661,P514236.14.2,u,{⸢m}{d}x⸣-[x-(x)],,,,u,"['𒁹', '𒀭', 'X', 'X', 'X']",𒁹𒀭XXX,{⸢m⸣}{⸢d⸣}⸢x⸣-[x-x],"['damaged', 'damaged', 'damaged', 'missing', 'missing']",0.7,,P514236,14,2,initiation of transaction
6662,P514236.16.1,ina[in]PRP,[ina],ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,P514236,16,1,price
6663,P514236.16.2,libbi[interior]N,⸢ŠA₃⸣-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,⸢ŠA₃⸣-bi,"['damaged', 'complete']",0.25,,P514236,16,2,price
6664,P514236.16.3,n,n,,,,n,['X'],X,[n],['missing'],1.0,NUMBER,P514236,16,3,price
6665,P514236.16.4,šiqlu[unit//a unit of weight]N'N$šiqil,GIN₂,šiqil,šiqlu,a unit of weight,N,['𒂆'],𒂆,[GIN₂],['missing'],1.0,,P514236,16,4,price
6666,P514236.16.5,ṣarpi[silver]N,KU₃.BABBAR],ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,[KU₃].[BABBAR],"['missing', 'missing']",1.0,,P514236,16,5,price
6667,P514236.18.1,leqû[take//purchase]V'V$ilqiu,⸢il⸣-qi-u,ilqiu,leqû,purchase,V,"['𒅋', '𒆥', '𒌋']",𒅋𒆥𒌋,⸢il⸣-qi-u,"['damaged', 'complete', 'complete']",0.17,,P514236,18,1,completion of transaction
6668,P514236.18.2,tuāru[revocation]'N,⸢tu₂⸣-[a-ru,tuāru,târu,revocation,V,"['𒌓', '𒀀', '𒊒']",𒌓𒀀𒊒,⸢tu₂⸣-[a-ru],"['damaged', 'missing', 'missing']",0.83,,P514236,18,2,exclusion of litigation
6669,P514236.18.3,dēnu[case]N,de-nu],dēnu,dīnu,case,N,"['𒁲', '𒉡']",𒁲𒉡,[de-nu],"['missing', 'missing']",1.0,,P514236,18,3,exclusion of litigation
