Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
3481,P335439.3.1,[ina,ina[in+=for]PRP,,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P335439,3,1,price
3482,P335439.3.2,ŠA₃],libbi[interior]N,,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,libbi,libbu,interior,,P335439,3,2,price
3483,P335439.3.3,13,n,NUMBER,n,['𒌋𒐈'],𒌋𒐈,⸢13⸣,['damaged'],0.5,,,,,P335439,3,3,price
3484,P335439.3.4,MA.⸢NA⸣,manê[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.⸢NA⸣,"['complete', 'damaged']",0.25,manê,manû,a unit of weight,,P335439,3,4,price
3485,P335439.3.5,[KUG.UD],ṣarpi[silver]N,,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,ṣarpi,ṣarpu,silver,,P335439,3,5,price
3486,P335439.4.1,⸢i-zi⸣-rip,izzirip[purchase]V,,V,"['𒄿', '𒍣', '𒆗']",𒄿𒍣𒆗,⸢i-zi⸣-rip,"['damaged', 'damaged', 'complete']",0.33,izzirip,zarāpu,purchase,,P335439,4,1,completion of transaction
3487,P335439.4.2,⸢is⸣-[si-qi,leqû[take]V$issiqi,,V,"['𒄑', '𒋛', '𒆥']",𒄑𒋛𒆥,⸢is⸣-[si-qi],"['damaged', 'missing', 'missing']",0.83,issiqi,leqû,take,,P335439,4,2,completion of transaction
3488,P335439.4.3,kas-pu],kaspu[money]N,,N,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,kaspu,kaspu,money,,P335439,4,3,confirmation of transfer 1
3489,P335439.5.1,[gam]-⸢mur⸣,gammur[completed]AJ,,AJ,"['𒃵', '𒄯']",𒃵𒄯,[gam]-⸢mur⸣,"['missing', 'damaged']",0.75,gammur,gammuru,completed,,P335439,5,1,confirmation of transfer 1
3490,P335439.5.2,ta-din,tadin[paid]AJ,,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,,P335439,5,2,confirmation of transfer 1
3491,P335439.5.3,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335439,5,3,confirmation of transfer 2
3492,P335439.5.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335439,5,4,confirmation of transfer 2
3493,P335439.5.5,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335439,5,5,confirmation of transfer 2
3494,P335439.5.6,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335439,5,6,confirmation of transfer 2
3495,P335439.6.1,[za]-⸢ar₂⸣-pu,zarpu[purchased]AJ,,AJ,"['𒍝', '𒌒', '𒁍']",𒍝𒌒𒁍,[za]-⸢ar₂⸣-pu,"['missing', 'damaged', 'complete']",0.5,zarpu,zarpu,purchased,,P335439,6,1,confirmation of transfer 2
3496,P335439.6.2,laq-[qi-u,laqqiu[acquired]AJ,,AJ,"['𒋃', '𒆥', '𒌋']",𒋃𒆥𒌋,laq-[qi-u],"['complete', 'missing', 'missing']",0.67,laqqiu,leqû,acquired,,P335439,6,2,confirmation of transfer 2
