Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
7608,P514234.2.1,kunuk[seal]N,{na₄}⸢KIŠIB⸣,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}⸢KIŠIB⸣,"['complete', 'damaged']",0.25,,P514234,2,1,seal identification
7609,P514234.2.2,Riba-x[]PN$,{[m}SU-x],Riba-x,Riba-x,1,PN,"['𒁹', '𒋢', 'X']",𒁹𒋢X,{[m]}[SU-x],"['missing', 'missing', 'missing']",1.0,PN,P514234,2,2,seal identification
7610,P514234.3.1,ṣarrāpu[goldsmith]N$ṣarrāpi,{⸢lu₂}SIMUG.KU₃.GI⸣,ṣarrāpi,ṣarrāpu,goldsmith,N,"['𒇽', '𒌣', '𒆬', '𒄀']",𒇽𒌣𒆬𒄀,{⸢LU₂⸣}⸢SIMUG⸣.⸢KU₃⸣.⸢GI⸣,"['damaged', 'damaged', 'damaged', 'damaged']",0.5,,P514234,3,1,seal identification
7611,P514234.4.1,ša[of]DET,⸢ša⸣,ša,ša,of,DET,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,,P514234,4,1,seal identification
7612,P514234.4.2,Libbi-ali[Inner City (Assur)]QN$,{uru}ŠA₃.⸢URU⸣,Libbi-ali,Libbi-ali,Inner City (Assur),QN,"['𒌷', '𒊮', '𒌷']",𒌷𒊮𒌷,{URU}ŠA₃.⸢URU⸣,"['complete', 'complete', 'damaged']",0.17,,P514234,4,2,seal identification
7613,P514234.8.1,kurhu[workshop]N,{⸢e₂⸣}kur-⸢hu⸣,kurhu,kurhu,workshop,N,"['𒂍', '𒆳', '𒄷']",𒂍𒆳𒄷,{⸢E₂⸣}kur-⸢hu⸣,"['damaged', 'complete', 'damaged']",0.33,,P514234,8,1,object sold
7614,P514234.8.2,adi[with]PRP,a-di,adi,adi,with,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,,P514234,8,2,object sold
7615,P514234.8.3,gušūru[tree-trunk//(roof-)beam]N'N$gušūrīšu,GIŠ.⸢UR₃.MEŠ⸣-[šu₂],gušūrīšu,gušūru,(roof-)beam,N,"['𒄑', '𒃡', '𒈨𒌍', '𒋙']",𒄑𒃡𒈨𒌍𒋙,GIŠ.⸢UR₃⸣.⸢MEŠ⸣-[šu₂],"['complete', 'damaged', 'damaged', 'missing']",0.5,,P514234,8,3,object sold
7616,P514234.9.1,tarbāṣi[courtyard]N,⸢TUR₃⸣,tarbāṣi,tarbāṣu,courtyard,N,['𒉣𒇬'],𒉣𒇬,⸢TUR₃⸣,['damaged'],0.5,,P514234,9,1,object sold
7617,P514234.9.2,mūṣû[exit]N,mu-ṣu-u₂,mūṣû,mūṣû,exit,N,"['𒈬', '𒍮', '𒌑']",𒈬𒍮𒌑,mu-ṣu-u₂,"['complete', 'complete', 'complete']",0.0,,P514234,9,2,object sold
7618,P514234.9.3,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,P514234,9,3,object sold
7619,P514234.10.1,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514234,10,1,object sold
7620,P514234.10.2,Bel-šumu-iddina[]PN$,{m}EN-MU-AŠ,Bel-šumu-iddina,Bel-šumu-iddina,1,PN,"['𒁹', '𒂗', '𒈬', '𒀸']",𒁹𒂗𒈬𒀸,{m}EN-MU-AŠ,"['complete', 'complete', 'complete', 'complete']",0.0,PN,P514234,10,2,object sold
7621,P514234.10.3,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,P514234,10,3,object sold
7622,P514234.10.4,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514234,10,4,object sold
7623,P514234.10.5,u,{[m}x-x-(x)],,,,u,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,,P514234,10,5,object sold
7624,P514234.11.1,bētu[house]N,⸢E₂⸣,bētu,bītu,house,N,['𒂍'],𒂍,⸢E₂⸣,['damaged'],0.5,,P514234,11,1,object sold
7625,P514234.11.2,šuātu[this]'DP,šu-a-tu₂,šuātu,šuāti,this,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,,P514234,11,2,object sold
7626,P514234.11.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,P514234,11,3,object sold
7627,P514234.11.4,Riba-x[]PN$,{m}⸢SU⸣-[x,Riba-x,Riba-x,1,PN,"['𒁹', '𒋢', 'X']",𒁹𒋢X,{m}⸢SU⸣-[x],"['complete', 'damaged', 'missing']",0.5,PN,P514234,11,4,object sold
7628,P514234.11.5,nappāhu[smith]N$nappāhi,{lu₂]}⸢SIMUG⸣,nappāhi,nappāhu,smith,N,"['𒇽', '𒌣']",𒇽𒌣,{[LU₂]}⸢SIMUG⸣,"['missing', 'damaged']",0.75,,P514234,11,5,object sold
7629,P514234.12.1,uppišma[contract]V,[u₂]-⸢piš⸣-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂]-⸢piš⸣-ma,"['missing', 'damaged', 'complete']",0.5,,P514234,12,1,initiation of transaction
