Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
1884,P522549.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,2,1,seal identification
1885,P522549.2.2,Sesa-dala[1]PN,{m}se-sa-dal₃-a,Sesa-dala,Sesa-dala,1,PN,"['𒁹', '𒋛', '𒊓', '𒀸', '𒀀']",𒁹𒋛𒊓𒀸𒀀,{m}se-sa-dal₃-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,2,2,seal identification
1886,P522549.2.3,+rab-bīti[major-domo]N$rab-bēti,GAL-E₂,rab-bēti,rab-bīti,major-domo,N,"['𒃲', '𒂍']",𒃲𒂍,GAL-E₂,"['complete', 'complete']",0.0,,,P522549,2,3,seal identification
1887,P522549.3.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,3,1,seal identification
1888,P522549.3.2,Banitu-tereš[1]PN,{m}{d}ba-ni-tu₂-APIN-eš,Banitu-tereš,Banitu-tereš,1,PN,"['𒁹', '𒀭', '𒁀', '𒉌', '𒌓', '𒀳', '𒌍']",𒁹𒀭𒁀𒉌𒌓𒀳𒌍,{m}{d}ba-ni-tu₂-APIN-eš,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,3,2,seal identification
1889,P522549.3.3,ṭupšarru[scribe]N,A.BA,ṭupšarru,ṭupšarru,scribe,N,"['𒀀', '𒁀']",𒀀𒁀,A.BA,"['complete', 'complete']",0.0,,,P522549,3,3,seal identification
1890,P522549.4.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,4,1,seal identification
1891,P522549.4.2,Galul[1]PN,{m}ga-lul,Galul,Galul,1,PN,"['𒁹', '𒂵', '𒈜']",𒁹𒂵𒈜,{m}ga-lul,"['complete', 'complete', 'complete']",0.0,,PN,P522549,4,2,seal identification
1892,P522549.4.3,mukīl-appāte[chariot driver]N,DIB-PA.MEŠ,mukīl-appāte,mukīl-appāti,chariot driver,N,"['𒁳', '𒉺', '𒈨𒌍']",𒁳𒉺𒈨𒌍,DIB-PA.MEŠ,"['complete', 'complete', 'complete']",0.0,,,P522549,4,3,seal identification
1893,P522549.5.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,5,1,seal identification
1894,P522549.5.2,Sin-zeru-iddina[1]PN,{m}30-NUMUN-AŠ,Sin-zeru-iddina,Sin-zeru-iddina,1,PN,"['𒁹', '𒌍', '𒆰', '𒀸']",𒁹𒌍𒆰𒀸,{m}30-NUMUN-AŠ,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,5,2,seal identification
1895,P522549.5.3,tašlīšu[third man on chariot]N,{lu₂}3-šu₂,tašlīšu,tašlīšu,third man on chariot,N,"['𒇽', '𒐈', '𒋙']",𒇽𒐈𒋙,{LU₂}3-šu₂,"['complete', 'complete', 'complete']",0.0,,,P522549,5,3,seal identification
1896,P522549.6.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,6,1,seal identification
1897,P522549.6.2,Bel-šarru-uṣur[1]PN,{m}EN-MAN-PAB,Bel-šarru-uṣur,Bel-šarru-uṣur,1,PN,"['𒁹', '𒂗', '𒌋𒌋', '𒉽']",𒁹𒂗𒌋𒌋𒉽,{m}EN-MAN-PAB,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,6,2,seal identification
1898,P522549.6.3,rab-kiṣir[cohort commander]N,GAL-ki-ṣir,rab-kiṣir,rab-kiṣri,cohort commander,N,"['𒃲', '𒆠', '𒈲']",𒃲𒆠𒈲,GAL-ki-ṣir,"['complete', 'complete', 'complete']",0.0,,,P522549,6,3,seal identification
1899,P522549.7.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,7,1,seal identification
1900,P522549.7.2,Aya-dadi[1]PN,{m}a-a-da-di,Aya-dadi,Aya-dadi,1,PN,"['𒁹', '𒀀', '𒀀', '𒁕', '𒁲']",𒁹𒀀𒀀𒁕𒁲,{m}a-a-da-di,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,7,2,seal identification
1901,P522549.7.3,ṭupšarru[scribe]N,A.BA,ṭupšarru,ṭupšarru,scribe,N,"['𒀀', '𒁀']",𒀀𒁀,A.BA,"['complete', 'complete']",0.0,,,P522549,7,3,seal identification
1902,P522549.8.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,8,1,seal identification
1903,P522549.8.2,Ṣalmu-šarri-iqbi[1]PN,{m}NU-MAN-E,Ṣalmu-šarri-iqbi,Ṣalmu-šarri-iqbi,1,PN,"['𒁹', '𒉡', '𒌋𒌋', '𒂊']",𒁹𒉡𒌋𒌋𒂊,{m}NU-MAN-E,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,8,2,seal identification
1904,P522549.8.3,+rab-nikkassi[chief of accounts]N$,GAL-NIG₂.ŠID,rab-nikkassi,rab-nikkassi,chief of accounts,N,"['𒃲', '𒃻', '𒋃']",𒃲𒃻𒋃,GAL-NIG₂.ŠID,"['complete', 'complete', 'complete']",0.0,,,P522549,8,3,seal identification
1905,P522549.9.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,9,1,seal identification
1906,P522549.9.2,Harranayu[1]PN,{m}{uru}KASKAL-a-a,Harranayu,Harranayu,1,PN,"['𒁹', '𒌷', '𒆜', '𒀀', '𒀀']",𒁹𒌷𒆜𒀀𒀀,{m}{URU}KASKAL-a-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,9,2,seal identification
1907,P522549.9.3,Ašhiri[1]PN,{m}aš₂-hi-ri,Ašhiri,Ašhiri,1,PN,"['𒁹', '𒀾', '𒄭', '𒊑']",𒁹𒀾𒄭𒊑,{m}aš₂-hi-ri,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,9,3,seal identification
1908,P522549.10.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,10,1,seal identification
1909,P522549.10.2,Bel-salim[1]PN,{m}EN-sa-lim,Bel-salim,Bel-salim,1,PN,"['𒁹', '𒂗', '𒊓', '𒅆']",𒁹𒂗𒊓𒅆,{m}EN-sa-lim,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,10,2,seal identification
1910,P522549.10.3,Kiṣiri[1]PN,{m}ki-ṣir-i,Kiṣiri,Kiṣiri,1,PN,"['𒁹', '𒆠', '𒈲', '𒄿']",𒁹𒆠𒈲𒄿,{m}ki-ṣir-i,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,10,3,seal identification
1911,P522549.11.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522549,11,1,seal identification
1912,P522549.11.2,Hate-nuri[1]PN,{m}ha-te-e-ZALAG₂,Hate-nuri,Hate-nuri,1,PN,"['𒁹', '𒄩', '𒋼', '𒂊', '𒂟']",𒁹𒄩𒋼𒂊𒂟,{m}ha-te-e-ZALAG₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,11,2,seal identification
1913,P522549.11.3,Nabu-bessunu[1]PN,{m}{d}PA-be₂-sun₂,Nabu-bessunu,Nabu-bessunu,1,PN,"['𒁹', '𒀭', '𒉺', '𒁉', '𒄢']",𒁹𒀭𒉺𒁉𒄢,{m}{d}PA-be₂-sun₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,11,3,seal identification
1914,P522549.12.1,gimru[total]N,PAB,gimru,gimru,total,N,['𒉽'],𒉽,PAB,['complete'],0.0,,,P522549,12,1,seal identification
1915,P522549.12.2,n,12,,,,n,['𒌋𒈫'],𒌋𒈫,12,['complete'],0.0,,NUMBER,P522549,12,2,seal identification
1916,P522549.12.3,+awīlu[man]N$amēlāte,LU₂-a-te,amēlāte,awīlu,man,N,"['𒇽', '𒀀', '𒋼']",𒇽𒀀𒋼,LU₂-a-te,"['complete', 'complete', 'complete']",0.0,,,P522549,12,3,seal identification
1917,P522549.12.4,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522549,12,4,seal identification
1918,P522549.12.5,issi[woman]N,MI₂,issi,issu,woman,N,['𒊩'],𒊩,MI₂,['complete'],0.0,,,P522549,12,5,seal identification
1919,P522549.12.6,tadāni[giving]'N,SUM-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,,,P522549,12,6,seal identification
1920,P522549.16.1,Damanaya[1]PN,{f}da-ma-na-a,Damanaya,Damanaya,1,PN,"['𒊩', '𒁕', '𒈠', '𒈾', '𒀀']",𒊩𒁕𒈠𒈾𒀀,{f}da-ma-na-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522549,16,1,object sold
1921,P522549.16.2,amtušunu[maid]N,GEME₂-šu₂-<nu>,amtušunu,amtu,maid,N,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,GEME₂-šu₂-nu,"['complete', 'complete', 'complete']",0.0,,,P522549,16,2,object sold
1922,P522549.17.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,,P522549,17,1,initiation of transaction
