Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
72,P522555.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522555,2,1,seal identification
73,P522555.2.2,Wandi[1]PN,{m}u₂-an-di-i,Wandi,Wandi,1,PN,"['𒁹', '𒌑', '𒀭', '𒁲', '𒄿']",𒁹𒌑𒀭𒁲𒄿,{m}u₂-an-di-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522555,2,2,seal identification
74,P522555.3.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522555,3,1,seal identification
75,P522555.3.2,Ṭuri-rame[1]PN,{m}ṭu-ri-ra-me,Ṭuri-rame,Ṭuri-rame,1,PN,"['𒁹', '𒂅', '𒊑', '𒊏', '𒈨']",𒁹𒂅𒊑𒊏𒈨,{m}ṭu-ri-ra-me,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522555,3,2,seal identification
76,P522555.3.3,+māru[son]N$mārīšu,DUMU-šu₂,mārīšu,māru,son,N,"['𒌉', '𒋙']",𒌉𒋙,DUMU-šu₂,"['complete', 'complete']",0.0,,,P522555,3,3,seal identification
77,P522555.4.1,gimru[total]N,PAB,gimru,gimru,total,N,['𒉽'],𒉽,PAB,['complete'],0.0,,,P522555,4,1,seal identification
78,P522555.4.2,n,02,,,,n,['0₂'],0₂,02,['complete'],0.0,,NUMBER,P522555,4,2,seal identification
79,P522555.4.3,+awīlu[man]N$amēlē,LU₂-e,amēlē,awīlu,man,N,"['𒇽', '𒂊']",𒇽𒂊,LU₂-e,"['complete', 'complete']",0.0,,,P522555,4,3,seal identification
80,P522555.4.4,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522555,4,4,seal identification
81,P522555.4.5,issi[woman]N,MI₂,issi,issu,woman,N,['𒊩'],𒊩,MI₂,['complete'],0.0,,,P522555,4,5,seal identification
82,P522555.4.6,tadānu[giving]'N,SUM-an-nu,iddannu,tadānu,giving,V,"['𒋧', '𒀭', '𒉡']",𒋧𒀭𒉡,SUM-an-nu,"['complete', 'complete', 'complete']",0.0,,,P522555,4,6,seal identification
83,P522555.8.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,P522555,8,1,none
84,P522555.9.1,uppišma[contract]V,[u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš-ma],"['missing', 'missing', 'missing']",1.0,,,P522555,9,1,initiation of transaction
85,P522555.9.2,Ubru-Nergal[1]PN,{m]}⸢SUHUŠ⸣-U.GUR,Ubru-Nergal,Ubru-Nergal,1,PN,"['𒁹', '𒁼', '𒌋', '𒄥']",𒁹𒁼𒌋𒄥,{[m]}⸢SUHUŠ⸣-U.GUR,"['missing', 'damaged', 'complete', 'complete']",0.38,,PN,P522555,9,2,initiation of transaction
86,P522555.10.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,,P522555,10,1,completion of transaction
87,P522555.10.2,pān[presence]N,⸢IGI⸣,pān,pānu,presence,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,,,P522555,10,2,completion of transaction
88,P522555.10.3,amēlē[man]N,LU₂.<MEŠ>,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍']",𒇽𒈨𒌍,LU₂.MEŠ,"['complete', 'complete']",0.0,,,P522555,10,3,completion of transaction
89,P522555.10.4,annūtu[this]DP,an-nu-tu₂,annūtu,annû,this,DP,"['𒀭', '𒉡', '𒌓']",𒀭𒉡𒌓,an-nu-tu₂,"['complete', 'complete', 'complete']",0.0,,,P522555,10,4,completion of transaction
90,P522555.11.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522555,11,1,price
91,P522555.11.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,,P522555,11,2,price
92,P522555.11.3,n,30,,,,n,['𒌍'],𒌍,30,['complete'],0.0,,NUMBER,P522555,11,3,price
93,P522555.11.4,šiqil[a unit of weight]N,GIN₂,šiqil,šiqlu,a unit of weight,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,,,P522555,11,4,price
