Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
2031,P522548.2.1,kūm[instead of]PRP,⸢ku⸣-um,kūm,kūm,instead of,PRP,"['𒆪', '𒌝']",𒆪𒌝,⸢ku⸣-um,"['damaged', 'complete']",0.25,,,P522548,2,1,seal identification
2032,P522548.2.2,kunukki[seal]N,{na₄}KIŠIB,kunukki,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522548,2,2,seal identification
2033,P522548.2.3,+ṣupru[nail//fingernail]N'N$ṣuparšu,ṣu-par₂-šu₂,ṣuparšu,ṣupru,fingernail,N,"['𒍮', '𒁇', '𒋙']",𒍮𒁇𒋙,ṣu-par₂-šu₂,"['complete', 'complete', 'complete']",0.0,,,P522548,2,3,seal identification
2034,P522548.2.4,iškun[place]V,iš-⸢kun⸣,iškun,šakānu,place,V,"['𒅖', '𒆲']",𒅖𒆲,iš-⸢kun⸣,"['complete', 'damaged']",0.25,,,P522548,2,4,seal identification
2035,P522548.3.1,ṣupur[fingernail]N,[ṣu]-⸢pur⸣,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu]-⸢pur⸣,"['missing', 'damaged']",0.75,,,P522548,3,1,seal identification
2036,P522548.3.2,Šulmu-beli-lašme[1]PN,{m}DI-EN-aš₂-me,Šulmu-beli-lašme,Šulmu-beli-lašme,1,PN,"['𒁹', '𒁲', '𒂗', '𒀾', '𒈨']",𒁹𒁲𒂗𒀾𒈨,{m}DI-EN-aš₂-me,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522548,3,2,seal identification
2037,P522548.3.3,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522548,3,3,seal identification
2038,P522548.3.4,amti[maid]N,GEME₂,amti,amtu,maid,N,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,,,P522548,3,4,seal identification
2039,P522548.3.5,tadāni[giving]'N,[SUM-ni],tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,,,P522548,3,5,seal identification
2040,P522548.7.1,Irtam-Adad[1]PN,{f}ir₃-tam-{d}IM,Irtam-Adad,Irtam-Adad,1,PN,"['𒊩', '𒀴', '𒌓', '𒀭', '𒅎']",𒊩𒀴𒌓𒀭𒅎,{f}ir₃-tam-{d}IM,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522548,7,1,object sold
2041,P522548.7.2,amtu[maid]N,GEME₂,amti,amtu,maid,N,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,,,P522548,7,2,object sold
2042,P522548.7.3,ahūšu[brother]N,⸢ŠEŠ⸣-[šu₂],ahūšu,ahu,brother,N,"['𒋀', '𒋙']",𒋀𒋙,⸢ŠEŠ⸣-[šu₂],"['damaged', 'missing']",0.75,,,P522548,7,3,object sold
2043,P522548.8.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,,P522548,8,1,initiation of transaction
2044,P522548.8.2,Urdu-Nanaya[1]PN,{m}ARAD-na-<na>-a-a,Urdu-Nanaya,Urdu-Nanaya,1,PN,"['𒁹', '𒀴', '𒈾', '𒈾', '𒀀', '𒀀']",𒁹𒀴𒈾𒈾𒀀𒀀,{m}ARAD-na-na-a-a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522548,8,2,initiation of transaction
2045,P522548.9.1,issi[with]PRP,TA,issi,išti,with,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,,P522548,9,1,price
2046,P522548.9.2,n,16,,,,n,['𒌋𒐋'],𒌋𒐋,16,['complete'],0.0,,NUMBER,P522548,9,2,price
