Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
731,P522459.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522459,2,1,,seal identification
732,P522459.2.2,%akk-x-neoass:{m}na-di-nu=,{m}na-di-nu,"['𒁹', '𒈾', '𒁲', '𒉡']",𒁹𒈾𒁲𒉡,{m}na-di-nu,"['complete', 'complete', 'complete', 'complete']",0.0,P522459,2,2,,seal identification
733,P522459.3.1,%akk-x-neoass:A=,A,['𒀀'],𒀀,A,['complete'],0.0,P522459,3,1,,seal identification
734,P522459.3.2,%akk-x-neoass:{m}za-am-ma-a-ni-iš-še=,{m}za-am-ma-a-ni-iš-še,"['𒁹', '𒍝', '𒄠', '𒈠', '𒀀', '𒉌', '𒅖', '𒊺']",𒁹𒍝𒄠𒈠𒀀𒉌𒅖𒊺,{m}za-am-ma-a-ni-iš-še,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522459,3,2,,seal identification
735,P522459.4.1,%akk-x-neoass:{URU}ta-ga-ri-te-ni=,{uru}ta-ga-ri-te-ni,"['𒌷', '𒋫', '𒂵', '𒊑', '𒋼', '𒉌']",𒌷𒋫𒂵𒊑𒋼𒉌,{URU}ta-ga-ri-te-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522459,4,1,,seal identification
736,P522459.5.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522459,5,1,,seal identification
737,P522459.5.2,%akk-x-neoass:GEME₂=,GEME₂,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,P522459,5,2,,seal identification
738,P522459.5.3,%akk-x-neoass:ta-da-ni=,ta-da-ni,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,P522459,5,3,,seal identification
739,P522459.9.1,%akk-x-neoass:{MI₂}bi-iʾ-ru-a=,{mi₂}bi-iʾ-ru-a,"['𒊩', '𒁉', '𒀪', '𒊒', '𒀀']",𒊩𒁉𒀪𒊒𒀀,{MI₂}bi-iʾ-ru-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522459,9,1,,object sold
740,P522459.9.2,%akk-x-neoass:GEME₂-šu₂=,GEME₂-šu₂,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,P522459,9,2,,object sold
741,P522459.10.1,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,P522459,10,1,,object sold
742,P522459.10.2,%akk-x-neoass:{m}na-di-nu=,{m}na-di-nu,"['𒁹', '𒈾', '𒁲', '𒉡']",𒁹𒈾𒁲𒉡,{m}na-di-nu,"['complete', 'complete', 'complete', 'complete']",0.0,P522459,10,2,,object sold
743,P522459.10.3,%akk-x-neoass:up-piš-ma=,up-piš-ma,"['𒌒', '𒄫', '𒈠']",𒌒𒄫𒈠,up-piš-ma,"['complete', 'complete', 'complete']",0.0,P522459,10,3,,initiation of transaction
744,P522459.11.1,%akk-x-neoass:{m}aš-šur-KUR-LAL=,{m}aš-šur-KUR-LAL,"['𒁹', '𒀸', '𒋩', '𒆳', '𒇲']",𒁹𒀸𒋩𒆳𒇲,{m}aš-šur-KUR-LAL,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522459,11,1,,initiation of transaction
745,P522459.11.2,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522459,11,2,,price
746,P522459.11.3,%akk-x-neoass:ŠA₃=,ŠA₃,['𒊮'],𒊮,ŠA₃,['complete'],0.0,P522459,11,3,,price
747,P522459.11.4,%akk-x-neoass:33=,33,['𒌍𒐈'],𒌍𒐈,33,['complete'],0.0,P522459,11,4,,price
748,P522459.11.5,%akk-x-neoass:GIN₂=,GIN₂,['𒂆'],𒂆,GIN₂,['complete'],0.0,P522459,11,5,,price
749,P522459.11.6,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522459,11,6,,price
750,P522459.12.1,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522459,12,1,,price
751,P522459.12.2,%akk-x-neoass:{URU}gar₃-ga-mis=,{uru}gar₃-ga-mis,"['𒌷', '𒃼', '𒂵', '𒈩']",𒌷𒃼𒂵𒈩,{URU}gar₃-ga-mis,"['complete', 'complete', 'complete', 'complete']",0.0,P522459,12,2,,price
752,P522459.12.3,%akk-x-neoass:TA=,TA,['𒋫'],𒋫,TA,['complete'],0.0,P522459,12,3,,completion of transaction
753,P522459.12.4,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,P522459,12,4,,completion of transaction
754,P522459.13.1,%akk-x-neoass:{m}na-di-nu=,{m}na-di-nu,"['𒁹', '𒈾', '𒁲', '𒉡']",𒁹𒈾𒁲𒉡,{m}na-di-nu,"['complete', 'complete', 'complete', 'complete']",0.0,P522459,13,1,,completion of transaction
755,P522459.13.2,%akk-x-neoass:il-qi=,il-qi,"['𒅋', '𒆥']",𒅋𒆥,il-qi,"['complete', 'complete']",0.0,P522459,13,2,,completion of transaction
756,P522459.13.3,%akk-x-neoass:kas-pu=,kas-pu,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,P522459,13,3,,confirmation of transfer 1
757,P522459.14.1,%akk-x-neoass:ga-mur=,ga-mur,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,P522459,14,1,,confirmation of transfer 1
758,P522459.14.2,%akk-x-neoass:ta-a-din=,ta-a-din,"['𒋫', '𒀀', '𒁷']",𒋫𒀀𒁷,ta-a-din,"['complete', 'complete', 'complete']",0.0,P522459,14,2,,confirmation of transfer 1
759,P522459.14.3,%akk-x-neoass:GEME₂=,GEME₂,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,P522459,14,3,,confirmation of transfer 2
760,P522459.14.4,%akk-x-neoass:šu-a-tu₂=,šu-a-tu₂,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,P522459,14,4,,confirmation of transfer 2
761,P522459.15.1,%akk-x-neoass:za-ar₂-pat=,za-ar₂-pat,"['𒍝', '𒌒', '𒉻']",𒍝𒌒𒉻,za-ar₂-pat,"['complete', 'complete', 'complete']",0.0,P522459,15,1,,confirmation of transfer 2
762,P522459.15.2,%akk-x-neoass:laq-qi-at=,laq-qi-at,"['𒋃', '𒆥', '𒀜']",𒋃𒆥𒀜,laq-qi-at,"['complete', 'complete', 'complete']",0.0,P522459,15,2,,confirmation of transfer 2
763,P522459.15.3,%akk-x-neoass:tu-a-ru=,(tu-a-ru),"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,P522459,15,3,,exclusion of litigation
764,P522459.16.1,%akk-x-neoass:de-e-nu=,de-e-nu,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,P522459,16,1,,exclusion of litigation
765,P522459.16.2,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.DUG₄,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,P522459,16,2,,exclusion of litigation
766,P522459.16.3,%akk-x-neoass:la-a-šu₂=,la-a-šu₂,"['𒆷', '𒀀', '𒋙']",𒆷𒀀𒋙,la-a-šu₂,"['complete', 'complete', 'complete']",0.0,P522459,16,3,,exclusion of litigation
767,P522459.17.1,%akk-x-neoass:man-nu=,man-nu,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,P522459,17,1,,penalties for litigation: contravention
768,P522459.17.2,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,P522459,17,2,,penalties for litigation: contravention
769,P522459.17.3,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522459,17,3,,penalties for litigation: contravention
770,P522459.17.4,%akk-x-neoass:ur-kiš=,ur-kiš,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,P522459,17,4,,penalties for litigation: contravention
