Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
26709,P335430.3.1,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,1,none
26710,P335430.3.2,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,2,none
26711,P335430.3.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,3,none
26712,P335430.3.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,4,none
26713,P335430.3.5,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,5,none
26714,P335430.3.6,nu,u,,u,['𒉡'],𒉡,nu,['complete'],0.0,,,,,P335430,3,6,none
26715,P335430.3.7,[x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,7,none
26716,P335430.3.8,⸢x⸣,u,,u,['x'],x,⸢x⸣,['damaged'],0.5,,,,,P335430,3,8,none
26717,P335430.3.9,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,9,none
26718,P335430.3.10,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,10,none
26719,P335430.3.11,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,11,none
26720,P335430.3.12,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,3,12,none
26721,P335430.4.1,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335430,4,1,none
26722,P335430.4.2,x]-⸢li⸣,u,,u,"['x', '𒇷']",x𒇷,[x]-⸢li⸣,"['missing', 'damaged']",0.75,,,,,P335430,4,2,none
26723,P335430.4.3,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335430,4,3,none
