Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
27516,P335446.3.1,[ARAD]-⸢MEŠ⸣-ni,urdāni[servant]N,,N,"['𒀴', '𒈨𒌍', '𒉌']",𒀴𒈨𒌍𒉌,[ARAD]-⸢MEŠ⸣-ni,"['missing', 'damaged', 'complete']",0.5,urdāni,ardu,servant,,P335446,3,1,object sold
27517,P335446.3.2,⸢ša⸣,ša[of]DET,,DET,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,ša,ša,of,,P335446,3,2,object sold
27518,P335446.3.3,{1}DINGIR—a-mar-ra,Il-amar[1]PN$Il-amara,PN,PN,"['𒁹', '𒀭', '𒀀', '𒈥', '𒊏']",𒁹𒀭𒀀𒈥𒊏,{[1]}DINGIR-a-mar-ra,"['missing', 'complete', 'complete', 'complete', 'complete']",0.2,Il-amara,Il-amar,1,,P335446,3,3,object sold
27519,P335446.4.1,{[lu₂v]}⸢GAL⸣—kar-⸢ma⸣-ni,rabû[big one]N$rab&karmu[heap]N$karmāni,,N,"['𒇽', '𒃲', '𒋼𒀀', '𒈠', '𒉌']",𒇽𒃲𒋼𒀀𒈠𒉌,{[LU₂~v]}⸢GAL⸣-kar-⸢ma⸣-ni,"['missing', 'damaged', 'complete', 'damaged', 'complete']",0.4,rab,rabû,big one,,P335446,4,1,object sold
27521,P335446.5.1,[u₂-piš]-⸢ma⸣,uppišma[contract]V,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš]-⸢ma⸣,"['missing', 'missing', 'damaged']",0.83,uppišma,epēšu,contract,,P335446,5,1,initiation of transaction
27522,P335446.5.2,{1}šum-ma—⸢DINGIR⸣-MEŠ-ni,Šumma-ilani[1]PN,PN,PN,"['𒁹', '𒋳', '𒈠', '𒀭', '𒈨𒌍', '𒉌']",𒁹𒋳𒈠𒀭𒈨𒌍𒉌,{1}šum-ma-⸢DINGIR⸣-MEŠ-ni,"['complete', 'complete', 'complete', 'damaged', 'complete', 'complete']",0.08,Šumma-ilani,Šumma-ilani,1,,P335446,5,2,initiation of transaction
27523,P335446.6.1,[ina,ina[in+=for]PRP,,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P335446,6,1,price
27524,P335446.6.2,ŠA₃],libbi[interior]N,,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,libbi,libbu,interior,,P335446,6,2,price
27525,P335446.6.3,1/2,n,NUMBER,n,['𒈦'],𒈦,1/2,['complete'],0.0,,,,,P335446,6,3,price
27526,P335446.6.4,MA.NA,manû[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manû,manû,a unit of weight,,P335446,6,4,price
