Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
2329,P522563.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522563,2,1,seal identification
2330,P522563.2.2,Mušezib-ilu[1]PN,{[m}mu-še-zib-DINGIR],Mušezib-ilu,Mušezib-ilu,1,PN,"['𒁹', '𒈬', '𒊺', '𒍦', '𒀭']",𒁹𒈬𒊺𒍦𒀭,{[m]}[mu-še-zib-DINGIR],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,,PN,P522563,2,2,seal identification
2331,P522563.3.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522563,3,1,seal identification
2332,P522563.3.2,+issu[woman]N$issi,⸢MI₂⸣,issi,issu,woman,N,['𒊩'],𒊩,⸢MI₂⸣,['damaged'],0.5,,,P522563,3,2,seal identification
2333,P522563.3.3,tadāni[giving]'N,[SUM-ni],tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,,,P522563,3,3,seal identification
2334,P522563.7.1,Kazubtu[1]PN,{f}ka-zu-ub-tu₂,Kazubtu,Kazubtu,1,PN,"['𒊩', '𒅗', '𒍪', '𒌒', '𒌓']",𒊩𒅗𒍪𒌒𒌓,{f}ka-zu-ub-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522563,7,1,object sold
2335,P522563.7.2,marʾussu[daughter]N,DUMU.MI₂-su,marʾussu,mārtu,daughter,N,"['𒌉', '𒊩', '𒋢']",𒌉𒊩𒋢,DUMU.MI₂-su,"['complete', 'complete', 'complete']",0.0,,,P522563,7,2,object sold
2336,P522563.8.1,uppišma[contract]V,⸢u₂⸣-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,⸢u₂⸣-piš-ma,"['damaged', 'complete', 'complete']",0.17,,,P522563,8,1,initiation of transaction
2337,P522563.8.2,La-qepu[1]PN,{m}la-qe-pu,La-qepi,La-qepu,1,PN,"['𒁹', '𒆷', '𒆥', '𒁍']",𒁹𒆷𒆥𒁍,{m}la-qe-pu,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522563,8,2,initiation of transaction
2338,P522563.9.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,,P522563,9,1,completion of transaction
2339,P522563.9.2,pān[presence]N,IGI,pān,pānu,presence,N,['𒅆'],𒅆,IGI,['complete'],0.0,,,P522563,9,2,completion of transaction
2340,P522563.9.3,Mušezib-ilu[1]PN,{m}mu-še-zib-DINGIR,Mušezib-ilu,Mušezib-ilu,1,PN,"['𒁹', '𒈬', '𒊺', '𒍦', '𒀭']",𒁹𒈬𒊺𒍦𒀭,{m}mu-še-zib-DINGIR,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522563,9,3,completion of transaction
2341,P522563.10.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522563,10,1,price
2342,P522563.10.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,,P522563,10,2,price
2343,P522563.10.3,n,1/2,,,,n,['𒈦'],𒈦,1/2,['complete'],0.0,,NUMBER,P522563,10,3,price
2344,P522563.10.4,manā[a unit of weight]N,MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,,P522563,10,4,price
2345,P522563.10.5,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,,P522563,10,5,price
2346,P522563.10.6,izzirip[purchase]V,i-zi-rip,izzirip,zarāpu,purchase,V,"['𒄿', '𒍣', '𒆗']",𒄿𒍣𒆗,i-zi-rip,"['complete', 'complete', 'complete']",0.0,,,P522563,10,6,completion of transaction
2347,P522563.11.1,issiqi[purchase]V,i-si-qi,issiqi,leqû,purchase,V,"['𒄿', '𒋛', '𒆥']",𒄿𒋛𒆥,i-si-qi,"['complete', 'complete', 'complete']",0.0,,,P522563,11,1,completion of transaction
2348,P522563.11.2,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,,P522563,11,2,confirmation of transfer 1
2349,P522563.11.3,gammur[completed]AJ,gam-mur,gammur,gammuru,completed,AJ,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,,,P522563,11,3,confirmation of transfer 1
2350,P522563.12.1,tadin[paid]AJ,ta-din,tadin,tadnu,paid,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,,,P522563,12,1,confirmation of transfer 1
2351,P522563.12.2,issu[woman]N,MI₂,issu,sinništu,woman,N,['𒊩'],𒊩,MI₂,['complete'],0.0,,,P522563,12,2,confirmation of transfer 2
2352,P522563.12.3,šuātu[that]'DP,šu-a-tu₂,šuātu,šuāti,that,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,,,P522563,12,3,confirmation of transfer 2
2353,P522563.12.4,zarpat[purchased]AJ,za-ar-pat,zarpat,zarpu,purchased,AJ,"['𒍝', '𒅈', '𒉻']",𒍝𒅈𒉻,za-ar-pat,"['complete', 'complete', 'complete']",0.0,,,P522563,12,4,confirmation of transfer 2
2354,P522563.13.1,laqiat[acquired]AJ,la-qi-at,laqiat,leqû,acquired,AJ,"['𒆷', '𒆥', '𒀜']",𒆷𒆥𒀜,la-qi-at,"['complete', 'complete', 'complete']",0.0,,,P522563,13,1,confirmation of transfer 2
2355,P522563.13.2,tuāru[revocation]'N,tu-a-ru,tuāru,târu,revocation,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,,,P522563,13,2,exclusion of litigation
2356,P522563.13.3,dēnu[lawsuit]N,de-e-nu,dēnu,dīnu,lawsuit,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,,,P522563,13,3,exclusion of litigation
2357,P522563.14.1,dabābu[litigation]'N,DUG₄.DUG₄,dabābu,dabābu,litigation,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,,,P522563,14,1,exclusion of litigation
2358,P522563.14.2,laššu[(there) is not]V,la-aš₂-šu₂,laššu,laššu,(there) is not,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,,,P522563,14,2,exclusion of litigation
2359,P522563.14.3,bēn[epilepsy]N,be-en,bēn,bennu,epilepsy,N,"['𒁁', '𒂗']",𒁁𒂗,be-en,"['complete', 'complete']",0.0,,,P522563,14,3,guarantee clauses for slaves
2360,P522563.15.1,ṣibtu[seizure]N,ṣib-tu₂,ṣibtu,ṣibtu,seizure,N,"['𒍦', '𒌓']",𒍦𒌓,ṣib-tu₂,"['complete', 'complete']",0.0,,,P522563,15,1,guarantee clauses for slaves
2361,P522563.15.2,ina[for]PRP,ina,ina,ina,for,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522563,15,2,guarantee clauses for slaves
2362,P522563.15.3,n,01,,,,n,['01'],01,01,['complete'],0.0,,NUMBER,P522563,15,3,guarantee clauses for slaves
2363,P522563.15.4,me[(one) hundred]NU,me,me,meʾatu,(one) hundred,NU,['𒈨'],𒈨,me,['complete'],0.0,,,P522563,15,4,guarantee clauses for slaves
2364,P522563.15.5,ūmē[day]N,UD-me,ūmē,ūmu,day,N,"['𒌓', '𒈨']",𒌓𒈨,UD-me,"['complete', 'complete']",0.0,,,P522563,15,5,guarantee clauses for slaves
2365,P522563.15.6,sartu[fraud]N,sa-ar₂-tu₂,sartu,sartu,fraud,N,"['𒊓', '𒌒', '𒌓']",𒊓𒌒𒌓,sa-ar₂-tu₂,"['complete', 'complete', 'complete']",0.0,,,P522563,15,6,guarantee clauses for slaves
2366,P522563.16.1,ina[for]PRP,ina,ina,ina,for,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522563,16,1,guarantee clauses for slaves
2367,P522563.16.2,kal[all]'AJ,kal₃,kal,kalû,all,N,['𒆕'],𒆕,kal₃,['complete'],0.0,,,P522563,16,2,guarantee clauses for slaves
2368,P522563.16.3,ūmāti[day]N,UD.MEŠ,ūmāti,ūmu,day,N,"['𒌓', '𒈨𒌍']",𒌓𒈨𒌍,UD.MEŠ,"['complete', 'complete']",0.0,,,P522563,16,3,guarantee clauses for slaves
2369,P522563.16.4,mannu[whoever]'XP,man-nu,mannu,mannu,whoever,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,,,P522563,16,4,penalties for litigation: contravention
2370,P522563.16.5,ša[whoever]REL,ša₂,ša,ša,whoever,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,,P522563,16,5,penalties for litigation: contravention
2371,P522563.16.6,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522563,16,6,penalties for litigation: contravention
2372,P522563.16.7,urkiš[later]AV,ur-kiš,urkiš,urkiš,later,AV,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,,,P522563,16,7,penalties for litigation: contravention
