Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
558,P522619.3.1,ṣupur[fingernail]N,[ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu-pur],"['missing', 'missing']",1.0,,,P522619,3,1,seal identification
559,P522619.3.2,x[1]PN,{m}...],x,x,1,PN,"['𒁹', 'x']",𒁹x,{[m]}[x],"['missing', 'missing']",1.0,PN,,P522619,3,2,seal identification
560,P522619.3.3,x[1]PN,{[m}...],x,x,1,PN,"['𒁹', 'x']",𒁹x,{[m]}[x],"['missing', 'missing']",1.0,PN,,P522619,3,3,seal identification
561,P522619.4.1,ṣupur[fingernail]N,[ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu-pur],"['missing', 'missing']",1.0,,,P522619,4,1,seal identification
562,P522619.4.2,x[1]PN,{m}...],x,x,1,PN,"['𒁹', 'x']",𒁹x,{[m]}[x],"['missing', 'missing']",1.0,PN,,P522619,4,2,seal identification
563,P522619.4.3,+Šulu-x[]PN$,{⸢m}šu-lu⸣-[...],Šulu-x,Šulu-x,1,PN,"['𒁹', '𒋗', '𒇻', 'x']",𒁹𒋗𒇻x,{⸢m⸣}⸢šu-lu⸣-[x],"['damaged', 'damaged', 'damaged', 'missing']",0.62,PN,,P522619,4,3,seal identification
564,P522619.5.1,ṣupur[fingernail]N,[ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu-pur],"['missing', 'missing']",1.0,,,P522619,5,1,seal identification
565,P522619.5.2,x[1]PN,{m}...],x,x,1,PN,"['𒁹', 'x']",𒁹x,{[m]}[x],"['missing', 'missing']",1.0,PN,,P522619,5,2,seal identification
566,P522619.5.3,+x[]PN$,{m}{d}[...],x,x,1,PN,"['𒁹', '𒀭', 'x']",𒁹𒀭x,{m}{d}[x],"['complete', 'complete', 'missing']",0.33,PN,,P522619,5,3,seal identification
567,P522619.6.1,ṣupur[fingernail]N,[ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu-pur],"['missing', 'missing']",1.0,,,P522619,6,1,seal identification
568,P522619.6.2,+x-aya[]PN$,{m}...]-a-a,x-aya,x-aya,1,PN,"['𒁹', 'x', '𒀀', '𒀀']",𒁹x𒀀𒀀,{[m]}[x]a-a,"['missing', 'missing', 'complete', 'complete']",0.5,PN,,P522619,6,2,seal identification
569,P522619.6.3,+x[]PN$,{m}{d}[...],x,x,1,PN,"['𒁹', '𒀭', 'x']",𒁹𒀭x,{m}{d}[x],"['complete', 'complete', 'missing']",0.33,PN,,P522619,6,3,seal identification
570,P522619.7.1,ṣupur[fingernail]N,[ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu-pur],"['missing', 'missing']",1.0,,,P522619,7,1,seal identification
571,P522619.7.2,+x-dia[]PN$,{m}...]-di-a,x-dia,x-dia,1,PN,"['𒁹', 'x', '𒁲', '𒀀']",𒁹x𒁲𒀀,{[m]}[x]di-a,"['missing', 'missing', 'complete', 'complete']",0.5,PN,,P522619,7,2,seal identification
572,P522619.7.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,P522619,7,3,seal identification
573,P522619.8.1,gimru[total]N,[PAB,gimru,gimru,total,N,['𒉽'],𒉽,[PAB],['missing'],1.0,,,P522619,8,1,seal identification
574,P522619.8.2,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522619,8,2,seal identification
575,P522619.8.3,marʾē[son]N,DUMU.MEŠ],marʾē,māru,son,N,"['𒌉', '𒈨𒌍']",𒌉𒈨𒌍,[DUMU].[MEŠ],"['missing', 'missing']",1.0,,,P522619,8,3,seal identification
576,P522619.8.4,+Eda-x[]PN$,{m}e-da-[...],Eda-x,Eda-x,1,PN,"['𒁹', '𒂊', '𒁕', 'x']",𒁹𒂊𒁕x,{m}e-da-[x],"['complete', 'complete', 'complete', 'missing']",0.25,PN,,P522619,8,4,seal identification
577,P522619.9.1,bēl[owner]N,[EN,bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,,P522619,9,1,seal identification
578,P522619.9.2,nišē[people]N,UN].⸢MEŠ,nišē,nišu,people,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,[UN].⸢MEŠ⸣,"['missing', 'damaged']",0.75,,,P522619,9,2,seal identification
579,P522619.9.3,tadāni[giving]'N,SUM⸣-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,⸢SUM⸣-ni,"['damaged', 'complete']",0.25,,,P522619,9,3,seal identification
580,P522619.13.1,x[1]PN,{[f}...,x,x,1,PN,"['𒊩', 'x']",𒊩x,{[f]}[x],"['missing', 'missing']",1.0,PN,,P522619,13,1,object sold
581,P522619.13.2,issušu[wife]N,MI₂]-⸢šu₂⸣,issušu,sinništu,wife,N,"['𒊩', '𒋙']",𒊩𒋙,[MI₂]-⸢šu₂⸣,"['missing', 'damaged']",0.75,,,P522619,13,2,object sold
582,P522619.13.3,+ša-šizbi[baby]N$ša-šizibbi,ša₂-ši-zi-⸢bi⸣,ša-šizibbi,ša-šizbi,baby,N,"['𒃻', '𒅆', '𒍣', '𒁉']",𒃻𒅆𒍣𒁉,ša₂-ši-zi-⸢bi⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,,P522619,13,3,object sold
