Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
1629,P522547.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522547,2,1,seal identification
1630,P522547.2.2,Šamaš-ilaʾi[1]PN,{m}{d}UTU-DINGIR-a-a,Šamaš-ilaʾi,Šamaš-ilaʾi,1,PN,"['𒁹', '𒀭', '𒌓', '𒀭', '𒀀', '𒀀']",𒁹𒀭𒌓𒀭𒀀𒀀,{m}{d}UTU-DINGIR-a-a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522547,2,2,seal identification
1631,P522547.2.3,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522547,2,3,seal identification
1632,P522547.2.4,amti[maid]N,GEME₂,amti,amtu,maid,N,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,,,P522547,2,4,seal identification
1633,P522547.2.5,+tadānu[give//giving]V'N$tadāni,⸢SUM⸣,tadāni,tadānu,giving,V,['𒋧'],𒋧,⸢SUM⸣,['damaged'],0.5,,,P522547,2,5,seal identification
1634,P522547.6.1,u,{f}[...]-ti,,,,u,"['𒊩', 'x', '𒋾']",𒊩x𒋾,{f}[x]ti,"['complete', 'missing', 'complete']",0.33,,,P522547,6,1,object sold
1635,P522547.6.2,+amtu[maid]N$amatšu,GEME₂-šu₂,amatšu,amtu,maid,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,,,P522547,6,2,object sold
1636,P522547.7.1,uppišma[contract]V,[u₂-piš]-⸢ma⸣,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš]-⸢ma⸣,"['missing', 'missing', 'damaged']",0.83,,,P522547,7,1,initiation of transaction
1637,P522547.7.2,Urdu-Nanaya[1]PN,{m}ARAD-{d}na-na-a-a,Urdu-Nanaya,Urdu-Nanaya,1,PN,"['𒁹', '𒀴', '𒀭', '𒈾', '𒈾', '𒀀', '𒀀']",𒁹𒀴𒀭𒈾𒈾𒀀𒀀,{m}ARAD-{d}na-na-a-a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522547,7,2,initiation of transaction
1638,P522547.8.1,issu[from]PRP,[TA,issu,ištu,from,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,,,P522547,8,1,completion of transaction
1639,P522547.8.2,pān[presence]N,IGI,pān,pānu,presence,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P522547,8,2,completion of transaction
1640,P522547.8.3,Šamaš-ilaʾi[1]PN,{m]}{⸢d⸣}UTU-DINGIR-a-a,Šamaš-ilaʾi,Šamaš-ilaʾi,1,PN,"['𒁹', '𒀭', '𒌓', '𒀭', '𒀀', '𒀀']",𒁹𒀭𒌓𒀭𒀀𒀀,{[m]}{⸢d⸣}UTU-DINGIR-a-a,"['missing', 'damaged', 'complete', 'complete', 'complete', 'complete']",0.25,,PN,P522547,8,3,completion of transaction
1641,P522547.9.1,ina[in]PRP,[ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522547,9,1,price
1642,P522547.9.2,libbi[interior]N,ŠA₃-(bi),libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,[ŠA₃-bi],"['missing', 'missing']",1.0,,,P522547,9,2,price
1643,P522547.9.3,n,30,,,,n,['𒌍'],𒌍,[30],['missing'],1.0,,NUMBER,P522547,9,3,price
1644,P522547.9.4,+šiqlu[unit//a unit of weight]N'N$šiqil,GIN₂,šiqil,šiqlu,a unit of weight,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,,,P522547,9,4,price
1645,P522547.9.5,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,,P522547,9,5,price
1646,P522547.10.1,izzirip[purchase]V,[i-zi-rip],izzirip,zarāpu,purchase,V,"['𒄿', '𒍣', '𒆗']",𒄿𒍣𒆗,[i-zi-rip],"['missing', 'missing', 'missing']",1.0,,,P522547,10,1,completion of transaction
1647,P522547.10.2,issiqi[purchase]V,⸢i⸣-si-qi,issiqi,leqû,purchase,V,"['𒄿', '𒋛', '𒆥']",𒄿𒋛𒆥,⸢i⸣-si-qi,"['damaged', 'complete', 'complete']",0.17,,,P522547,10,2,completion of transaction
1648,P522547.11.1,kaspu[money]N,[kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,,,P522547,11,1,confirmation of transfer 1
1649,P522547.11.2,gammur[completed]AJ,gam-mur],gammur,gammuru,completed,AJ,"['𒃵', '𒄯']",𒃵𒄯,[gam-mur],"['missing', 'missing']",1.0,,,P522547,11,2,confirmation of transfer 1
1650,P522547.11.3,tadin[paid]AJ,⸢ta-din⸣,tadin,tadnu,paid,AJ,"['𒋫', '𒁷']",𒋫𒁷,⸢ta-din⸣,"['damaged', 'damaged']",0.5,,,P522547,11,3,confirmation of transfer 1
1651,P522547.14.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P522547,14,1,witness
