Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
323,P522456.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522456,2,1,,seal identification
324,P522456.2.2,%akk-x-neoass:{m}ARAD-PAB.MEŠ-šu₂=,{m}ARAD-PAB.MEŠ-šu₂,"['𒁹', '𒀴', '𒉽', '𒈨𒌍', '𒋙']",𒁹𒀴𒉽𒈨𒌍𒋙,{m}ARAD-PAB.MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522456,2,2,,seal identification
325,P522456.3.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522456,3,1,,seal identification
326,P522456.3.2,%akk-x-neoass:MI₂=,MI₂,['𒊩'],𒊩,MI₂,['complete'],0.0,P522456,3,2,,seal identification
327,P522456.3.3,%akk-x-neoass:ta-da-ni=,ta-da-ni,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,P522456,3,3,,seal identification
328,P522456.7.1,%akk-x-neoass:{MI₂}{URU}arba-il₃-i-tu₂=,{mi₂}{uru}arba-il₃-i-tu₂,"['𒊩', '𒌷', '𒇹', '𒀭', '𒄿', '𒌓']",𒊩𒌷𒇹𒀭𒄿𒌓,{MI₂}{URU}arba-il₃-i-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522456,7,1,,object sold
329,P522456.7.2,%akk-x-neoass:GEME₂-šu₂=,GEME₂-šu₂,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,P522456,7,2,,object sold
330,P522456.8.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,P522456,8,1,,initiation of transaction
331,P522456.8.2,%akk-x-neoass:{m}DINGIR-KA-PAB=,{m}DINGIR-KA-PAB,"['𒁹', '𒀭', '𒅗', '𒉽']",𒁹𒀭𒅗𒉽,{m}DINGIR-KA-PAB,"['complete', 'complete', 'complete', 'complete']",0.0,P522456,8,2,,initiation of transaction
332,P522456.9.1,%akk-x-neoass:TA=,TA,['𒋫'],𒋫,TA,['complete'],0.0,P522456,9,1,,completion of transaction
333,P522456.9.2,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,P522456,9,2,,completion of transaction
334,P522456.9.3,%akk-x-neoass:{m}ARAD-PAB.MEŠ-šu₂=,{m}ARAD-PAB.MEŠ-šu₂,"['𒁹', '𒀴', '𒉽', '𒈨𒌍', '𒋙']",𒁹𒀴𒉽𒈨𒌍𒋙,{m}ARAD-PAB.MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522456,9,3,,completion of transaction
335,P522456.10.1,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522456,10,1,,price
336,P522456.10.2,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,P522456,10,2,,price
337,P522456.10.3,%akk-x-neoass:01=,01,['01'],01,01,['complete'],0.0,P522456,10,3,,price
338,P522456.10.4,%akk-x-neoass:1/2=,1/2,['𒈦'],𒈦,1/2,['complete'],0.0,P522456,10,4,,price
339,P522456.10.5,%akk-x-neoass:MA.NA=,MA.NA,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,P522456,10,5,,price
340,P522456.10.6,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522456,10,6,,price
341,P522456.11.1,%akk-x-neoass:il-qi₂=,il-qi₂,"['𒅋', '𒆠']",𒅋𒆠,il-qi₂,"['complete', 'complete']",0.0,P522456,11,1,,completion of transaction
342,P522456.11.2,%akk-x-neoass:kas-pu=,kas-pu,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,P522456,11,2,,confirmation of transfer 1
343,P522456.11.3,%akk-x-neoass:gam-mur=,gam-mur,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,P522456,11,3,,confirmation of transfer 1
344,P522456.11.4,%akk-x-neoass:ta-din=,ta-din,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,P522456,11,4,,confirmation of transfer 1
