Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
9856,P527201.3.1,uppišma[contract]V,[u₂-piš-ma],uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš-ma],"['missing', 'missing', 'missing']",1.0,,,P527201,3,1,initiation of transaction
9857,P527201.3.2,Šulmu-šarri[1]PN,{⸢m}DI⸣-[mu-MAN],Šulmu-šarri,Šulmu-šarri,1,PN,"['𒁹', '𒁲', '𒈬', '𒌋𒌋']",𒁹𒁲𒈬𒌋𒌋,{⸢m⸣}⸢DI⸣-[mu-MAN],"['damaged', 'damaged', 'missing', 'missing']",0.75,PN,,P527201,3,2,initiation of transaction
9858,P527201.4.1,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P527201,4,1,price
9859,P527201.4.2,libbi[interior]N,ŠA₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,,,P527201,4,2,price
9860,P527201.4.3,n,01,,,,n,['01'],01,01,['complete'],0.0,NUMBER,,P527201,4,3,price
9861,P527201.4.4,manā[a unit of weight]N,MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,,P527201,4,4,price
9862,P527201.4.5,ṣarpi[silver]N,KU₃.[BABBAR],ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.[BABBAR],"['complete', 'missing']",0.5,,,P527201,4,5,price
9863,P527201.5.1,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P527201,5,1,price
9864,P527201.5.2,manā[a unit of weight]N,MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,,P527201,5,2,price
9865,P527201.5.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P527201,5,3,price
9866,P527201.5.4,Gargames[Carchemish]GN,{uru}gar-ga-⸢mes⸣,Gargames,Gargames,Charchemesh,GN,"['𒌷', '𒃻', '𒂵', '𒈩']",𒌷𒃻𒂵𒈩,{URU}gar-ga-⸢mes⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,GN,,P527201,5,4,price
9867,P527201.6.1,issi[with]PRP,TA,issi,išti,with,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,,P527201,6,1,completion of transaction
9868,P527201.6.2,šību[witness]N,IGI,šību,šību,witness,N,['𒅆'],𒅆,IGI,['complete'],0.0,,,P527201,6,2,completion of transaction
9869,P527201.6.3,+Hayanu[]PN$,{m}ha-ia-a-[nu],Hayanu,Hayanu,1,PN,"['𒁹', '𒄩', '𒅀', '𒀀', '𒉡']",𒁹𒄩𒅀𒀀𒉡,{m}ha-ia-a-[nu],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,PN,,P527201,6,3,completion of transaction
9870,P527201.7.1,ilqe[purchase]V,il-qe,ilqe,leqû,purchase,V,"['𒅋', '𒆥']",𒅋𒆥,il-qe,"['complete', 'complete']",0.0,,,P527201,7,1,completion of transaction
9871,P527201.7.2,kaspi[money]N,kas-pi,kaspi,kaspu,money,N,"['𒆜', '𒉿']",𒆜𒉿,kas-pi,"['complete', 'complete']",0.0,,,P527201,7,2,confirmation of transfer 1
9872,P527201.7.3,gammur[completed]AJ,gam-mur,gammur,gammuru,completed,AJ,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,,,P527201,7,3,confirmation of transfer 1
9873,P527201.7.4,tadin[paid]AJ,[ta-din],tadin,tadnu,paid,AJ,"['𒋫', '𒁷']",𒋫𒁷,[ta-din],"['missing', 'missing']",1.0,,,P527201,7,4,confirmation of transfer 1
9874,P527201.8.1,issušu[wife]N,MI₂-šu₂,issušu,sinništu,wife,N,"['𒊩', '𒋙']",𒊩𒋙,MI₂-šu₂,"['complete', 'complete']",0.0,,,P527201,8,1,confirmation of transfer 2
9875,P527201.8.2,zarpat[purchased]AJ,zar-pat,zarpat,zarpu,purchased,AJ,"['𒇡', '𒉻']",𒇡𒉻,zar-pat,"['complete', 'complete']",0.0,,,P527201,8,2,confirmation of transfer 2
9876,P527201.8.3,X,laq-qe-[at],,,,X,"['𒋃', '𒆥', '𒀜']",𒋃𒆥𒀜,laq-qe-[at],"['complete', 'complete', 'missing']",0.33,,,P527201,8,3,confirmation of transfer 2
9877,P527201.9.1,tuāru[revocation]'N,⸢tu⸣-a-ru,tuāru,târu,revocation,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,⸢tu⸣-a-ru,"['damaged', 'complete', 'complete']",0.17,,,P527201,9,1,exclusion of litigation
9878,P527201.9.2,dēnu[lawsuit]N,de-[nu,dēnu,dīnu,lawsuit,N,"['𒁲', '𒉡']",𒁲𒉡,de-[nu],"['complete', 'missing']",0.5,,,P527201,9,2,exclusion of litigation
9879,P527201.9.3,dabābu[litigation]'N,DUG₄.DUG₄],dabābu,dabābu,litigation,V,"['𒅗', '𒅗']",𒅗𒅗,[DUG₄].[DUG₄],"['missing', 'missing']",1.0,,,P527201,9,3,exclusion of litigation
9880,P527201.13.1,lāšu[(there) is not]V,la-a-šu₂,lāšu,laššu,(there) is not,V,"['𒆷', '𒀀', '𒋙']",𒆷𒀀𒋙,la-a-šu₂,"['complete', 'complete', 'complete']",0.0,,,P527201,13,1,exclusion of litigation
9881,P527201.13.2,mannu[whoever]'XP,man-nu,mannu,mannu,whoever,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,,,P527201,13,2,penalties for litigation: contravention
9882,P527201.13.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P527201,13,3,penalties for litigation: contravention
9883,P527201.13.4,iparrakūni[contravene]V,⸢GIL⸣-[u-ni],iparrakūni,parāku,contravene,V,"['𒄃', '𒌋', '𒉌']",𒄃𒌋𒉌,⸢GIL⸣-[u-ni],"['damaged', 'missing', 'missing']",0.83,,,P527201,13,4,penalties for litigation: contravention
9884,P527201.14.1,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,,P527201,14,1,penalties for litigation: penalty
9885,P527201.14.2,n,03.MEŠ,,,,n,"['0₃', '𒈨𒌍']",0₃𒈨𒌍,03.MEŠ,"['complete', 'complete']",0.0,NUMBER,,P527201,14,2,penalties for litigation: penalty
9886,P527201.14.3,ana[to]PRP,a-[na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-[na],"['complete', 'missing']",0.5,,,P527201,14,3,penalties for litigation: penalty
9887,P527201.14.4,bēlīšu[owner]N,EN-šu₂],bēlīšu,bēlu,owner,N,"['𒂗', '𒋙']",𒂗𒋙,[EN-šu₂],"['missing', 'missing']",1.0,,,P527201,14,4,penalties for litigation: penalty
9888,P527201.15.1,utâra[return]V,GUR-ra,utâra,târu,return,V,"['𒄥', '𒊏']",𒄥𒊏,GUR-ra,"['complete', 'complete']",0.0,,,P527201,15,1,penalties for litigation: penalty
9889,P527201.15.2,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P527201,15,2,penalties for litigation: penalty
9890,P527201.15.3,dēnīšu[lawsuit]N,de-ni-[šu₂],dēnīšu,dīnu,lawsuit,N,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,de-ni-[šu₂],"['complete', 'complete', 'missing']",0.33,,,P527201,15,3,penalties for litigation: penalty
