Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
1469,P522466.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,P522466,2,1,,seal identification
1470,P522466.2.2,%akk-x-neoass:{m}bal-la-DINGIR.MEŠ=,{m}bal-la-DINGIR.MEŠ],"['𒁹', '𒁄', '𒆷', '𒀭', '𒈨𒌍']",𒁹𒁄𒆷𒀭𒈨𒌍,{[m]}[bal-la-DINGIR].[MEŠ],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,P522466,2,2,,seal identification
1471,P522466.3.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,P522466,3,1,,seal identification
1472,P522466.3.2,%akk-x-neoass:{m}mu-LAL-aš-šur=,{m}mu-LAL-aš]-⸢šur⸣,"['𒁹', '𒈬', '𒇲', '𒀸', '𒋩']",𒁹𒈬𒇲𒀸𒋩,{[m]}[mu-LAL-aš]-⸢šur⸣,"['missing', 'missing', 'missing', 'missing', 'damaged']",0.9,P522466,3,2,,seal identification
1473,P522466.4.1,%akk-x-neoass:EN=,[EN,['𒂗'],𒂗,[EN],['missing'],1.0,P522466,4,1,,seal identification
1474,P522466.4.2,%akk-x-neoass:GEME₂=,GEME₂,['𒊩𒆳'],𒊩𒆳,[GEME₂],['missing'],1.0,P522466,4,2,,seal identification
1475,P522466.4.3,%akk-x-neoass:ta-da-a-ni=,ta]-da-a-ni,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,[ta]-da-a-ni,"['missing', 'complete', 'complete', 'complete']",0.25,P522466,4,3,,seal identification
1476,P522466.8.1,%akk-x-neoass:{MI₂}{d}NIN.LIL₂-BAD₃=,{[mi₂]}{⸢d⸣}NIN.LIL₂-BAD₃,"['𒊩', '𒀭', '𒊩𒌆', '𒆤', '𒂦']",𒊩𒀭𒊩𒌆𒆤𒂦,{[MI₂]}{⸢d⸣}NIN.LIL₂-BAD₃,"['missing', 'damaged', 'complete', 'complete', 'complete']",0.3,P522466,8,1,,object sold
1477,P522466.8.2,%akk-x-neoass:GEME₂-šu₂-nu=,GEME₂-šu₂-nu,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,GEME₂-šu₂-nu,"['complete', 'complete', 'complete']",0.0,P522466,8,2,,object sold
1478,P522466.9.1,%akk-x-neoass:ša₂=,[ša₂,['𒃻'],𒃻,[ša₂],['missing'],1.0,P522466,9,1,,object sold
1479,P522466.9.2,%akk-x-neoass:{m}bal-la-DINGIR.MEŠ-ni=,{m]}bal-la-DINGIR.MEŠ-ni,"['𒁹', '𒁄', '𒆷', '𒀭', '𒈨𒌍', '𒉌']",𒁹𒁄𒆷𒀭𒈨𒌍𒉌,{[m]}bal-la-DINGIR.MEŠ-ni,"['missing', 'complete', 'complete', 'complete', 'complete', 'complete']",0.17,P522466,9,2,,object sold
1480,P522466.9.3,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,P522466,9,3,,object sold
1481,P522466.9.4,%akk-x-neoass:{m}mu-LAL-aš-šur=,{m}mu-LAL-aš-šur,"['𒁹', '𒈬', '𒇲', '𒀸', '𒋩']",𒁹𒈬𒇲𒀸𒋩,{m}mu-LAL-aš-šur,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522466,9,4,,object sold
1482,P522466.10.1,%akk-x-neoass:u₂-piš-ma=,[u₂-piš-ma],"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš-ma],"['missing', 'missing', 'missing']",1.0,P522466,10,1,,initiation of transaction
1483,P522466.10.2,%akk-x-neoass:{m}aš-šur-KUR-LAL=,{m}aš-šur-KUR-LAL,"['𒁹', '𒀸', '𒋩', '𒆳', '𒇲']",𒁹𒀸𒋩𒆳𒇲,{m}aš-šur-KUR-LAL,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522466,10,2,,initiation of transaction
