Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
770,P527211.2.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,,P527211,2,1,seal identification
771,P527211.2.2,+Han-Ṣaruru[]PN$,{m}ha-an-ṣar-ru-ru],Han-Ṣaruru,Han-Ṣaruru,1,PN,"['𒁹', '𒄩', '𒀭', '𒇡', '𒊒', '𒊒']",𒁹𒄩𒀭𒇡𒊒𒊒,{[m]}[ha-an-ṣar-ru-ru],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,PN,,P527211,2,2,seal identification
772,P527211.3.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,,P527211,3,1,seal identification
773,P527211.3.2,Ubru-Issar[1]PN,{m}SUHUŠ-15,Ubru-Issar,Ubru-Issar,1,PN,"['𒁹', '𒁼', '𒌋𒐊']",𒁹𒁼𒌋𒐊,{[m]}[SUHUŠ-15],"['missing', 'missing', 'missing']",1.0,PN,,P527211,3,2,seal identification
774,P527211.4.1,marʾē[son]N,[A.MEŠ,marʾē,māru,son,N,"['𒀀', '𒈨𒌍']",𒀀𒈨𒌍,[A].[MEŠ],"['missing', 'missing']",1.0,,,P527211,4,1,seal identification
775,P527211.4.2,x[1]PN,{m}x-x-x-x],x,x,1,PN,"['𒁹', 'X', 'X', 'X', 'X']",𒁹XXXX,{[m]}[x-x-x-x],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,PN,,P527211,4,2,seal identification
776,P527211.6.1,bēl[owner]N,[EN,bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,,P527211,6,1,seal identification
777,P527211.6.2,issi[woman]N,MI₂],issi,issu,woman,N,['𒊩'],𒊩,[MI₂],['missing'],1.0,,,P527211,6,2,seal identification
778,P527211.6.3,iddan[pay]V,SUM-⸢an⸣,iddan,tadānu,pay,V,"['𒋧', '𒀭']",𒋧𒀭,SUM-⸢an⸣,"['complete', 'damaged']",0.25,,,P527211,6,3,seal identification
779,P527211.7.1,+x-i[]PN$,{[f}x-x]-i,x-i,x-i,1,PN,"['𒊩', 'X', 'X', '𒄿']",𒊩XX𒄿,{[f]}[x-x]-i,"['missing', 'missing', 'missing', 'complete']",0.75,PN,,P527211,7,1,object sold
780,P527211.7.2,amatšunu[female slave]N,GEME₂-šu₂-nu,amatšunu,amtu,female slave,N,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,GEME₂-šu₂-nu,"['complete', 'complete', 'complete']",0.0,,,P527211,7,2,object sold
781,P527211.8.1,uppišma[contract]V,[u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš-ma],"['missing', 'missing', 'missing']",1.0,,,P527211,8,1,initiation of transaction
782,P527211.8.2,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P527211,8,2,price
783,P527211.8.3,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,,,P527211,8,3,price
784,P527211.8.4,n,x],,,,n,['X'],X,[x],['missing'],1.0,NUMBER,,P527211,8,4,price
785,P527211.8.5,manā[a unit of weight]N,⸢MA⸣.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.NA,"['damaged', 'complete']",0.25,,,P527211,8,5,price
786,P527211.8.6,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,,P527211,8,6,price
787,P527211.9.1,Šulmu-šarri[1]PN,{[m}DI-mu-MAN,Šulmu-šarri,Šulmu-šarri,1,PN,"['𒁹', '𒁲', '𒈬', '𒌋𒌋']",𒁹𒁲𒈬𒌋𒌋,{[m]}[DI-mu-MAN],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527211,9,1,completion of transaction
788,P527211.9.2,u,{lu₂}x-x],,,,u,"['𒇽', 'X', 'X']",𒇽XX,{[LU₂]}[x-x],"['missing', 'missing', 'missing']",1.0,,,P527211,9,2,completion of transaction
789,P527211.9.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P527211,9,3,completion of transaction
790,P527211.9.4,mār[son]N,A-MAN,mār,māru,son,N,"['𒀀', '𒌋𒌋']",𒀀𒌋𒌋,A-MAN,"['complete', 'complete']",0.0,,,P527211,9,4,completion of transaction
791,P527211.10.1,ina[at]PRP,[ina,ina,ina,at,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P527211,10,1,price
792,P527211.10.2,libbi[interior]N,ŠA₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,[ŠA₃-bi],"['missing', 'missing']",1.0,,,P527211,10,2,price
793,P527211.10.3,n,x],,,,n,['X'],X,[x],['missing'],1.0,NUMBER,,P527211,10,3,price
794,P527211.10.4,manā[a unit of weight]N,⸢MA⸣.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.NA,"['damaged', 'complete']",0.25,,,P527211,10,4,price
795,P527211.10.5,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,,P527211,10,5,price
796,P527211.11.1,issi[with]PRP,[TA,issi,išti,with,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,,,P527211,11,1,completion of transaction
