Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
806,P527420.2.1,kunuk[seal]N,{⸢na₄⸣}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}KIŠIB,"['damaged', 'complete']",0.25,,P527420,2,1,seal identification
807,P527420.2.2,+Nuri[]PN$,{m}⸢nu⸣-[ri-i],Nuri,Nuri,1,PN,"['𒁹', '𒉡', '𒊑', '𒄿']",𒁹𒉡𒊑𒄿,{m}⸢nu⸣-[ri-i],"['complete', 'damaged', 'missing', 'missing']",0.62,PN,P527420,2,2,seal identification
808,P527420.3.1,mār[son]N,A,mār,māru,son,N,['𒀀'],𒀀,A,['complete'],0.0,,P527420,3,1,seal identification
809,P527420.3.2,+x[]PN$,{m}{d}[x-x-(x)],x,x,1,PN,"['𒁹', '𒀭', 'X', 'X', 'X']",𒁹𒀭XXX,{m}{d}[x-x-x],"['complete', 'complete', 'missing', 'missing', 'missing']",0.6,PN,P527420,3,2,seal identification
810,P527420.4.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,P527420,4,1,seal identification
811,P527420.4.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,P527420,4,2,seal identification
812,P527420.4.3,x[1]SN,{uru}x-[...],x,x,1,SN,"['𒌷', 'X', 'x']",𒌷Xx,{URU}x-[x],"['complete', 'complete', 'missing']",0.33,SN,P527420,4,3,seal identification
813,P527420.5.1,bēl[owner]N,⸢EN,bēl,bēlu,owner,N,['𒂗'],𒂗,⸢EN⸣,['damaged'],0.5,,P527420,5,1,seal identification
814,P527420.5.2,urdi[servant]N,ARAD,urdi,ardu,servant,N,['𒀴'],𒀴,⸢ARAD⸣,['damaged'],0.5,,P527420,5,2,seal identification
815,P527420.5.3,tadāni[giving]'N,SUM⸣-[ni],tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,⸢SUM⸣-[ni],"['damaged', 'missing']",0.75,,P527420,5,3,seal identification
