Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
11995,P469182.2.1,kūm[instead of]PRP,ku-um,,PRP,"['𒆪', '𒌝']",𒆪𒌝,ku-um,"['complete', 'complete']",0.0,kūm,kūm,instead of,P469182,2,1,seal identification
11996,P469182.2.2,kunukkīšu[seal]N,{na₄}KIŠIB-šu₂,,N,"['𒉌𒌓', '𒈩', '𒋙']",𒉌𒌓𒈩𒋙,{NA₄}KIŠIB-šu₂,"['complete', 'complete', 'complete']",0.0,kunukkīšu,kunukku,seal,P469182,2,2,seal identification
11997,P469182.2.3,ṣubaršu[fingernail]N,ṣu-bar-šu₂,,N,"['𒍮', '𒁇', '𒋙']",𒍮𒁇𒋙,ṣu-bar-šu₂,"['complete', 'complete', 'complete']",0.0,ṣubaršu,ṣupru,fingernail,P469182,2,3,seal identification
11998,P469182.2.4,iškun[place]V,iš-kun,,V,"['𒅖', '𒆲']",𒅖𒆲,iš-kun,"['complete', 'complete']",0.0,iškun,šakānu,place,P469182,2,4,seal identification
11999,P469182.3.1,ṣupur[fingernail]N,ṣu-pur,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,P469182,3,1,seal identification
12000,P469182.3.2,+Šamaš-amuranni[]PN$,{1}{d}UTU-IGI.LAL-a-ni,PN,PN,"['𒁹', '𒀭', '𒌓', '𒅆', '𒇲', '𒀀', '𒉌']",𒁹𒀭𒌓𒅆𒇲𒀀𒉌,{1}{d}UTU-IGI.LAL-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Šamaš-amuranni,Šamaš-amuranni,1,P469182,3,2,seal identification
12001,P469182.3.3,bēl[owner]N,EN,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,P469182,3,3,seal identification
12002,P469182.3.4,eqli[land]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,land,P469182,3,4,seal identification
12003,P469182.7.1,bētu[estate]N,E₂,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,estate,P469182,7,1,object sold
12004,P469182.7.2,n,5,NUMBER,n,['𒐊'],𒐊,5,['complete'],0.0,,,,P469182,7,2,object sold
12005,P469182.7.3,sūtu[a unit of capacity]N,BAN₂,,N,['𒑏'],𒑏,BAN₂,['complete'],0.0,sūtu,sūtu,a unit of capacity,P469182,7,3,object sold
12006,P469182.7.4,eqli[field]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,P469182,7,4,object sold
12007,P469182.7.5,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P469182,7,5,object sold
12008,P469182.7.6,+kapru[village//village]N'N$kapri,{uru}ŠE,,N,"['𒌷', '𒊺']",𒌷𒊺,{URU}ŠE,"['complete', 'complete']",0.0,kapri,kapru,village,P469182,7,6,object sold
12009,P469182.7.7,ša[of]DET,ša,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,P469182,7,7,object sold
12010,P469182.7.8,+Bit-šašširi[]GN$Bet-šašširi,E₂-ša₂-ši-ri,GN,GN,"['𒂍', '𒃻', '𒅆', '𒊑']",𒂍𒃻𒅆𒊑,E₂-ša₂-ši-ri,"['complete', 'complete', 'complete', 'complete']",0.0,Bet-šašširi,Bit-šašširi,1,P469182,7,8,object sold
12011,P469182.8.1,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P469182,8,1,object sold
12012,P469182.8.2,ušalli[meadow]N,u₂-šal-li,,N,"['𒌑', '𒊩', '𒇷']",𒌑𒊩𒇷,u₂-šal-li,"['complete', 'complete', 'complete']",0.0,ušalli,ušallu,meadow,P469182,8,2,object sold
12013,P469182.8.3,uppišma[contract]V,u₂-piš-ma,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,P469182,8,3,initiation of transaction
12014,P469182.9.1,Giritu[1]PN,{1}gi-ri-tu₂,PN,PN,"['𒁹', '𒄀', '𒊑', '𒌓']",𒁹𒄀𒊑𒌓,{1}gi-ri-tu₂,"['complete', 'complete', 'complete', 'complete']",0.0,Giritu,Giritu,1,P469182,9,1,initiation of transaction
12015,P469182.9.2,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P469182,9,2,price
12016,P469182.9.3,libbi[interior]N,ŠA₃,,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,libbi,libbu,interior,P469182,9,3,price
12017,P469182.9.4,n,17,NUMBER,n,['𒌋𒐌'],𒌋𒐌,17,['complete'],0.0,,,,P469182,9,4,price
12018,P469182.9.5,manā[a unit of weight]N,MA.NA,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manā,manû,a unit of weight,P469182,9,5,price
12019,P469182.9.6,erî[copper]N,URUDU-MEŠ,,N,"['𒍏', '𒈨𒌍']",𒍏𒈨𒌍,URUDU-MEŠ,"['complete', 'complete']",0.0,erî,erû,copper,P469182,9,6,price
12020,P469182.10.1,issu[from]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,P469182,10,1,completion of transaction
12021,P469182.10.2,pān[front]N,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,front,P469182,10,2,completion of transaction
12022,P469182.10.3,+Šamaš-amuranni[]PN$,{1}{d}UTU-a-mur-a-ni,PN,PN,"['𒁹', '𒀭', '𒌓', '𒀀', '𒄯', '𒀀', '𒉌']",𒁹𒀭𒌓𒀀𒄯𒀀𒉌,{1}{d}UTU-a-mur-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Šamaš-amuranni,Šamaš-amuranni,1,P469182,10,3,completion of transaction
12023,P469182.10.4,ilqi[purchase]V,il-qi,,V,"['𒅋', '𒆥']",𒅋𒆥,il-qi,"['complete', 'complete']",0.0,ilqi,leqû,purchase,P469182,10,4,completion of transaction
12024,P469182.11.1,kaspu[money]N,kas-pu,,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,P469182,11,1,confirmation of transfer 1
12025,P469182.11.2,gammur[completed]AJ,gam-mur,,AJ,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,P469182,11,2,confirmation of transfer 1
12026,P469182.11.3,tadin[paid]AJ,ta-din,,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,P469182,11,3,confirmation of transfer 1
12027,P469182.11.4,eqlu[land]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,land,P469182,11,4,confirmation of transfer 2
12028,P469182.11.5,u,⸢x⸣,,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,P469182,11,5,confirmation of transfer 2
12029,P469182.12.1,šuātu[that]'DP,šu-a-tu₂,,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,šu-a-tu₂,"['complete', 'complete', 'complete']",0.0,šuātu,šuāti,that,P469182,12,1,confirmation of transfer 2
12030,P469182.12.2,zarip[purchased]AJ,za-rip,,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,zarip,zarpu,purchased,P469182,12,2,confirmation of transfer 2
12031,P469182.12.3,laqqi[acquired]AJ,laq-qi₂,,AJ,"['𒋃', '𒆠']",𒋃𒆠,laq-qi₂,"['complete', 'complete']",0.0,laqqi,leqû,acquired,P469182,12,3,confirmation of transfer 2
12032,P469182.12.4,tuāri[revocation]'N,tu-a-ri,,V,"['𒌅', '𒀀', '𒊑']",𒌅𒀀𒊑,tu-a-ri,"['complete', 'complete', 'complete']",0.0,tuāri,târu,revocation,P469182,12,4,exclusion of litigation
12033,P469182.13.1,dēnu[lawsuit]N,de-e-nu,,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,dēnu,dīnu,lawsuit,P469182,13,1,exclusion of litigation
12034,P469182.13.2,dabābu[litigation]'N,DUG₄.DUG₄,,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,P469182,13,2,exclusion of litigation
12035,P469182.13.3,laššu[(there) is not]V,la-aš₂-šu₂,,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,laššu,laššu,(there) is not,P469182,13,3,exclusion of litigation
12036,P469182.14.1,mannu[whoever]'XP,man-nu,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,mannu,mannu,whoever,P469182,14,1,penalties for litigation: contravention
12037,P469182.14.2,ša[who]REL,ša,,REL,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,who,P469182,14,2,penalties for litigation: contravention
12038,P469182.14.3,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P469182,14,3,penalties for litigation: contravention
12039,P469182.14.4,urkiš[later]AV,ur-kiš,,AV,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,urkiš,urkiš,later,P469182,14,4,penalties for litigation: contravention
12040,P469182.14.5,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P469182,14,5,penalties for litigation: contravention
12041,P469182.14.6,matēma[ever]AV,ma-te-ma,,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,ma-te-ma,"['complete', 'complete', 'complete']",0.0,matēma,matīma,ever,P469182,14,6,penalties for litigation: contravention
12042,P469182.15.1,lū[may]MOD,lu-u,,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,may,P469182,15,1,penalties for litigation: contravention
12043,P469182.15.2,Šamaš-amuranni[1]PN,{1}{d}UTU-a-mur-a-ni,PN,PN,"['𒁹', '𒀭', '𒌓', '𒀀', '𒄯', '𒀀', '𒉌']",𒁹𒀭𒌓𒀀𒄯𒀀𒉌,{1}{d}UTU-a-mur-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Šamaš-amuranni,Šamaš-amuranni,1,P469182,15,2,penalties for litigation: contravention
12044,P469182.15.3,lū[or]CNJ,lu-u,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,P469182,15,3,penalties for litigation: contravention
12045,P469182.15.4,marʾēšu[son]N,DUMU-MEŠ-šu₂,,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU-MEŠ-šu₂,"['complete', 'complete', 'complete']",0.0,marʾēšu,māru,son,P469182,15,4,penalties for litigation: contravention
12046,P469182.16.1,lū[or]CNJ,lu-u,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,P469182,16,1,penalties for litigation: contravention
12047,P469182.16.2,mār[son]N&marʾēšu[son]N,DUMU-DUMU-MEŠ-šu₂,,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,DUMU-DUMU-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,mār,māru,son,P469182,16,2,penalties for litigation: contravention
12049,P469182.16.3,lū[or]CNJ,lu-u,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,P469182,16,3,penalties for litigation: contravention
12050,P469182.16.4,+ahu[brother//brother]N'N$ahhēšu,{lu₂}ŠEŠ-MEŠ-šu₂,,N,"['𒇽', '𒋀', '𒈨𒌍', '𒋙']",𒇽𒋀𒈨𒌍𒋙,{LU₂}ŠEŠ-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,ahhēšu,ahu,brother,P469182,16,4,penalties for litigation: contravention
12051,P469182.17.1,lū[or]CNJ,lu-u,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,P469182,17,1,penalties for litigation: contravention
12052,P469182.17.2,+māru[son]N$mār&+ahu[brother]N$ahhēšu,{lu₂}DUMU-ŠEŠ-MEŠ-šu₂,,N,"['𒇽', '𒌉', '𒋀', '𒈨𒌍', '𒋙']",𒇽𒌉𒋀𒈨𒌍𒋙,{LU₂}DUMU-ŠEŠ-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,mār,māru,son,P469182,17,2,penalties for litigation: contravention
12054,P469182.17.3,lū[or]CNJ,lu-u,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,P469182,17,3,penalties for litigation: contravention
12055,P469182.17.4,+mammanu-[whosoever//relative]XP'N$mammannūšu,ma-mam₂{ma}nu-šu₂,,XP,"['𒈠', '𒊩', '𒈠', '𒉡', '𒋙']",𒈠𒊩𒈠𒉡𒋙,ma-mam₂{ma}nu-šu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,mammannūšu,mammanu-,relative,P469182,17,4,penalties for litigation: contravention
12056,P469182.18.1,issi[with]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issi,išti,with,P469182,18,1,penalties for litigation: contravention
12057,P469182.18.2,Giritu[1]PN,{1}gi-ri-tu₂,PN,PN,"['𒁹', '𒄀', '𒊑', '𒌓']",𒁹𒄀𒊑𒌓,{1}gi-ri-tu₂,"['complete', 'complete', 'complete', 'complete']",0.0,Giritu,Giritu,1,P469182,18,2,penalties for litigation: contravention
12058,P469182.18.3,issi[with]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issi,išti,with,P469182,18,3,penalties for litigation: contravention
12059,P469182.18.4,marʾēšu[son]N,DUMU-MEŠ-šu₂,,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU-MEŠ-šu₂,"['complete', 'complete', 'complete']",0.0,marʾēšu,māru,son,P469182,18,4,penalties for litigation: contravention
12060,P469182.19.1,issi[with]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issi,išti,with,P469182,19,1,penalties for litigation: contravention
12061,P469182.19.2,mār[son]N&marʾēšu[son]N,DUMU-DUMU-MEŠ-šu₂,,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,DUMU-DUMU-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,mār,māru,son,P469182,19,2,penalties for litigation: contravention
