Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
30276,P335374.2.1,{na₄}[KIŠIB,kunuk[seal]N,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}[KIŠIB],"['complete', 'missing']",0.5,kunuk,kunukku,seal,,P335374,2,1,seal identification
30277,P335374.2.2,{1}x,u,,u,"['𒁹', 'x']",𒁹x,{[1]}[x],"['missing', 'missing']",1.0,,,,,P335374,2,2,seal identification
30278,P335374.2.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335374,2,3,seal identification
30279,P335374.2.4,x]—PAB-MEŠ,u,,u,"['x', '𒉽', '𒈨𒌍']",x𒉽𒈨𒌍,[x]-PAB-MEŠ,"['missing', 'complete', 'complete']",0.33,,,,,P335374,2,4,seal identification
30280,P335374.2.5,DUMU,mār[son]N,,N,['𒌉'],𒌉,DUMU,['complete'],0.0,mār,māru,son,,P335374,2,5,seal identification
30281,P335374.2.6,{1}{d}AMAR.UTU—APIN-eš,Marduk-ereš[1]PN,PN,PN,"['𒁹', '𒀭', '𒀫', '𒌓', '𒀳', '𒌍']",𒁹𒀭𒀫𒌓𒀳𒌍,{1}{d}AMAR.UTU-APIN-eš,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Marduk-ereš,Marduk-ereš,1,,P335374,2,6,seal identification
30282,P335374.3.1,EN,bēl[owner]N,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,P335374,3,1,seal identification
30283,P335374.3.2,[A.ŠA₃-MEŠ],eqlāti[field]N,,N,"['𒀀', '𒊮', '𒈨𒌍']",𒀀𒊮𒈨𒌍,[A].[ŠA₃-MEŠ],"['missing', 'missing', 'missing']",1.0,eqlāti,eqlu,field,,P335374,3,2,seal identification
30284,P335374.3.3,⸢E₂⸣-MEŠ,bētāti[house]N,,N,"['𒂍', '𒈨𒌍']",𒂍𒈨𒌍,⸢E₂⸣-MEŠ,"['damaged', 'complete']",0.25,bētāti,bītu,house,,P335374,3,3,seal identification
30285,P335374.3.4,{giš}SAR-MEŠ,kirâti[garden]N,,N,"['𒄑', '𒊬', '𒈨𒌍']",𒄑𒊬𒈨𒌍,{GIŠ}SAR-MEŠ,"['complete', 'complete', 'complete']",0.0,kirâti,kirû,garden,,P335374,3,4,seal identification
30286,P335374.3.5,UN-MEŠ,nišē[people]N,,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,nišē,nišu,people,,P335374,3,5,seal identification
30287,P335374.3.6,ta-da-ni,tadāni[giving]'N,,V,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,tadāni,tadānu,giving,,P335374,3,6,seal identification
30288,P335374.7.1,⸢E₂⸣,bētu[plot of land]N,,N,['𒂍'],𒂍,⸢E₂⸣,['damaged'],0.5,bētu,bītu,plot of land,,P335374,7,1,object sold
30289,P335374.7.2,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335374,7,2,object sold
30290,P335374.7.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335374,7,3,object sold
30291,P335374.7.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335374,7,4,object sold
30292,P335374.7.5,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335374,7,5,object sold
30293,P335374.7.6,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335374,7,6,object sold
