Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
15405,P336197.3.1,[(x),u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,1,object sold
15406,P336197.3.2,x]-MEŠ,u,u,"['x', '𒈨𒌍']",x𒈨𒌍,[x]-MEŠ,"['missing', 'complete']",0.5,,,,,,P336197,3,2,object sold
15407,P336197.3.3,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,3,object sold
15408,P336197.3.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,4,object sold
15409,P336197.3.5,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,5,object sold
15410,P336197.3.6,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,6,object sold
15411,P336197.3.7,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,7,object sold
15412,P336197.3.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,8,object sold
15413,P336197.3.9,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,9,object sold
15414,P336197.3.10,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,10,object sold
15415,P336197.3.11,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,11,object sold
15416,P336197.3.12,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,3,12,object sold
15417,P336197.4.1,01,n,n,['𒁹'],𒁹,[01],['missing'],1.0,,,,NUMBER,,P336197,4,1,object sold
15418,P336197.4.2,⸢MI₂⸣,issu[woman]N,N,['𒊩'],𒊩,⸢MI₂⸣,['damaged'],0.5,issu,sinništu,woman,,,P336197,4,2,object sold
15419,P336197.4.3,PAB,gimru[total]N,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,,P336197,4,3,object sold
15420,P336197.4.4,02,n,n,['𒈫'],𒈫,02,['complete'],0.0,,,,NUMBER,,P336197,4,4,object sold
15421,P336197.4.5,{1}{d}[x,u,u,"['𒁹', '𒀭', 'x']",𒁹𒀭x,{1}{d}[x],"['complete', 'complete', 'missing']",0.33,,,,,,P336197,4,5,object sold
15422,P336197.4.6,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,6,object sold
15423,P336197.4.7,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,7,object sold
15424,P336197.4.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,8,object sold
15425,P336197.4.9,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,9,object sold
15426,P336197.4.10,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,10,object sold
15427,P336197.4.11,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,11,object sold
15428,P336197.4.12,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,4,12,object sold
15429,P336197.5.1,01,n,n,['𒁹'],𒁹,[01],['missing'],1.0,,,,NUMBER,,P336197,5,1,object sold
15430,P336197.5.2,⸢MI₂⸣,issu[woman]N,N,['𒊩'],𒊩,⸢MI₂⸣,['damaged'],0.5,issu,sinništu,woman,,,P336197,5,2,object sold
15431,P336197.5.3,PAB,gimru[total]N,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,,P336197,5,3,object sold
15432,P336197.5.4,02,n,n,['𒈫'],𒈫,02,['complete'],0.0,,,,NUMBER,,P336197,5,4,object sold
15433,P336197.5.5,{1}ha-⸢nu-nu⸣—DINGIR,Hanunu-il[1]PN$,PN,"['𒁹', '𒄩', '𒉡', '𒉡', '𒀭']",𒁹𒄩𒉡𒉡𒀭,{1}ha-⸢nu-nu⸣-DINGIR,"['complete', 'complete', 'damaged', 'damaged', 'complete']",0.2,Hanunu-il,Hanunu-il,1,PN,,P336197,5,5,object sold
15434,P336197.5.6,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,5,6,object sold
15435,P336197.5.7,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,5,7,object sold
15436,P336197.5.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,5,8,object sold
15437,P336197.5.9,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,5,9,object sold
15438,P336197.5.10,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,5,10,object sold
15439,P336197.6.1,01,n,n,['𒁹'],𒁹,[01],['missing'],1.0,,,,NUMBER,,P336197,6,1,object sold
15440,P336197.6.2,⸢MI₂⸣,issu[woman]N,N,['𒊩'],𒊩,⸢MI₂⸣,['damaged'],0.5,issu,sinništu,woman,,,P336197,6,2,object sold
15441,P336197.6.3,PAB,gimru[total]N,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,,P336197,6,3,object sold
15442,P336197.6.4,02,n,n,['𒈫'],𒈫,02,['complete'],0.0,,,,NUMBER,,P336197,6,4,object sold
15443,P336197.6.5,{1}qa-an-se-e,Qanse[1]PN$,PN,"['𒁹', '𒋡', '𒀭', '𒋛', '𒂊']",𒁹𒋡𒀭𒋛𒂊,{1}qa-an-se-e,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Qanse,Qanse,1,PN,,P336197,6,5,object sold
15444,P336197.6.6,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,6,6,object sold
15445,P336197.6.7,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,6,7,object sold
15446,P336197.6.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,6,8,object sold
15447,P336197.6.9,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,6,9,object sold
15448,P336197.6.10,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,6,10,object sold
15449,P336197.7.1,⸢PAB⸣,gimru[total]N,N,['𒉽'],𒉽,⸢PAB⸣,['damaged'],0.5,gimru,gimru,total,,,P336197,7,1,object sold
15450,P336197.7.2,18,n,n,['𒌋𒐍'],𒌋𒐍,18,['complete'],0.0,,,,NUMBER,,P336197,7,2,object sold
15451,P336197.7.3,ZI-MEŠ,nupšāti[person]N,N,"['𒍣', '𒈨𒌍']",𒍣𒈨𒌍,ZI-MEŠ,"['complete', 'complete']",0.0,nupšāti,napištu,person,,,P336197,7,3,object sold
15452,P336197.7.4,PAB,gimru[total]N,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,,P336197,7,4,object sold
15453,P336197.7.5,03,n,n,['𒐈'],𒐈,03,['complete'],0.0,,,,NUMBER,,P336197,7,5,object sold
15454,P336197.7.6,E₂,bētu[plot of land]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,,P336197,7,6,object sold
15455,P336197.7.7,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,7,7,object sold
15456,P336197.7.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,7,8,object sold
15457,P336197.7.9,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,7,9,object sold
15458,P336197.7.10,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,7,10,object sold
15459,P336197.7.11,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,7,11,object sold
15460,P336197.7.12,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,7,12,object sold
15461,P336197.8.1,E₂,bētu[plot of land]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,,P336197,8,1,object sold
15462,P336197.8.2,60,n,n,['𒐕'],𒐕,60,['complete'],0.0,,,,NUMBER,,P336197,8,2,object sold
15463,P336197.8.3,ANŠE,imārī[a unit of capacity]N,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,imārī,imēru,a unit of capacity,,,P336197,8,3,object sold
15464,P336197.8.4,A.ŠA₃,eqlu[land]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,land,,,P336197,8,4,object sold
15465,P336197.8.5,02,n,n,['𒈫'],𒈫,02,['complete'],0.0,,,,NUMBER,,P336197,8,5,object sold
15466,P336197.8.6,{giš}⸢SAR⸣,kirie[garden]N,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}⸢SAR⸣,"['complete', 'damaged']",0.25,kirie,kirû,garden,,,P336197,8,6,object sold
15467,P336197.8.7,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,8,7,object sold
15468,P336197.8.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,8,8,object sold
15469,P336197.8.9,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,8,9,object sold
15470,P336197.8.10,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,8,10,object sold
15471,P336197.8.11,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,8,11,object sold
15472,P336197.9.1,ina,ina[in]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,,P336197,9,1,object sold
15473,P336197.9.2,{uru}ni-ku-u-a,Nikua[1]GN$,GN,"['𒌷', '𒉌', '𒆪', '𒌋', '𒀀']",𒌷𒉌𒆪𒌋𒀀,{URU}ni-ku-u-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Nikua,Nikua,1,GN,,P336197,9,2,object sold
15474,P336197.9.3,u₂-piš-⸢ma⸣,uppišma[contract]V,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-⸢ma⸣,"['complete', 'complete', 'damaged']",0.17,uppišma,epēšu,contract,,,P336197,9,3,initiation of transaction
15475,P336197.9.4,{1}x,u,u,"['𒁹', 'x']",𒁹x,{[1]}[x],"['missing', 'missing']",1.0,,,,,,P336197,9,4,initiation of transaction
15476,P336197.9.5,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,9,5,initiation of transaction
15477,P336197.9.6,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,9,6,initiation of transaction
15478,P336197.9.7,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P336197,9,7,initiation of transaction
