Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
24269,P335537.2.1,{na₄}KIŠIB,kunukku[seal]N,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunukku,kunukku,seal,,,P335537,2,1,seal identification
24270,P335537.2.2,{1}rem₂-a-na—BE,+Remanni-Illil[]PN$Remanna-Illil,PN,"['𒁹', '𒀖', '𒀀', '𒈾', '𒁁']",𒁹𒀖𒀀𒈾𒁁,{1}rem₂-a-na-BE,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Remanna-Illil,Remanni-Illil,1,PN,,P335537,2,2,seal identification
24271,P335537.3.1,DUMU,mār[son]N,N,['𒌉'],𒌉,DUMU,['complete'],0.0,mār,māru,son,,,P335537,3,1,seal identification
24272,P335537.3.2,{1}ia-ta-na—e-li,Yatana-el[1]PN$Yatana-eli,PN,"['𒁹', '𒅀', '𒋫', '𒈾', '𒂊', '𒇷']",𒁹𒅀𒋫𒈾𒂊𒇷,{1}ia-ta-na-e-li,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Yatana-eli,Yatana-el,1,PN,,P335537,3,2,seal identification
24273,P335537.4.1,TA@v,issu[from]PRP,PRP,['𒋬'],𒋬,TA@v,['complete'],0.0,issu,ištu,from,,,P335537,4,1,seal identification
24274,P335537.4.2,{uru}E₂—{1}AD—DINGIR-a.a,Bit-abi-ilaʾi[1]GN$,GN,"['𒌷', '𒂍', '𒁹', '𒀜', '𒀭', '𒀀', '𒀀']",𒌷𒂍𒁹𒀜𒀭𒀀𒀀,{URU}E₂-{1}AD-DINGIR-a.a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Bit-abi-ilaʾi,Bit-abi-ilaʾi,1,GN,,P335537,4,2,seal identification
24275,P335537.5.1,EN,bēl[owner]N,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,,P335537,5,1,seal identification
24276,P335537.5.2,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335537,5,2,seal identification
24277,P335537.5.3,SUM-an-ni,tadānu[give//giving]V'N$tadanni,V,"['𒋧', '𒀭', '𒉌']",𒋧𒀭𒉌,SUM-an-ni,"['complete', 'complete', 'complete']",0.0,tadanni,tadānu,giving,,,P335537,5,3,seal identification
24278,P335537.9.1,E₂,bētu[plot of land]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,,P335537,9,1,object sold
24279,P335537.9.2,02,n,n,['𒈫'],𒈫,02,['complete'],0.0,,,,NUMBER,,P335537,9,2,object sold
24280,P335537.9.3,ANŠE,imārī[a unit of capacity]N,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,imārī,imēru,a unit of capacity,,,P335537,9,3,object sold
24281,P335537.9.4,3(ban₂),n,n,['𒑑'],𒑑,3(ban₂),['complete'],0.0,,,,NUMBER,,P335537,9,4,object sold
24282,P335537.9.5,A.ŠA₃,eqlu[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,field,,,P335537,9,5,object sold
24283,P335537.9.6,pu-u-ru,pūru[lot]N$,N,"['𒁍', '𒌋', '𒊒']",𒁍𒌋𒊒,pu-u-ru,"['complete', 'complete', 'complete']",0.0,pūru,pūru,term,,,P335537,9,6,object sold
24284,P335537.10.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,10,1,object sold
24285,P335537.10.2,na-hal,nahal[wadi]N,N,"['𒈾', '𒄬']",𒈾𒄬,na-hal,"['complete', 'complete']",0.0,nahal,nahallu,wadi,,,P335537,10,2,object sold
24286,P335537.10.3,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,10,3,object sold
24287,P335537.10.4,{1}ki-ṣir—aš-šur,Kiṣir-Aššur[1]PN,PN,"['𒁹', '𒆠', '𒈲', '𒀸', '𒋩']",𒁹𒆠𒈲𒀸𒋩,{1}ki-ṣir-aš-šur,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kiṣir-Aššur,Kiṣir-Aššur,1,PN,,P335537,10,4,object sold
24288,P335537.11.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,11,1,object sold
24289,P335537.11.2,ṣe-e-ri,ṣēru[back//open country]N$šēri,N,"['𒍢', '𒂊', '𒊑']",𒍢𒂊𒊑,ṣe-e-ri,"['complete', 'complete', 'complete']",0.0,šēri,ṣēru,open country,,,P335537,11,2,object sold
24290,P335537.11.3,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,11,3,object sold
24291,P335537.12.1,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335537,12,1,object sold
24292,P335537.12.2,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335537,12,2,object sold
24293,P335537.12.3,{1}SUHUŠ—{d}PA,Ubru-Nabu[1]PN,PN,"['𒁹', '𒁼', '𒀭', '𒉺']",𒁹𒁼𒀭𒉺,{1}SUHUŠ-{d}PA,"['complete', 'complete', 'complete', 'complete']",0.0,Ubru-Nabu,Ubru-Nabu,1,PN,,P335537,12,3,object sold
24294,P335537.13.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,13,1,object sold
24295,P335537.13.2,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335537,13,2,object sold
24296,P335537.13.3,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335537,13,3,object sold
24297,P335537.13.4,{1}ki-ṣir—aš-šur-ma,Kiṣir-Aššurma[1]PN,PN,"['𒁹', '𒆠', '𒈲', '𒀸', '𒋩', '𒈠']",𒁹𒆠𒈲𒀸𒋩𒈠,{1}ki-ṣir-aš-šur-ma,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kiṣir-Aššurma,Kiṣir-Aššur,1,PN,,P335537,13,4,object sold
24298,P335537.14.1,E₂,bētu[plot of land]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,,P335537,14,1,object sold
24299,P335537.14.2,7(ban₂),n,n,['𒁹𒑏'],𒁹𒑏,7(ban₂),['complete'],0.0,,,,NUMBER,,P335537,14,2,object sold
24300,P335537.14.3,A.ŠA₃,eqlu[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,field,,,P335537,14,3,object sold
24301,P335537.14.4,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,14,4,object sold
24302,P335537.14.5,KASKAL.2,hūli[road]N,N,"['𒆜', '𒈫']",𒆜𒈫,KASKAL.2,"['complete', 'complete']",0.0,hūli,hūlu,road,,,P335537,14,5,object sold
24303,P335537.15.1,ša,ša[that]REL,REL,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,that,,,P335537,15,1,object sold
24304,P335537.15.2,a-na,ana[to]PRP,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,ana,ana,to,,,P335537,15,2,object sold
24305,P335537.15.3,{uru}ha-ša₂-na,Hašanu[1]GN$Hašana,GN,"['𒌷', '𒄩', '𒃻', '𒈾']",𒌷𒄩𒃻𒈾,{URU}ha-ša₂-na,"['complete', 'complete', 'complete', 'complete']",0.0,Hašana,Hašanu,1,GN,,P335537,15,3,object sold
24306,P335537.15.4,DU-u-ni,illakūni[lead]V,V,"['𒁺', '𒌋', '𒉌']",𒁺𒌋𒉌,DU-u-ni,"['complete', 'complete', 'complete']",0.0,illakūni,alāku,lead,,,P335537,15,4,object sold
24307,P335537.16.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,16,1,object sold
24308,P335537.16.2,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335537,16,2,object sold
24309,P335537.16.3,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335537,16,3,object sold
24310,P335537.16.4,{1}gi-ra-a.a,Gir-Aya[1]PN$,PN,"['𒁹', '𒄀', '𒊏', '𒀀', '𒀀']",𒁹𒄀𒊏𒀀𒀀,{1}gi-ra-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Gir-Aya,Gir-Aya,1,PN,,P335537,16,4,object sold
24311,P335537.17.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335537,17,1,object sold
24312,P335537.17.2,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335537,17,2,object sold
24313,P335537.17.3,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335537,17,3,object sold
24314,P335537.17.4,{1}kak-kul-la-ni,Kakkullanu[1]PN$Kakkullani,PN,"['𒁹', '𒆕', '𒆰', '𒆷', '𒉌']",𒁹𒆕𒆰𒆷𒉌,{1}kak-kul-la-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kakkullani,Kakkullanu,1,PN,,P335537,17,4,object sold
24315,P335537.18.1,[PAB],gimru[total]N,N,['𒉽'],𒉽,[PAB],['missing'],1.0,gimru,gimru,total,,,P335537,18,1,object sold
24316,P335537.18.2,03,n,n,['𒐈'],𒐈,03,['complete'],0.0,,,,NUMBER,,P335537,18,2,object sold
24317,P335537.18.3,ANŠE,imārī[a unit of capacity]N,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,imārī,imēru,a unit of capacity,,,P335537,18,3,object sold
24318,P335537.18.4,A.ŠA₃,eqlu[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,field,,,P335537,18,4,object sold
24319,P335537.18.5,ina,ina[by]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,by,,,P335537,18,5,object sold
24320,P335537.18.6,{giš}BAN₂,sūti[a unit of capacity]N,N,"['𒄑', '𒑏']",𒄑𒑏,{GIŠ}BAN₂,"['complete', 'complete']",0.0,sūti,sūtu,a unit of capacity,,,P335537,18,6,object sold
24321,P335537.18.7,09,n,n,['𒑆'],𒑆,09,['complete'],0.0,,,,NUMBER,,P335537,18,7,object sold
24322,P335537.18.8,qa,qâ[a unit of capacity]N,N,['𒋡'],𒋡,qa,['complete'],0.0,qâ,qû,a unit of capacity,,,P335537,18,8,object sold
24323,P335537.19.1,[i-na],ina[in]PRP,PRP,"['𒄿', '𒈾']",𒄿𒈾,[i-na],"['missing', 'missing']",1.0,ina,ina,in,,,P335537,19,1,object sold
24324,P335537.19.2,{⸢uru⸣}E₂—{1}AD—DINGIR-a.a,Bit-abi-ilaʾi[1]GN$,GN,"['𒌷', '𒂍', '𒁹', '𒀜', '𒀭', '𒀀', '𒀀']",𒌷𒂍𒁹𒀜𒀭𒀀𒀀,{⸢URU⸣}E₂-{1}AD-DINGIR-a.a,"['damaged', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.07,Bit-abi-ilaʾi,Bit-abi-ilaʾi,1,GN,,P335537,19,2,object sold
24325,P335537.21.1,u₂-piš-ma,uppišma[contract]V,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,,,P335537,21,1,initiation of transaction
24326,P335537.21.2,{1}kak-kul-la-nu,Kakkullanu[1]PN$,PN,"['𒁹', '𒆕', '𒆰', '𒆷', '𒉡']",𒁹𒆕𒆰𒆷𒉡,{1}kak-kul-la-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kakkullanu,Kakkullanu,1,PN,,P335537,21,2,initiation of transaction
24327,P335537.22.1,{lu₂}GAL—ki-ṣir,rabû[big one]N$rab&kiṣru[knot]N$kiṣir,N,"['𒇽', '𒃲', '𒆠', '𒈲']",𒇽𒃲𒆠𒈲,{LU₂}GAL-ki-ṣir,"['complete', 'complete', 'complete', 'complete']",0.0,rab,rabû,big one,,,P335537,22,1,initiation of transaction
24329,P335537.22.2,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335537,22,2,initiation of transaction
24330,P335537.22.3,DUMU—MAN,māru[son]N$mār&šarru[king]N$šarri,N,"['𒌉', '𒌋𒌋']",𒌉𒌋𒌋,DUMU-MAN,"['complete', 'complete']",0.0,mār,māru,son,,,P335537,22,3,initiation of transaction
