Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
1432,P522573.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522573,2,1,seal identification
1433,P522573.2.2,Eriba-ilu[1]PN,{m}SU-DINGIR,Eriba-ilu,Eriba-ilu,1,PN,"['𒁹', '𒋢', '𒀭']",𒁹𒋢𒀭,{m}SU-DINGIR,"['complete', 'complete', 'complete']",0.0,,PN,P522573,2,2,seal identification
1434,P522573.3.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522573,3,1,seal identification
1435,P522573.3.2,eqli[field]N,A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522573,3,2,seal identification
1436,P522573.3.3,tadānu[giving]'N,SUM-nu,iddinu,tadānu,giving,V,"['𒋧', '𒉡']",𒋧𒉡,SUM-nu,"['complete', 'complete']",0.0,,,P522573,3,3,seal identification
1437,P522573.7.1,bētu[plot of land]N,E₂,bētu,bītu,plot of land,N,['𒂍'],𒂍,E₂,['complete'],0.0,,,P522573,7,1,object sold
1438,P522573.7.2,n,03,,,,n,['0₃'],0₃,03,['complete'],0.0,,NUMBER,P522573,7,2,object sold
1439,P522573.7.3,imār[a unit of capacity]N,ANŠE,imār,imēru,a unit of capacity,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,,,P522573,7,3,object sold
1440,P522573.7.4,+zēru[seed(s)//agricultural land]N'N$zarʾi,{še}NUMUN,zarʾi,zēru,agricultural land,N,"['𒊺', '𒆰']",𒊺𒆰,{ŠE}NUMUN,"['complete', 'complete']",0.0,,,P522573,7,4,object sold
1441,P522573.7.5,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522573,7,5,object sold
1442,P522573.7.6,Šarru-Dariši[1]GN,{uru}LUGAL-da-ri-ši,Šarru-Dariši,Šarru-Dariši,1,GN,"['𒌷', '𒈗', '𒁕', '𒊑', '𒅆']",𒌷𒈗𒁕𒊑𒅆,{URU}LUGAL-da-ri-ši,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,GN,P522573,7,6,object sold
1443,P522573.8.1,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,,P522573,8,1,object sold
1444,P522573.8.2,eqli[field]N,A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522573,8,2,object sold
1445,P522573.8.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522573,8,3,object sold
1446,P522573.8.4,pāhiti[governor]N,{lu₂}EN.NAM,pāhiti,pīhātu,governor,N,"['𒇽', '𒂗', '𒉆']",𒇽𒂗𒉆,{LU₂}EN.NAM,"['complete', 'complete', 'complete']",0.0,,,P522573,8,4,object sold
1447,P522573.9.1,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,,P522573,9,1,object sold
1448,P522573.9.2,eqli[field]N,A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522573,9,2,object sold
1449,P522573.9.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522573,9,3,object sold
1450,P522573.9.4,Nani[1]PN,{m}na-ni-i,Nani,Nani,1,PN,"['𒁹', '𒈾', '𒉌', '𒄿']",𒁹𒈾𒉌𒄿,{m}na-ni-i,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522573,9,4,object sold
1451,P522573.10.1,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,,P522573,10,1,object sold
1452,P522573.10.2,eqli[field]N,A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522573,10,2,object sold
1453,P522573.10.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522573,10,3,object sold
1454,P522573.10.4,Abdadba[1]PN,{m}ab-da-ad-ba,Abdadba,Abdadba,1,PN,"['𒁹', '𒀊', '𒁕', '𒀜', '𒁀']",𒁹𒀊𒁕𒀜𒁀,{m}ab-da-ad-ba,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522573,10,4,object sold
1455,P522573.11.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,,P522573,11,1,initiation of transaction
