Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
1266,P522859.2.1,ṣupur[fingernail]N,ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,,,P522859,2,1,seal identification
1267,P522859.2.2,+Sin-šezibanni[]PN$,{m}{d}30-še-zib-a-ni,Sin-šezibanni,Sin-šezibanni,1,PN,"['𒁹', '𒀭', '𒌍', '𒊺', '𒍦', '𒀀', '𒉌']",𒁹𒀭𒌍𒊺𒍦𒀀𒉌,{m}{d}30-še-zib-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P522859,2,2,seal identification
1268,P522859.2.3,šaniu[deputy]'N,{lu₂}02-u₂,šaniu,šanû,deputy,NU,"['𒇽', '0₂', '𒌑']",𒇽0₂𒌑,{LU₂}02-u₂,"['complete', 'complete', 'complete']",0.0,,,P522859,2,3,seal identification
1269,P522859.3.1,ṣupur[fingernail]N,ṣu-pur,ṣupur,ṣupru,fingernail,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,,,P522859,3,1,seal identification
1270,P522859.3.2,Abi-ramu[1]PN,{m}AD-ra-mu,Abi-ramu,Abi-ramu,1,PN,"['𒁹', '𒀜', '𒊏', '𒈬']",𒁹𒀜𒊏𒈬,{m}AD-ra-mu,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522859,3,2,seal identification
1271,P522859.3.3,tašlīšu[third man on chariot]N,{lu₂}03.U₅,tašlīšu,tašlīšu,third man on chariot,N,"['𒇽', '0₃', '𒄷𒋛']",𒇽0₃𒄷𒋛,{LU₂}03.U₅,"['complete', 'complete', 'complete']",0.0,,,P522859,3,3,seal identification
1272,P522859.4.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522859,4,1,seal identification
1273,P522859.4.2,eqli[land]N,A.ŠA₃.GA,eqli,eqlu,land,N,"['𒀀', '𒊮', '𒂵']",𒀀𒊮𒂵,A.ŠA₃.GA,"['complete', 'complete', 'complete']",0.0,,,P522859,4,2,seal identification
1274,P522859.4.3,tadāni[giving]'N,ta-da-ni,tadāni,tadānu,giving,V,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,,,P522859,4,3,seal identification
1275,P522859.8.1,bētu[house]N,E₂,bētu,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,,P522859,8,1,object sold
1276,P522859.8.2,Sin[1]DN,30,Sin,Sin,1,DN,['𒌍'],𒌍,30,['complete'],0.0,DN,,P522859,8,2,object sold
1277,P522859.8.3,imār[a unit of capacity]N,ANŠE,imār,imēru,a unit of capacity,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,,,P522859,8,3,object sold
1278,P522859.8.4,eqli[land]N,A.ŠA₃.GA,eqli,eqlu,land,N,"['𒀀', '𒊮', '𒂵']",𒀀𒊮𒂵,A.ŠA₃.GA,"['complete', 'complete', 'complete']",0.0,,,P522859,8,4,object sold
1279,P522859.8.5,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522859,8,5,object sold
1280,P522859.8.6,mazarūti[(area or state of) cultivation]N,ma-za-ru-ti,mazarūti,mazrūtu,(area or state of) cultivation,N,"['𒈠', '𒍝', '𒊒', '𒋾']",𒈠𒍝𒊒𒋾,ma-za-ru-ti,"['complete', 'complete', 'complete', 'complete']",0.0,,,P522859,8,6,object sold
1281,P522859.9.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522859,9,1,object sold
1282,P522859.9.2,qassu[bow]N,{giš}BAN,qassu,qaštu,bow,N,"['𒄑', '𒉼']",𒄑𒉼,{GIŠ}BAN,"['complete', 'complete']",0.0,,,P522859,9,2,object sold
1283,P522859.9.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522859,9,3,object sold
