Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
5429,P514240.4.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P514240,4,1,seal identification
5430,P514240.4.2,Ahu-ilaʾi[]PN$,{m}ŠEŠ]-⸢DINGIR⸣-a-a,Ahu-ilaʾi,Ahu-ilaʾi,1,PN,"['𒁹', '𒋀', '𒀭', '𒀀', '𒀀']",𒁹𒋀𒀭𒀀𒀀,{[m]}[ŠEŠ]-⸢DINGIR⸣-a-a,"['missing', 'missing', 'damaged', 'complete', 'complete']",0.5,PN,P514240,4,2,seal identification
5431,P514240.4.3,ša-muhhi-āli[town overseer]N$,{lu₂}⸢ša₂-UGU⸣-[URU],ša-muhhi-āli,ša-muhhi-āli,town overseer,N,"['𒇽', '𒃻', '𒌋𒅗', '𒌷']",𒇽𒃻𒌋𒅗𒌷,{LU₂}⸢ša₂-UGU⸣-[URU],"['complete', 'damaged', 'damaged', 'missing']",0.5,,P514240,4,3,seal identification
5432,P514240.8.1,bētu[house]N,⸢E₂,bētu,bītu,house,N,['𒂍'],𒂍,⸢E₂⸣,['damaged'],0.5,,P514240,8,1,object sold
5433,P514240.8.2,epšu[made//built]AJ'AJ$,ep-šu,epšu,epšu,built,AJ,"['𒅁', '𒋗']",𒅁𒋗,⸢ep-šu⸣,"['damaged', 'damaged']",0.5,,P514240,8,2,object sold
5434,P514240.8.3,adi[with]PRP,a-di,adi,adi,with,PRP,"['𒀀', '𒁲']",𒀀𒁲,⸢a-di⸣,"['damaged', 'damaged']",0.5,,P514240,8,3,object sold
5435,P514240.8.4,gušūru[tree-trunk//(roof-)beam]N'N$gušūrīšu,GIŠ.UR₃.MEŠ-šu₂⸣,gušūrīšu,gušūru,(roof-)beam,N,"['𒄑', '𒃡', '𒈨𒌍', '𒋙']",𒄑𒃡𒈨𒌍𒋙,⸢GIŠ⸣.⸢UR₃⸣.⸢MEŠ-šu₂⸣,"['damaged', 'damaged', 'damaged', 'damaged']",0.5,,P514240,8,4,object sold
5436,P514240.8.5,daltu[door]N$dalātīšu,{giš}IG.MEŠ-šu₂,dalātīšu,daltu,door,N,"['𒄑', '𒅅', '𒈨𒌍', '𒋙']",𒄑𒅅𒈨𒌍𒋙,{GIŠ}IG.MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,,P514240,8,5,object sold
5437,P514240.9.1,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514240,9,1,object sold
5438,P514240.9.2,mayyālu[bed]N$mayāli,ma-a-a-⸢li,mayāli,mayyālu,bed,N,"['𒈠', '𒀀', '𒀀', '𒇷']",𒈠𒀀𒀀𒇷,ma-a-a-⸢li⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,P514240,9,2,object sold
5439,P514240.9.3,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,⸢E₂⸣,['damaged'],0.5,,P514240,9,3,object sold
5440,P514240.9.4,dannu[strong//main]AJ'AJ$danni,dan⸣-[(x)]-⸢ni⸣,danni,dannu,main,AJ,"['𒆗', 'X', '𒉌']",𒆗X𒉌,⸢dan⸣-[x]-⸢ni⸣,"['damaged', 'missing', 'damaged']",0.67,,P514240,9,4,object sold
5441,P514240.9.5,tarbāṣu[courtyard]N$tarbāṣi,TUR₃-a-ṣi,tarbāṣi,tarbāṣu,courtyard,N,"['𒉣𒇬', '𒀀', '𒍢']",𒉣𒇬𒀀𒍢,TUR₃-a-ṣi,"['complete', 'complete', 'complete']",0.0,,P514240,9,5,object sold
5442,P514240.9.6,u[and]CNJ,u₂,u,u,and,CNJ,['𒌑'],𒌑,u₂,['complete'],0.0,,P514240,9,6,object sold
5443,P514240.9.7,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514240,9,7,object sold
5444,P514240.9.8,abūsu[storehouse]N$abusāti,a-bu-⸢sa⸣-[ti],abusāti,abūsu,storehouse,N,"['𒀀', '𒁍', '𒊓', '𒋾']",𒀀𒁍𒊓𒋾,a-bu-⸢sa⸣-[ti],"['complete', 'complete', 'damaged', 'missing']",0.38,,P514240,9,8,object sold
5445,P514240.10.1,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,P514240,10,1,object sold
5446,P514240.10.2,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514240,10,2,object sold
5447,P514240.10.3,Sebetti-ahu-uṣur[]PN$,{m}{d}IMIN.BI-PAB-⸢PAB⸣,Sebetti-ahu-uṣur,Sebetti-ahu-uṣur,1,PN,"['𒁹', '𒀭', '𒅓', '𒁉', '𒉽', '𒉽']",𒁹𒀭𒅓𒁉𒉽𒉽,{m}{d}IMIN.BI-PAB-⸢PAB⸣,"['complete', 'complete', 'complete', 'complete', 'complete', 'damaged']",0.08,PN,P514240,10,3,object sold
5448,P514240.10.4,mār[son]N,DUMU,mār,māru,son,N,['𒌉'],𒌉,DUMU,['complete'],0.0,,P514240,10,4,object sold
5449,P514240.10.5,Nabuṭi[]PN$,{m}na-bu-ṭi,Nabuṭi,Nabuṭi,1,PN,"['𒁹', '𒈾', '𒁍', '𒁲']",𒁹𒈾𒁍𒁲,{m}na-bu-ṭi,"['complete', 'complete', 'complete', 'complete']",0.0,PN,P514240,10,5,object sold
5450,P514240.11.1,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,P514240,11,1,object sold
5451,P514240.11.2,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514240,11,2,object sold
5452,P514240.11.3,Sakkuku[]PN$Sakkuki,{m}⸢sa⸣-ku-ki,Sakkuki,Sakkuku,1,PN,"['𒁹', '𒊓', '𒆪', '𒆠']",𒁹𒊓𒆪𒆠,{m}⸢sa⸣-ku-ki,"['complete', 'damaged', 'complete', 'complete']",0.12,PN,P514240,11,3,object sold
5453,P514240.11.4,šelappāya[(a type of craftsman)]N,{⸢lu₂⸣}še-lap-pa-a-a,šelappāya,šeleppāyu,(a type of craftsman),N,"['𒇽', '𒊺', '𒆗', '𒉺', '𒀀', '𒀀']",𒇽𒊺𒆗𒉺𒀀𒀀,{⸢LU₂⸣}še-lap-pa-a-a,"['damaged', 'complete', 'complete', 'complete', 'complete', 'complete']",0.08,,P514240,11,4,object sold
5454,P514240.12.1,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,P514240,12,1,object sold
5455,P514240.12.2,bēt[house]N,E₂,bēt,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514240,12,2,object sold
5456,P514240.12.3,Mutaqqin-ilu[]PN$,{m}mu-LAL-DINGIR,Mutaqqin-ilu,Mutaqqin-ilu,1,PN,"['𒁹', '𒈬', '𒇲', '𒀭']",𒁹𒈬𒇲𒀭,{m}mu-LAL-DINGIR,"['complete', 'complete', 'complete', 'complete']",0.0,PN,P514240,12,3,object sold
5457,P514240.12.4,mār[son]N,⸢DUMU⸣,mār,māru,son,N,['𒌉'],𒌉,⸢DUMU⸣,['damaged'],0.5,,P514240,12,4,object sold
5458,P514240.12.5,Aššur-hussanni[]PN$,{m}aš+šur-hu-sa-an-⸢ni⸣,Aššur-hussanni,Aššur-hussanni,1,PN,"['𒁹', '𒀸', '𒋩', '𒄷', '𒊓', '𒀭', '𒉌']",𒁹𒀸𒋩𒄷𒊓𒀭𒉌,{m}aš+šur-hu-sa-an-⸢ni⸣,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'damaged']",0.07,PN,P514240,12,5,object sold
5459,P514240.13.1,bētu[house]N,⸢E₂⸣,bētu,bītu,house,N,['𒂍'],𒂍,⸢E₂⸣,['damaged'],0.5,,P514240,13,1,object sold
