Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
19244,P336003.3.1,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,1,none
19245,P336003.3.2,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,2,none
19246,P336003.3.3,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,3,none
19247,P336003.3.4,⸢x⸣,u,,u,['x'],x,⸢x⸣,['damaged'],0.5,,,,,P336003,3,4,none
19248,P336003.3.5,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,5,none
19249,P336003.3.6,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,6,none
19250,P336003.3.7,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,7,none
19251,P336003.3.8,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P336003,3,8,none
19252,P336003.4.1,[TA,issu[from+=from]PRP,,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,issu,ištu,from,,P336003,4,1,completion of transaction
19253,P336003.4.2,IGI,pān[front]N,,N,['𒅆'],𒅆,[IGI],['missing'],1.0,pān,pānu,front,,P336003,4,2,completion of transaction
19254,P336003.4.3,{1}⸢x,u,,u,"['𒁹', 'x']",𒁹x,{[1]}⸢x⸣,"['missing', 'damaged']",0.75,,,,,P336003,4,3,completion of transaction
19255,P336003.4.4,x-lu⸣,u,,u,"['x', '𒇻']",x𒇻,⸢x-lu⸣,"['damaged', 'damaged']",0.5,,,,,P336003,4,4,completion of transaction
19256,P336003.4.5,[il-qi],ilqi[purchase]V,,V,"['𒅋', '𒆥']",𒅋𒆥,[il-qi],"['missing', 'missing']",1.0,ilqi,leqû,purchase,,P336003,4,5,completion of transaction
19257,P336003.5.1,[kas]-pu,kaspu[money]N,,N,"['𒆜', '𒁍']",𒆜𒁍,[kas]-pu,"['missing', 'complete']",0.5,kaspu,kaspu,money,,P336003,5,1,confirmation of transfer 1
19258,P336003.5.2,ga-mur,gammur[completed]AJ,,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,,P336003,5,2,confirmation of transfer 1
19259,P336003.5.3,⸢ta⸣-[din],tadin[paid]AJ,,AJ,"['𒋫', '𒁷']",𒋫𒁷,⸢ta⸣-[din],"['damaged', 'missing']",0.75,tadin,tadnu,paid,,P336003,5,3,confirmation of transfer 1
19260,P336003.6.1,[A].ŠA₃,eqlu[field]N,,N,"['𒀀', '𒊮']",𒀀𒊮,[A].ŠA₃,"['missing', 'complete']",0.5,eqlu,eqlu,field,,P336003,6,1,confirmation of transfer 2
19261,P336003.6.2,šu-a-te,šuāte[that]'DP,,IP,"['𒋗', '𒀀', '𒋼']",𒋗𒀀𒋼,šu-a-te,"['complete', 'complete', 'complete']",0.0,šuāte,šuāti,that,,P336003,6,2,confirmation of transfer 2
19262,P336003.6.3,za-⸢rip⸣,zarip[purchased]AJ,,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-⸢rip⸣,"['complete', 'damaged']",0.25,zarip,zarpu,purchased,,P336003,6,3,confirmation of transfer 2
19263,P336003.7.1,[la]-⸢qi⸣,laqi[acquired]AJ,,AJ,"['𒆷', '𒆥']",𒆷𒆥,[la]-⸢qi⸣,"['missing', 'damaged']",0.75,laqi,leqû,acquired,,P336003,7,1,confirmation of transfer 2
19264,P336003.7.2,tu-a-ru,tuāru[revocation]'N,,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,tuāru,târu,revocation,,P336003,7,2,exclusion of litigation
19265,P336003.7.3,⸢de⸣-[nu],dēnu[lawsuit]N,,N,"['𒁲', '𒉡']",𒁲𒉡,⸢de⸣-[nu],"['damaged', 'missing']",0.75,dēnu,dīnu,lawsuit,,P336003,7,3,exclusion of litigation
19266,P336003.8.1,⸢DUG₄⸣.DUG₄,dabābu[litigation]'N,,V,"['𒅗', '𒅗']",𒅗𒅗,⸢DUG₄⸣.DUG₄,"['damaged', 'complete']",0.25,dabābu,dabābu,litigation,,P336003,8,1,exclusion of litigation
19267,P336003.8.2,la-aš₂-[šu₂],laššu[(there) is not]V,,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-[šu₂],"['complete', 'complete', 'missing']",0.33,laššu,laššu,(there) is not,,P336003,8,2,exclusion of litigation
19268,P336003.10.1,⸢man⸣-nu,mannu[whoever]'XP,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,⸢man⸣-nu,"['damaged', 'complete']",0.25,mannu,mannu,whoever,,P336003,10,1,penalties for litigation: contravention
19269,P336003.10.2,ša₂,ša[who]REL,,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,ša,ša,who,,P336003,10,2,penalties for litigation: contravention
