Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
21132,P335541.2.1,{na₄}KIŠIB,kunuk[seal]N,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P335541,2,1,seal identification
21133,P335541.2.2,{1}{d}U.GUR—DINGIR-a.a,Nergal-ilaʾi[1]PN,PN,PN,"['𒁹', '𒀭', '𒌋', '𒄥', '𒀭', '𒀀', '𒀀']",𒁹𒀭𒌋𒄥𒀭𒀀𒀀,{1}{d}U.GUR-DINGIR-a.a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Nergal-ilaʾi,Nergal-ilaʾi,1,,P335541,2,2,seal identification
21134,P335541.2.3,{lu₂v}EN.NAM,pāhiti[governor]N,,N,"['𒇽', '𒂗', '𒉆']",𒇽𒂗𒉆,{LU₂~v}EN.NAM,"['complete', 'complete', 'complete']",0.0,pāhiti,pīhātu,governor,,P335541,2,3,seal identification
21135,P335541.3.1,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335541,3,1,seal identification
21136,P335541.3.2,{kur}la-hi-ri,Lahiru[1]GN$Lahiri,GN,GN,"['𒆳', '𒆷', '𒄭', '𒊑']",𒆳𒆷𒄭𒊑,{KUR}la-hi-ri,"['complete', 'complete', 'complete', 'complete']",0.0,Lahiri,Lahiru,1,,P335541,3,2,seal identification
21137,P335541.4.1,{na₄}KIŠIB,kunuk[seal]N,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P335541,4,1,seal identification
21138,P335541.4.2,{1}{d}30—MAN—PAB,Sin-šarru-uṣur[1]PN,PN,PN,"['𒁹', '𒀭', '𒌍', '𒌋𒌋', '𒉽']",𒁹𒀭𒌍𒌋𒌋𒉽,{1}{d}30-MAN-PAB,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Sin-šarru-uṣur,Sin-šarru-uṣur,1,,P335541,4,2,seal identification
21139,P335541.4.3,{lu₂v}2-u₂,šaniu[deputy]'N,,NU,"['𒇽', '𒈫', '𒌑']",𒇽𒈫𒌑,{LU₂~v}2-u₂,"['complete', 'complete', 'complete']",0.0,šaniu,šanû,deputy,,P335541,4,3,seal identification
21140,P335541.5.1,{1}mu-ra-su-u₂,Murasu[1]PN$,PN,PN,"['𒁹', '𒈬', '𒊏', '𒋢', '𒌑']",𒁹𒈬𒊏𒋢𒌑,{1}mu-ra-su-u₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Murasu,Murasu,1,,P335541,5,1,seal identification
21141,P335541.5.2,{lu₂v}3-šu₂,tašlīšu[third man on chariot]N,,N,"['𒇽', '𒐈', '𒋙']",𒇽𒐈𒋙,{LU₂~v}3-šu₂,"['complete', 'complete', 'complete']",0.0,tašlīšu,tašlīšu,third man on chariot,,P335541,5,2,seal identification
21142,P335541.6.1,{1}za-bi-nu,Zabinu[1]PN,PN,PN,"['𒁹', '𒍝', '𒁉', '𒉡']",𒁹𒍝𒁉𒉡,{1}za-bi-nu,"['complete', 'complete', 'complete', 'complete']",0.0,Zabinu,Zabinu,1,,P335541,6,1,seal identification
21143,P335541.6.2,{lu₂v}mu-kil—PA-MEŠ,+mukillu[holder]N$mukīl&+appatu[bridle]N$appāti,,N,"['𒇽', '𒈬', '𒆸', '𒉺', '𒈨𒌍']",𒇽𒈬𒆸𒉺𒈨𒌍,{LU₂~v}mu-kil-PA-MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,mukīl,mukillu,holder,,P335541,6,2,seal identification
21145,P335541.7.1,PAB,gimru[total]N,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,P335541,7,1,seal identification
21146,P335541.7.2,04,n,NUMBER,n,['𒐉'],𒐉,04,['complete'],0.0,,,,,P335541,7,2,seal identification
21147,P335541.7.3,LU₂-MEŠ-e,amēlē[man]N,,N,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,LU₂-MEŠ-e,"['complete', 'complete', 'complete']",0.0,amēlē,awīlu,man,,P335541,7,3,seal identification
21148,P335541.7.4,EN,!bēl[owner]N,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,P335541,7,4,seal identification
21149,P335541.7.5,URU,!āli[town]N,,N,['𒌷'],𒌷,URU,['complete'],0.0,āli,ālu,town,,P335541,7,5,seal identification
21150,P335541.7.6,ta-da-a-ni,tadāni[giving]'N,,V,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,ta-da-a-ni,"['complete', 'complete', 'complete', 'complete']",0.0,tadāni,tadānu,giving,,P335541,7,6,seal identification
21151,P335541.11.1,{uru}ŠE—{1}ba-ha-a.a,Kapar-Bahaya[1]GN$,GN,GN,"['𒌷', '𒊺', '𒁹', '𒁀', '𒄩', '𒀀', '𒀀']",𒌷𒊺𒁹𒁀𒄩𒀀𒀀,{URU}ŠE-{1}ba-ha-a.a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kapar-Bahaya,Kapar-Bahaya,1,,P335541,11,1,object sold
21152,P335541.11.2,a-di,adi[with]PRP,,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,adi,adi,with,,P335541,11,2,object sold
21153,P335541.11.3,gi-mir-ti-šu₂,gimirtīšu[totality]N,,N,"['𒄀', '𒂇', '𒋾', '𒋙']",𒄀𒂇𒋾𒋙,gi-mir-ti-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,gimirtīšu,gimirtu,totality,,P335541,11,3,object sold
21154,P335541.12.1,E₂,bētu[plot of land]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,P335541,12,1,object sold
21155,P335541.12.2,05,n,NUMBER,n,['𒐊'],𒐊,05,['complete'],0.0,,,,,P335541,12,2,object sold
21156,P335541.12.3,me,mē[hundred]NU,,NU,['𒈨'],𒈨,me,['complete'],0.0,mē,meʾatu,(one) hundred,,P335541,12,3,object sold
21157,P335541.12.4,A.ŠA₃,eqlu[land]N,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,land,,P335541,12,4,object sold
21158,P335541.12.5,a-di,adi[with]PRP,,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,adi,adi,with,,P335541,12,5,object sold
21159,P335541.12.6,{še}NUMUN-šu₂,zēru[seed(s)//agricultural land]N$zarʾūšu,,N,"['𒊺', '𒆰', '𒋙']",𒊺𒆰𒋙,{ŠE}NUMUN-šu₂,"['complete', 'complete', 'complete']",0.0,zarʾūšu,zēru,agricultural land,,P335541,12,6,object sold
21160,P335541.12.7,ar-ši,eršu[tilled]AJ$arši,,AJ,"['𒅈', '𒅆']",𒅈𒅆,ar-ši,"['complete', 'complete']",0.0,arši,eršu,tilled,,P335541,12,7,object sold
21161,P335541.13.1,SUHUR,ṭēhi[adjacent to]PRP,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,P335541,13,1,object sold
21162,P335541.13.2,{uru}ŠE—{1}tap-ha—a-ri-<$x$>,+Kapar-Tapha-ari...[]GN$,GN,GN,"['𒌷', '𒊺', '𒁹', '𒋰', '𒄩', '𒀀', '𒊑', 'x']",𒌷𒊺𒁹𒋰𒄩𒀀𒊑x,{URU}ŠE-{1}tap-ha-a-ri-x,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kapar-Tapha-ari...,Kapar-Tapha-ari...,1,,P335541,13,2,object sold
