Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
3673,P522524.3.1,u,⸢x,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,,P522524,3,1,none
3674,P522524.3.2,u,x,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,,P522524,3,2,none
3675,P522524.3.3,u,x⸣,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,,P522524,3,3,none
3676,P522524.3.4,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P522524,3,4,none
3677,P522524.3.5,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P522524,3,5,none
3678,P522524.3.6,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P522524,3,6,none
3679,P522524.3.7,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P522524,3,7,none
3680,P522524.3.8,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P522524,3,8,none
3681,P522524.3.9,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P522524,3,9,none
3682,P522524.4.1,ina[in]PRP,ina,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P522524,4,1,price
3683,P522524.4.2,libbi[interior]N,ŠA₃,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,libbi,libbu,interior,,P522524,4,2,price
3684,P522524.4.3,n,90,n,['𒐕𒌍'],𒐕𒌍,90,['complete'],0.0,,,,NUMBER,P522524,4,3,price
3685,P522524.4.4,manā[a unit of weight]N,MA.NA,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manā,manû,a unit of weight,,P522524,4,4,price
3686,P522524.4.5,erî[copper]N,⸢URUDU⸣-[(MEŠ),N,"['𒍏', '𒈨𒌍']",𒍏𒈨𒌍,⸢URUDU⸣-[MEŠ],"['damaged', 'missing']",0.75,erî,erû,copper,,P522524,4,5,price
3687,P522524.4.6,uppišma[contract]V,u₂-piš-ma,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš-ma],"['missing', 'missing', 'missing']",1.0,uppišma,epēšu,contract,,P522524,4,6,initiation of transaction
3688,P522524.4.7,+Bel-...[]PN$,{1}EN-x-x],PN,"['𒁹', '𒂗', 'X', 'X']",𒁹𒂗XX,{[1]}[EN-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,Bel-...,Bel-...,1,PN,P522524,4,7,initiation of transaction
3689,P522524.5.1,issu[from]PRP,TA,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,,P522524,5,1,completion of transaction
3690,P522524.5.2,pān[front]N,pa-an,N,"['𒉺', '𒀭']",𒉺𒀭,pa-an,"['complete', 'complete']",0.0,pān,pānu,front,,P522524,5,2,completion of transaction
3691,P522524.5.3,Šamaš-abu-uṣur[1]PN,{1}{d}UTU-⸢AD⸣-[PAB,PN,"['𒁹', '𒀭', '𒌓', '𒀜', '𒉽']",𒁹𒀭𒌓𒀜𒉽,{1}{d}UTU-⸢AD⸣-[PAB],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,Šamaš-abu-uṣur,Šamaš-abu-uṣur,1,PN,P522524,5,3,completion of transaction
3692,P522524.5.4,issu[from]PRP,TA,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,issu,ištu,from,,P522524,5,4,completion of transaction
3693,P522524.5.5,pān[front]N,pa-an,N,"['𒉺', '𒀭']",𒉺𒀭,[pa-an],"['missing', 'missing']",1.0,pān,pānu,front,,P522524,5,5,completion of transaction
3694,P522524.5.6,u,{1}x-x-x],u,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[1]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,,,,,P522524,5,6,completion of transaction
3695,P522524.6.1,issu[from]PRP,TA,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,,P522524,6,1,completion of transaction
3696,P522524.6.2,pān[front]N,pa-an,N,"['𒉺', '𒀭']",𒉺𒀭,pa-an,"['complete', 'complete']",0.0,pān,pānu,front,,P522524,6,2,completion of transaction
3697,P522524.6.3,+Denu-Kurbail[]PN$,{1}de-nu-{uru}kur-ba-il₃,PN,"['𒁹', '𒁲', '𒉡', '𒌷', '𒆳', '𒁀', '𒀭']",𒁹𒁲𒉡𒌷𒆳𒁀𒀭,{1}de-nu-{URU}kur-ba-il₃,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Denu-Kurbail,Denu-Kurbail,1,PN,P522524,6,3,completion of transaction
3698,P522524.6.4,ilqe[purchase]V,⸢il⸣-[qe₂],V,"['𒅋', '𒆠']",𒅋𒆠,⸢il⸣-[qe₂],"['damaged', 'missing']",0.75,ilqe,leqû,purchase,,P522524,6,4,completion of transaction
3699,P522524.7.1,kaspu[money]N,kas-pu,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,,P522524,7,1,confirmation of transfer 1
3700,P522524.7.2,gammur[completed]AJ,ga-mur,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,,P522524,7,2,confirmation of transfer 1
3701,P522524.7.3,tadin[paid]AJ,ta-⸢din⸣,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-⸢din⸣,"['complete', 'damaged']",0.25,tadin,tadnu,paid,,P522524,7,3,confirmation of transfer 1
3702,P522524.7.4,bētu[house]N,E₂,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,house,,P522524,7,4,confirmation of transfer 2
3703,P522524.7.5,kiriu[garden]N,{giš}SAR,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,kiriu,kirû,garden,,P522524,7,5,confirmation of transfer 2
3704,P522524.8.1,zarip[purchased]AJ,za-rip,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,zarip,zarpu,purchased,,P522524,8,1,confirmation of transfer 2
3705,P522524.8.2,laqqi[acquired]AJ,laq-qi,AJ,"['𒋃', '𒆥']",𒋃𒆥,laq-qi,"['complete', 'complete']",0.0,laqqi,leqû,acquired,,P522524,8,2,confirmation of transfer 2
3706,P522524.8.3,tuāru[revocation]'N,tu-[a]-ru,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-[a]-ru,"['complete', 'missing', 'complete']",0.33,tuāru,târu,revocation,,P522524,8,3,exclusion of litigation
3707,P522524.8.4,dēnu[lawsuit]N,de-nu,N,"['𒁲', '𒉡']",𒁲𒉡,de-nu,"['complete', 'complete']",0.0,dēnu,dīnu,lawsuit,,P522524,8,4,exclusion of litigation
3708,P522524.9.1,dabābu[litigation]'N,DUG₄.DUG₄,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,,P522524,9,1,exclusion of litigation
3709,P522524.9.2,laššu[(there) is not]V,la-aš₂-šu₂,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,laššu,laššu,(there) is not,,P522524,9,2,exclusion of litigation
3710,P522524.9.3,mannu[whoever]'XP,man-nu,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,mannu,mannu,whoever,,P522524,9,3,penalties for litigation: contravention
3711,P522524.9.4,ša[who]REL,ša,REL,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,who,,P522524,9,4,penalties for litigation: contravention
3712,P522524.9.5,ina[in]PRP,ina,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P522524,9,5,penalties for litigation: contravention
3713,P522524.9.6,urkiš[later]AV,ur-kiš,AV,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,urkiš,urkiš,later,,P522524,9,6,penalties for litigation: contravention
3714,P522524.10.1,ina[in]PRP,ina,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P522524,10,1,penalties for litigation: contravention
3715,P522524.10.2,matēma[ever]AV,ma-te-ma,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,ma-te-ma,"['complete', 'complete', 'complete']",0.0,matēma,matīma,ever,,P522524,10,2,penalties for litigation: contravention
3716,P522524.10.3,lū[may]MOD,lu-u,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,may,,P522524,10,3,penalties for litigation: contravention
