Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
30851,P335950.3.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,3,1,none
30852,P335950.3.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,3,2,none
30853,P335950.3.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,3,3,none
30854,P335950.3.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,3,4,none
30855,P335950.3.5,x]-a-ni,u,u,"['x', '𒀀', '𒉌']",x𒀀𒉌,[x]-a-ni,"['missing', 'complete', 'complete']",0.33,,,,,,P335950,3,5,none
30856,P335950.4.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,4,1,none
30857,P335950.4.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,4,2,none
30858,P335950.4.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,4,3,none
30859,P335950.4.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,4,4,none
30860,P335950.4.5,x]+⸢x⸣-te,u,u,"['x', 'x', '𒋼']",xx𒋼,[x]+⸢x⸣-te,"['missing', 'damaged', 'complete']",0.5,,,,,,P335950,4,5,none
30861,P335950.5.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,5,1,none
30862,P335950.5.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,5,2,none
30863,P335950.5.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,5,3,none
30864,P335950.5.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,5,4,none
30865,P335950.5.5,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335950,5,5,none
30866,P335950.5.6,x]+⸢x⸣,u,u,"['x', 'x']",xx,[x]+⸢x⸣,"['missing', 'damaged']",0.75,,,,,,P335950,5,6,none
30867,P335950.9.1,{1}KA₂.KUG—lu-nu,Kubabu-lunu[1]PN$,PN,"['𒁹', '𒆍', '𒆬', '𒇻', '𒉡']",𒁹𒆍𒆬𒇻𒉡,{1}KA₂.KUG-lu-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kubabu-lunu,Kubabu-lunu,1,PN,,P335950,9,1,object sold
30868,P335950.9.2,MI₂-šu₂,issušu[woman]N,N,"['𒊩', '𒋙']",𒊩𒋙,MI₂-šu₂,"['complete', 'complete']",0.0,issušu,sinništu,woman,,,P335950,9,2,object sold
30869,P335950.9.3,DUMU-šu₂,māršu[son]N,N,"['𒌉', '𒋙']",𒌉𒋙,DUMU-šu₂,"['complete', 'complete']",0.0,māršu,māru,son,,,P335950,9,3,object sold
30870,P335950.9.4,PAB,gimru[total]N,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,,P335950,9,4,object sold
30871,P335950.9.5,03,n,n,['𒐈'],𒐈,03,['complete'],0.0,,,,NUMBER,,P335950,9,5,object sold
