Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
1348,P522567.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522567,2,1,seal identification
1349,P522567.2.2,Dadi-suri[1]PN,{m}da-di-su-ri,Dadi-suri,Dadi-suri,1,PN,"['𒁹', '𒁕', '𒁲', '𒋢', '𒊑']",𒁹𒁕𒁲𒋢𒊑,{m}da-di-su-ri,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522567,2,2,seal identification
1350,P522567.3.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522567,3,1,seal identification
1351,P522567.3.2,eqli[field]N,A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522567,3,2,seal identification
1352,P522567.3.3,tadāni[giving]'N,SUM-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,,,P522567,3,3,seal identification
1353,P522567.5.1,bētu[plot of land]N,E₂,bētu,bītu,plot of land,N,['𒂍'],𒂍,E₂,['complete'],0.0,,,P522567,5,1,object sold
1354,P522567.5.2,n,02,,,,n,['0₂'],0₂,02,['complete'],0.0,,NUMBER,P522567,5,2,object sold
1355,P522567.5.3,imārī[a unit of capacity]N,ANŠE,imārī,imēru,a unit of capacity,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,,,P522567,5,3,object sold
1356,P522567.5.4,eqlu[field]N,A.ŠA₃,eqlu,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522567,5,4,object sold
1357,P522567.6.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522567,6,1,object sold
