Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
6549,P514292.34.7,izaqqupāni[complain]V,i-za-qu-[pa-ni],izaqqupāni,zaqāpu,complain,V,"['𒄿', '𒍝', '𒄣', '𒉺', '𒉌']",𒄿𒍝𒄣𒉺𒉌,i-za-qu-[pa-ni],"['complete', 'complete', 'complete', 'missing', 'missing']",0.4,,P514292,34,7,penalties for litigation: contravention
6550,P514292.35.1,ibbalkatūni[transgress]V,i-⸢bal⸣-[kat₃]-⸢u⸣-ni,ibbalkatūni,nabalkutu,transgress,V,"['𒄿', '𒁄', '𒆑', '𒌋', '𒉌']",𒄿𒁄𒆑𒌋𒉌,i-⸢bal⸣-[kat₃]-⸢u⸣-ni,"['complete', 'damaged', 'missing', 'damaged', 'complete']",0.4,,P514292,35,1,penalties for litigation: contravention
6551,P514292.35.2,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,P514292,35,2,penalties for litigation: contravention
6552,P514292.35.3,Nabu-tariṣ[]PN$Nabu-tarṣi,{m}{⸢d}PA-LAL-ṣi⸣,Nabu-tarṣi,Nabu-tariṣ,1,PN,"['𒁹', '𒀭', '𒉺', '𒇲', '𒍢']",𒁹𒀭𒉺𒇲𒍢,{m}{⸢d⸣}⸢PA-LAL-ṣi⸣,"['complete', 'damaged', 'damaged', 'damaged', 'damaged']",0.4,PN,P514292,35,3,penalties for litigation: contravention
6553,P514292.36.1,lū[may]MOD,⸢lu⸣-[u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,⸢lu⸣-[u],"['damaged', 'missing']",0.75,,P514292,36,1,penalties for litigation: contravention
6554,P514292.36.2,marʾēšu[son]N,DUMU.MEŠ]-⸢šu₂,marʾēšu,māru,son,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,[DUMU].[MEŠ]-⸢šu₂⸣,"['missing', 'missing', 'damaged']",0.83,,P514292,36,2,penalties for litigation: contravention
6555,P514292.36.3,lū[may]MOD,lu⸣-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,⸢lu⸣-u,"['damaged', 'complete']",0.25,,P514292,36,3,penalties for litigation: contravention
6556,P514292.36.4,mār[son]N,DUMU,mār,māru,son,N,['𒌉'],𒌉,DUMU,['complete'],0.0,,P514292,36,4,penalties for litigation: contravention
6557,P514292.36.5,marʾēšu[son]N,DUMU.[MEŠ-šu₂,marʾēšu,māru,son,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU.[MEŠ-šu₂],"['complete', 'missing', 'missing']",0.67,,P514292,36,5,penalties for litigation: contravention
6558,P514292.36.6,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,P514292,36,6,penalties for litigation: contravention
