Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
28672,P335370.2.1,[ku]-⸢um⸣,kūm[instead of]PRP,,PRP,"['𒆪', '𒌝']",𒆪𒌝,[ku]-⸢um⸣,"['missing', 'damaged']",0.75,kūm,kūm,instead of,,P335370,2,1,seal identification
28673,P335370.2.2,{na₄}KIŠIB-šu₂,kunukkīšu[seal]N,,N,"['𒉌𒌓', '𒈩', '𒋙']",𒉌𒌓𒈩𒋙,{NA₄}KIŠIB-šu₂,"['complete', 'complete', 'complete']",0.0,kunukkīšu,kunukku,seal,,P335370,2,2,seal identification
28674,P335370.2.3,ṣu-pur-šu₂,ṣupuršu[fingernail]N,,N,"['𒍮', '𒁓', '𒋙']",𒍮𒁓𒋙,ṣu-pur-šu₂,"['complete', 'complete', 'complete']",0.0,ṣupuršu,ṣupru,fingernail,,P335370,2,3,seal identification
28675,P335370.2.4,GAR-un,iškun[place]V,,V,"['𒃻', '𒌦']",𒃻𒌦,GAR-un,"['complete', 'complete']",0.0,iškun,šakānu,place,,P335370,2,4,seal identification
28676,P335370.3.1,[ṣu]-pur,ṣupur[fingernail]N,,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu]-pur,"['missing', 'complete']",0.5,ṣupur,ṣupru,fingernail,,P335370,3,1,seal identification
28677,P335370.3.2,{1}DINGIR—a-mar,Il-amar[1]PN$,PN,PN,"['𒁹', '𒀭', '𒀀', '𒈥']",𒁹𒀭𒀀𒈥,{1}DINGIR-a-mar,"['complete', 'complete', 'complete', 'complete']",0.0,Il-amar,Il-amar,1,,P335370,3,2,seal identification
28678,P335370.3.3,{lu₂v}GAL—kar-ma-ni,+rabû[big one]N$rab&+karmu[heap]N$karmāni,,N,"['𒇽', '𒃲', '𒋼𒀀', '𒈠', '𒉌']",𒇽𒃲𒋼𒀀𒈠𒉌,{LU₂~v}GAL-kar-ma-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,rab,rabû,big one,,P335370,3,3,seal identification
28680,P335370.4.1,[o],u,,u,['o'],o,[o],['missing'],1.0,,,,,P335370,4,1,seal identification
28681,P335370.4.2,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335370,4,2,seal identification
28682,P335370.4.3,{uru}ma-ga-nu-ba,Maganuba[1]GN$,GN,GN,"['𒌷', '𒈠', '𒂵', '𒉡', '𒁀']",𒌷𒈠𒂵𒉡𒁀,{URU}ma-ga-nu-ba,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Maganuba,Maganuba,1,,P335370,4,3,seal identification
28683,P335370.5.1,EN,bēl[owner]N,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,P335370,5,1,seal identification
28684,P335370.5.2,{giš}SAR,kirie[garden]N,,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,kirie,kirû,garden,,P335370,5,2,seal identification
28685,P335370.5.3,A.ŠA₃,eqli[land]N,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,land,,P335370,5,3,seal identification
28686,P335370.5.4,UN-MEŠ,nišē[people]N,,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,nišē,nišu,people,,P335370,5,4,seal identification
28687,P335370.5.5,SUM-an,tadānu[give//giving]'N$tadān,,V,"['𒋧', '𒀭']",𒋧𒀭,SUM-an,"['complete', 'complete']",0.0,tadān,tadānu,giving,,P335370,5,5,seal identification
28688,P335370.9.1,02,n,NUMBER,n,['𒈫'],𒈫,02,['complete'],0.0,,,,,P335370,9,1,object sold
28689,P335370.9.2,{giš}SAR-MEŠ,kirâti[garden]N,,N,"['𒄑', '𒊬', '𒈨𒌍']",𒄑𒊬𒈨𒌍,{GIŠ}SAR-MEŠ,"['complete', 'complete', 'complete']",0.0,kirâti,kirû,garden,,P335370,9,2,object sold
28690,P335370.9.3,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335370,9,3,object sold
28691,P335370.9.4,til-lit,tillatu[vine]N$tillit,,N,"['𒌀', '𒀖']",𒌀𒀖,til-lit,"['complete', 'complete']",0.0,tillit,tillatu,vine,,P335370,9,4,object sold
28692,P335370.9.5,E₂,bētu[plot of land]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,P335370,9,5,object sold
28693,P335370.9.6,03,n,NUMBER,n,['𒐈'],𒐈,03,['complete'],0.0,,,,,P335370,9,6,object sold
28694,P335370.9.7,ANŠE,imārī[a unit of area]N,,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,imārī,imēru,a unit of area,,P335370,9,7,object sold
28695,P335370.9.8,A.ŠA₃,eqlu[land]N,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,land,,P335370,9,8,object sold
28696,P335370.10.1,ina,ina[in]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P335370,10,1,object sold
28697,P335370.10.2,{uru}UŠ—hi-ri-ti,Šiddi-hiriti[1]GN$,GN,GN,"['𒌷', '𒍑', '𒄭', '𒊑', '𒋾']",𒌷𒍑𒄭𒊑𒋾,{URU}UŠ-hi-ri-ti,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Šiddi-hiriti,Šiddi-hiriti,1,,P335370,10,2,object sold
28698,P335370.11.1,{1}qa-u₂-su,Qausu[1]PN$,PN,PN,"['𒁹', '𒋡', '𒌑', '𒋢']",𒁹𒋡𒌑𒋢,{1}qa-u₂-su,"['complete', 'complete', 'complete', 'complete']",0.0,Qausu,Qausu,1,,P335370,11,1,object sold
28699,P335370.11.2,{1}aš-šur—EN—LAL-in,Aššur-belu-taqqin[1]PN,PN,PN,"['𒁹', '𒀸', '𒋩', '𒂗', '𒇲', '𒅔']",𒁹𒀸𒋩𒂗𒇲𒅔,{1}aš-šur-EN-LAL-in,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Aššur-belu-taqqin,Aššur-belu-taqqin,1,,P335370,11,2,object sold
28700,P335370.12.1,{lu₂v}NU.GIŠ.SAR,nukaribbi[gardener]N,,N,"['𒇽', '𒉡', '𒄑', '𒊬']",𒇽𒉡𒄑𒊬,{LU₂~v}NU.GIŠ.SAR,"['complete', 'complete', 'complete', 'complete']",0.0,nukaribbi,nukaribbu,gardener,,P335370,12,1,object sold
28701,P335370.12.2,{1}PAB-me-e,Ah-imme[1]PN$,PN,PN,"['𒁹', '𒉽', '𒈨', '𒂊']",𒁹𒉽𒈨𒂊,{1}PAB-me-e,"['complete', 'complete', 'complete', 'complete']",0.0,Ah-imme,Ah-imme,1,,P335370,12,2,object sold
28702,P335370.12.3,{lu₂v}⸢ENGAR⸣,ikkaru[farmer]N$ikkār,,N,"['𒇽', '𒀳']",𒇽𒀳,{LU₂~v}⸢ENGAR⸣,"['complete', 'damaged']",0.25,ikkār,ikkaru,farmer,,P335370,12,3,object sold
28703,P335370.12.4,MAN,šarri[king]N,,N,['𒌋𒌋'],𒌋𒌋,MAN,['complete'],0.0,šarri,šarru,king,,P335370,12,4,object sold
28704,P335370.13.1,03,n,NUMBER,n,['𒐈'],𒐈,03,['complete'],0.0,,,,,P335370,13,1,object sold
28705,P335370.13.2,⸢MI₂⸣-[MEŠ],issāti[woman]N,,N,"['𒊩', '𒈨𒌍']",𒊩𒈨𒌍,⸢MI₂⸣-[MEŠ],"['damaged', 'missing']",0.75,issāti,sinništu,woman,,P335370,13,2,object sold
28706,P335370.13.3,01,n,NUMBER,n,['𒁹'],𒁹,⸢01⸣,['damaged'],0.5,,,,,P335370,13,3,object sold
28707,P335370.13.4,DUMU,māru[son]N,,N,['𒌉'],𒌉,DUMU,['complete'],0.0,māru,māru,son,,P335370,13,4,object sold
28708,P335370.13.5,PAB,gimru[total]N,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,P335370,13,5,object sold
28709,P335370.13.6,07,n,NUMBER,n,['𒐌'],𒐌,⸢07⸣,['damaged'],0.5,,,,,P335370,13,6,object sold
28710,P335370.13.7,ZI-MEŠ,nupšāti[person]N,,N,"['𒍣', '𒈨𒌍']",𒍣𒈨𒌍,ZI-MEŠ,"['complete', 'complete']",0.0,nupšāti,napištu,person,,P335370,13,7,object sold
28711,P335370.14.1,⸢u₂⸣-piš-⸢ma⸣,uppišma[contract]V,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,⸢u₂⸣-piš-⸢ma⸣,"['damaged', 'complete', 'damaged']",0.33,uppišma,epēšu,contract,,P335370,14,1,initiation of transaction
28712,P335370.14.2,{1}šum₂-ma—DINGIR]-⸢MEŠ⸣-ni,Šumma-ilani[1]PN$,PN,PN,"['𒁹', '𒋧', '𒈠', '𒀭', '𒈨𒌍', '𒉌']",𒁹𒋧𒈠𒀭𒈨𒌍𒉌,{[1]}[šum₂-ma-DINGIR]-⸢MEŠ⸣-ni,"['missing', 'missing', 'missing', 'missing', 'damaged', 'complete']",0.75,Šumma-ilani,Šumma-ilani,1,,P335370,14,2,initiation of transaction
28713,P335370.15.1,[ina],ina[in+=for]PRP,,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P335370,15,1,price
28714,P335370.15.2,⸢ŠA₃⸣-bi,libbi[interior]N,,N,"['𒊮', '𒁉']",𒊮𒁉,⸢ŠA₃⸣-bi,"['damaged', 'complete']",0.25,libbi,libbu,interior,,P335370,15,2,price
28715,P335370.15.3,25,n,NUMBER,n,['𒌋𒌋𒐊'],𒌋𒌋𒐊,25,['complete'],0.0,,,,,P335370,15,3,price
28716,P335370.15.4,⸢MA⸣.[NA,manê[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.[NA],"['damaged', 'missing']",0.75,manê,manû,a unit of weight,,P335370,15,4,price
28717,P335370.15.5,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335370,15,5,price
28718,P335370.15.6,KUG.UD],ṣarpi[silver]N,,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,ṣarpi,ṣarpu,silver,,P335370,15,6,price
28719,P335370.16.1,⸢TA@v⸣,ištu[from+=from]PRP$issu,,PRP,['𒋬'],𒋬,⸢TA@v⸣,['damaged'],0.5,issu,ištu,from,,P335370,16,1,completion of transaction
28720,P335370.16.2,IGI,pānu[front]N$pān,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,front,,P335370,16,2,completion of transaction
28721,P335370.16.3,{1}⸢DINGIR⸣—a-ma-[ra,Il-amar[1]PN$,PN,PN,"['𒁹', '𒀭', '𒀀', '𒈠', '𒊏']",𒁹𒀭𒀀𒈠𒊏,{1}⸢DINGIR⸣-a-ma-[ra],"['complete', 'damaged', 'complete', 'complete', 'missing']",0.3,Il-amar,Il-amar,1,,P335370,16,3,completion of transaction
28722,P335370.16.4,il-qi₂],ilqi[purchase]V,,V,"['𒅋', '𒆠']",𒅋𒆠,[il-qi₂],"['missing', 'missing']",1.0,ilqi,leqû,purchase,,P335370,16,4,completion of transaction
28723,P335370.17.1,⸢kas⸣-pu,kaspu[money]N,,N,"['𒆜', '𒁍']",𒆜𒁍,⸢kas⸣-pu,"['damaged', 'complete']",0.25,kaspu,kaspu,money,,P335370,17,1,confirmation of transfer 1
28724,P335370.17.2,⸢gam⸣-mur,gammur[completed]AJ,,AJ,"['𒃵', '𒄯']",𒃵𒄯,⸢gam⸣-mur,"['damaged', 'complete']",0.25,gammur,gammuru,completed,,P335370,17,2,confirmation of transfer 1
28725,P335370.17.3,ta-din,tadnu[given//paid]AJ$tadin,,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,,P335370,17,3,confirmation of transfer 1
28726,P335370.17.4,{⸢giš⸣}[SAR]-⸢MEŠ⸣,kirû[garden]N$kirâti,,N,"['𒄑', '𒊬', '𒈨𒌍']",𒄑𒊬𒈨𒌍,{⸢GIŠ⸣}[SAR]-⸢MEŠ⸣,"['damaged', 'missing', 'damaged']",0.67,kirâti,kirû,garden,,P335370,17,4,confirmation of transfer 2
28727,P335370.18.1,A.ŠA₃,eqlu[field]N,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,field,,P335370,18,1,confirmation of transfer 2
28728,P335370.18.2,UN-MEŠ,nišē[people]N,,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,nišē,nišu,people,,P335370,18,2,confirmation of transfer 2
28729,P335370.18.3,šu-a-te,šuāti[him//those]IP'DP$šuāte,,IP,"['𒋗', '𒀀', '𒋼']",𒋗𒀀𒋼,šu-a-te,"['complete', 'complete', 'complete']",0.0,šuāte,šuāti,those,,P335370,18,3,confirmation of transfer 2
28730,P335370.18.4,za-⸢rip⸣,zarip[purchased]AJ,,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-⸢rip⸣,"['complete', 'damaged']",0.25,zarip,zarpu,purchased,,P335370,18,4,confirmation of transfer 2
