Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
3254,P514295.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,P514295,2,1,seal identification
3255,P514295.2.2,Sin-naʾdi[]PN$,{m}{d}30-I,Sin-naʾdi,Sin-naʾdi,1,PN,"['𒁹', '𒀭', '𒌍', '𒄿']",𒁹𒀭𒌍𒄿,{m}{d}30-I,"['complete', 'complete', 'complete', 'complete']",0.0,PN,P514295,2,2,seal identification
3256,P514295.2.3,hazannu[mayor]N,{⸢lu₂⸣}[ha-za-nu],hazannu,hazannu,mayor,N,"['𒇽', '𒄩', '𒍝', '𒉡']",𒇽𒄩𒍝𒉡,{⸢LU₂⸣}[ha-za-nu],"['damaged', 'missing', 'missing', 'missing']",0.88,,P514295,2,3,seal identification
3257,P514295.3.1,kunuk[seal]N,{na₄}⸢KIŠIB⸣,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}⸢KIŠIB⸣,"['complete', 'damaged']",0.25,,P514295,3,1,seal identification
3258,P514295.3.2,Nabu-rehtu-uṣur[]PN$,{m}{⸢d}PA⸣-re-eh-tu₂-PAB,Nabu-rehtu-uṣur,Nabu-rehtu-uṣur,1,PN,"['𒁹', '𒀭', '𒉺', '𒊑', '𒄴', '𒌓', '𒉽']",𒁹𒀭𒉺𒊑𒄴𒌓𒉽,{m}{⸢d⸣}⸢PA⸣-re-eh-tu₂-PAB,"['complete', 'damaged', 'damaged', 'complete', 'complete', 'complete', 'complete']",0.14,PN,P514295,3,2,seal identification
3259,P514295.3.3,ša-muhhi-āli[town overseer]N$,{[lu₂}ša₂-UGU-URU],ša-muhhi-āli,ša-muhhi-āli,town overseer,N,"['𒇽', '𒃻', '𒌋𒅗', '𒌷']",𒇽𒃻𒌋𒅗𒌷,{[LU₂]}[ša₂-UGU-URU],"['missing', 'missing', 'missing', 'missing']",1.0,,P514295,3,3,seal identification
3260,P514295.4.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,P514295,4,1,seal identification
3261,P514295.4.2,Nabuʾa[1]PN,{m}⸢na⸣-bu-u-a,Nabuʾa,Nabuʾa,1,PN,"['𒁹', '𒈾', '𒁍', '𒌋', '𒀀']",𒁹𒈾𒁍𒌋𒀀,{m}⸢na⸣-bu-u-a,"['complete', 'damaged', 'complete', 'complete', 'complete']",0.1,PN,P514295,4,2,seal identification
3262,P514295.4.3,rabû[big one//commander]N'N$rab,GAL,rab,rabû,commander,N,['𒃲'],𒃲,GAL,['complete'],0.0,,P514295,4,3,seal identification
3263,P514295.4.4,ešertu[group of ten]N$ešerti,10,ešerti,ešertu,group of ten,N,['𒌋'],𒌋,10,['complete'],0.0,,P514295,4,4,seal identification
3264,P514295.4.5,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,,P514295,4,5,seal identification
