Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
29340,P335412.2.1,ku-um,kūm[instead of]PRP,,PRP,"['𒆪', '𒌝']",𒆪𒌝,ku-um,"['complete', 'complete']",0.0,kūm,kūm,instead of,,P335412,2,1,seal identification
29341,P335412.2.2,{na₄}KIŠIB-šu₂-nu,kunukkišunu[seal]N,,N,"['𒉌𒌓', '𒈩', '𒋙', '𒉡']",𒉌𒌓𒈩𒋙𒉡,{NA₄}KIŠIB-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,kunukkišunu,kunukku,seal,,P335412,2,2,seal identification
29342,P335412.2.3,{1}ha-ru-ra-[a-nu],Haruranu[1]PN$,PN,PN,"['𒁹', '𒄩', '𒊒', '𒊏', '𒀀', '𒉡']",𒁹𒄩𒊒𒊏𒀀𒉡,{1}ha-ru-ra-[a-nu],"['complete', 'complete', 'complete', 'complete', 'missing', 'missing']",0.33,Haruranu,Haruranu,1,,P335412,2,3,seal identification
29343,P335412.3.1,{1}sa-li-la-a-nu,Salilanu[1]PN$,PN,PN,"['𒁹', '𒊓', '𒇷', '𒆷', '𒀀', '𒉡']",𒁹𒊓𒇷𒆷𒀀𒉡,{1}sa-li-la-a-nu,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Salilanu,Salilanu,1,,P335412,3,1,seal identification
29344,P335412.3.2,ṣu-bar-šu₂-nu,ṣupru[nail//fingernail]N$ṣubaršunu,,N,"['𒍮', '𒁇', '𒋙', '𒉡']",𒍮𒁇𒋙𒉡,ṣu-bar-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,ṣubaršunu,ṣupru,fingernail,,P335412,3,2,seal identification
29345,P335412.3.3,iš-⸢kun⸣,iškun[place]V,,V,"['𒅖', '𒆲']",𒅖𒆲,iš-⸢kun⸣,"['complete', 'damaged']",0.25,iškun,šakānu,place,,P335412,3,3,seal identification
29346,P335412.8.1,{uru}i-si-tu₂,isītu[tower]N,,N,"['𒌷', '𒄿', '𒋛', '𒌓']",𒌷𒄿𒋛𒌓,{URU}i-si-tu₂,"['complete', 'complete', 'complete', 'complete']",0.0,isītu,isītu,tower,,P335412,8,1,object sold
29347,P335412.8.2,be₂-et,bītu[house//plot of land]N$bēt,,N,"['𒁉', '𒀉']",𒁉𒀉,be₂-et,"['complete', 'complete']",0.0,bēt,bītu,plot of land,,P335412,8,2,object sold
29348,P335412.8.3,10,n,NUMBER,n,['𒌋'],𒌋,10,['complete'],0.0,,,,,P335412,8,3,object sold
29349,P335412.8.4,⸢ANŠE⸣,imārī[a unit of capacity]N,,N,['𒀲'],𒀲,⸢ANŠE⸣,['damaged'],0.5,imārī,imēru,a unit of capacity,,P335412,8,4,object sold
29350,P335412.8.5,[A.ŠA₃.GA],eqlu[land]N,,N,"['𒀀', '𒊮', '𒂵']",𒀀𒊮𒂵,[A].[ŠA₃].[GA],"['missing', 'missing', 'missing']",1.0,eqlu,eqlu,land,,P335412,8,5,object sold
29351,P335412.9.1,ina,ina[in+=in]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P335412,9,1,object sold
29352,P335412.9.2,ŠA₃-bi,libbi[interior]N,,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,,P335412,9,2,object sold
29353,P335412.9.3,u₂-šal-li,ušalli[meadow]N,,N,"['𒌑', '𒊩', '𒇷']",𒌑𒊩𒇷,u₂-šal-li,"['complete', 'complete', 'complete']",0.0,ušalli,ušallu,meadow,,P335412,9,3,object sold
29354,P335412.9.4,ina,ina[in]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P335412,9,4,object sold
29355,P335412.9.5,{uru}[x,u,,u,"['𒌷', 'x']",𒌷x,{URU}[x],"['complete', 'missing']",0.5,,,,,P335412,9,5,object sold
29356,P335412.9.6,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335412,9,6,object sold
29357,P335412.9.7,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335412,9,7,object sold
29358,P335412.10.1,{1}ab-di—ku-bu-bi,Abdi-Kububi[1]PN$,PN,PN,"['𒁹', '𒀊', '𒁲', '𒆪', '𒁍', '𒁉']",𒁹𒀊𒁲𒆪𒁍𒁉,{1}ab-di-ku-bu-bi,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Abdi-Kububi,Abdi-Kububi,1,,P335412,10,1,object sold
29359,P335412.10.2,MI₂-[šu₂,issušu[woman]N,,N,"['𒊩', '𒋙']",𒊩𒋙,MI₂-[šu₂],"['complete', 'missing']",0.5,issušu,sinništu,woman,,P335412,10,2,object sold
29360,P335412.10.3,02,n,NUMBER,n,['𒈫'],𒈫,[02],['missing'],1.0,,,,,P335412,10,3,object sold
29361,P335412.10.4,DUMU-MEŠ-šu₂],marʾēšu[son]N,,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,[DUMU-MEŠ-šu₂],"['missing', 'missing', 'missing']",1.0,marʾēšu,māru,son,,P335412,10,4,object sold
29362,P335412.11.1,PAB,gimru[total]N,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,P335412,11,1,object sold
29363,P335412.11.2,04,n,NUMBER,n,['𒐉'],𒐉,04,['complete'],0.0,,,,,P335412,11,2,object sold
29364,P335412.11.3,{lu₂v}ZI-MEŠ,nupšāti[person]N,,N,"['𒇽', '𒍣', '𒈨𒌍']",𒇽𒍣𒈨𒌍,{LU₂~v}ZI-MEŠ,"['complete', 'complete', 'complete']",0.0,nupšāti,napištu,person,,P335412,11,3,object sold
29365,P335412.11.4,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335412,11,4,object sold
29366,P335412.11.5,{1}⸢ha⸣-[ru-ra-a-nu],Haruranu[1]PN$,PN,PN,"['𒁹', '𒄩', '𒊒', '𒊏', '𒀀', '𒉡']",𒁹𒄩𒊒𒊏𒀀𒉡,{1}⸢ha⸣-[ru-ra-a-nu],"['complete', 'damaged', 'missing', 'missing', 'missing', 'missing']",0.75,Haruranu,Haruranu,1,,P335412,11,5,object sold
29367,P335412.11.6,o,u,,u,['o'],o,o,['complete'],0.0,,,,,P335412,11,6,object sold
29368,P335412.12.1,⸢u₃⸣,u[and]CNJ,,CNJ,['𒅇'],𒅇,⸢u₃⸣,['damaged'],0.5,u,u,and,,P335412,12,1,object sold
29369,P335412.12.2,{1}sa-li-la-a-nu,Salilanu[1]PN$,PN,PN,"['𒁹', '𒊓', '𒇷', '𒆷', '𒀀', '𒉡']",𒁹𒊓𒇷𒆷𒀀𒉡,{[1]}[sa-li-la-a-nu],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,Salilanu,Salilanu,1,,P335412,12,2,object sold
29370,P335412.12.3,u₂-piš]-ma,uppišma[contract]V,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš]-ma,"['missing', 'missing', 'complete']",0.67,uppišma,epēšu,contract,,P335412,12,3,initiation of transaction
29371,P335412.12.4,{1}[DUMU.UŠ-a.a],Aplaya[1]PN,PN,PN,"['𒁹', '𒌉', '𒍑', '𒀀', '𒀀']",𒁹𒌉𒍑𒀀𒀀,{1}[DUMU].[UŠ-a].[a],"['complete', 'missing', 'missing', 'missing', 'missing']",0.8,Aplaya,Aplaya,1,,P335412,12,4,initiation of transaction
29372,P335412.13.1,[TA@v,issu[from]PRP,,PRP,['𒋬'],𒋬,[TA@v],['missing'],1.0,issu,ištu,from,,P335412,13,1,completion of transaction
29373,P335412.13.2,ŠU.2-šu₂-nu,qātēšunu[hand]N,,N,"['𒋗', '𒈫', '𒋙', '𒉡']",𒋗𒈫𒋙𒉡,[ŠU].[2-šu₂-nu],"['missing', 'missing', 'missing', 'missing']",1.0,qātēšunu,qātu,hand,,P335412,13,2,completion of transaction
29374,P335412.13.3,ina,ina[in+=for]PRP,,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P335412,13,3,price
29375,P335412.13.4,ŠA₃,libbi[interior]N,,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,libbi,libbu,interior,,P335412,13,4,price
29376,P335412.13.5,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335412,13,5,price
29377,P335412.13.6,MA.NA,manê[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,manê,manû,a unit of weight,,P335412,13,6,price
29378,P335412.13.7,KUG.UD,ṣarpi[silver]N,,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,ṣarpi,ṣarpu,silver,,P335412,13,7,price
29379,P335412.13.8,il-qi₂],ilqi[purchase]V,,V,"['𒅋', '𒆠']",𒅋𒆠,[il-qi₂],"['missing', 'missing']",1.0,ilqi,leqû,purchase,,P335412,13,8,completion of transaction
29380,P335412.14.1,{[uru}i-si-tu₂,isītu[tower]N,,N,"['𒌷', '𒄿', '𒋛', '𒌓']",𒌷𒄿𒋛𒌓,{[URU]}[i-si-tu₂],"['missing', 'missing', 'missing', 'missing']",1.0,isītu,isītu,tower,,P335412,14,1,confirmation of transfer 2
29381,P335412.14.2,a-du,adu[with]PRP,,PRP,"['𒀀', '𒁺']",𒀀𒁺,[a-du],"['missing', 'missing']",1.0,adu,adi,with,,P335412,14,2,confirmation of transfer 2
29382,P335412.14.3,A].⸢ŠA₃.GA⸣-[MEŠ],eqlāti[field]N,,N,"['𒀀', '𒊮', '𒂵', '𒈨𒌍']",𒀀𒊮𒂵𒈨𒌍,[A].⸢ŠA₃⸣.⸢GA⸣-[MEŠ],"['missing', 'damaged', 'damaged', 'missing']",0.75,eqlāti,eqlu,field,,P335412,14,3,confirmation of transfer 2
29383,P335412.15.1,{1}ab-di—ku-bu]-⸢bi⸣,Abdi-Kububi[1]PN$,PN,PN,"['𒁹', '𒀊', '𒁲', '𒆪', '𒁍', '𒁉']",𒁹𒀊𒁲𒆪𒁍𒁉,{[1]}[ab-di-ku-bu]-⸢bi⸣,"['missing', 'missing', 'missing', 'missing', 'missing', 'damaged']",0.92,Abdi-Kububi,Abdi-Kububi,1,,P335412,15,1,confirmation of transfer 2
29384,P335412.15.2,a-du,adu[with]PRP,,PRP,"['𒀀', '𒁺']",𒀀𒁺,a-du,"['complete', 'complete']",0.0,adu,adi,with,,P335412,15,2,confirmation of transfer 2
29385,P335412.15.3,⸢UN⸣-[MEŠ-šu₂],nišēšu[people]N,,N,"['𒌦', '𒈨𒌍', '𒋙']",𒌦𒈨𒌍𒋙,⸢UN⸣-[MEŠ-šu₂],"['damaged', 'missing', 'missing']",0.83,nišēšu,nišu,people,,P335412,15,3,confirmation of transfer 2
29386,P335412.16.1,[ap-lu,aplu[paid off]AJ$,,AJ,"['𒀊', '𒇻']",𒀊𒇻,[ap-lu],"['missing', 'missing']",1.0,aplu,aplu,paid off,,P335412,16,1,confirmation of transfer 2
29387,P335412.16.2,zar-pu],zarpu[purchased]AJ,,AJ,"['𒇡', '𒁍']",𒇡𒁍,[zar-pu],"['missing', 'missing']",1.0,zarpu,zarpu,purchased,,P335412,16,2,confirmation of transfer 2
29388,P335412.16.3,⸢TI⸣-qi-u₂,leqû[taken//acquired]AJ$laqiu,,AJ,"['𒋾', '𒆥', '𒌑']",𒋾𒆥𒌑,⸢TI⸣-qi-u₂,"['damaged', 'complete', 'complete']",0.17,laqiu,leqû,acquired,,P335412,16,3,confirmation of transfer 2
29389,P335412.16.4,o,u,,u,['o'],o,o,['complete'],0.0,,,,,P335412,16,4,confirmation of transfer 2
29390,P335412.17.1,[tu-a-ru,tuāru[revocation]'N,,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,[tu-a-ru],"['missing', 'missing', 'missing']",1.0,tuāru,târu,revocation,,P335412,17,1,exclusion of litigation
29391,P335412.17.2,de-e-nu],dēnu[lawsuit]N,,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,[de-e-nu],"['missing', 'missing', 'missing']",1.0,dēnu,dīnu,lawsuit,,P335412,17,2,exclusion of litigation
29392,P335412.17.3,DUG₄.DUG₄,dabābu[litigation]'N,,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,,P335412,17,3,exclusion of litigation
29393,P335412.17.4,o,u,,u,['o'],o,o,['complete'],0.0,,,,,P335412,17,4,exclusion of litigation
29394,P335412.18.1,[la-aš₂-šu₂,laššu[(there) is not]V,,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,[la-aš₂-šu₂],"['missing', 'missing', 'missing']",1.0,laššu,laššu,(there) is not,,P335412,18,1,exclusion of litigation
29395,P335412.18.2,man-nu],mannu[whoever]'XP,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man-nu],"['missing', 'missing']",1.0,mannu,mannu,whoever,,P335412,18,2,penalties for litigation: contravention
29396,P335412.18.3,⸢ša⸣,ša[who]REL,,REL,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,ša,ša,who,,P335412,18,3,penalties for litigation: contravention
29397,P335412.18.4,ina,ina[in]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P335412,18,4,penalties for litigation: contravention
29398,P335412.18.5,ar₂-kat,+warkītu[posterity+=future time]N$arkāt,,N,"['𒌒', '𒃰']",𒌒𒃰,ar₂-kat,"['complete', 'complete']",0.0,arkāt,warkītu,rearguard,,P335412,18,5,penalties for litigation: contravention
29399,P335412.18.6,UD-me,+ūmu[day]N$ūme,,N,"['𒌓', '𒈨']",𒌓𒈨,UD-me,"['complete', 'complete']",0.0,ūme,ūmu,day,,P335412,18,6,penalties for litigation: contravention
29400,P335412.18.7,o,u,,u,['o'],o,o,['complete'],0.0,,,,,P335412,18,7,penalties for litigation: contravention
29401,P335412.19.1,[ša,ša[of]DET,,DET,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,of,,P335412,19,1,penalties for litigation: contravention
29402,P335412.19.2,e-la]-⸢an⸣-ni,elû[go up//come forward]V$ellāni,,V,"['𒂊', '𒆷', '𒀭', '𒉌']",𒂊𒆷𒀭𒉌,[e-la]-⸢an⸣-ni,"['missing', 'missing', 'damaged', 'complete']",0.62,ellāni,elû,come forward,,P335412,19,2,penalties for litigation: contravention
29403,P335412.19.3,lu-u,lū[may]MOD,,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,may,,P335412,19,3,penalties for litigation: contravention
29404,P335412.19.4,{1}ha-ru-[ra-a-nu],Haruranu[1]PN$,PN,PN,"['𒁹', '𒄩', '𒊒', '𒊏', '𒀀', '𒉡']",𒁹𒄩𒊒𒊏𒀀𒉡,{1}ha-ru-[ra-a-nu],"['complete', 'complete', 'complete', 'missing', 'missing', 'missing']",0.5,Haruranu,Haruranu,1,,P335412,19,4,penalties for litigation: contravention
29405,P335412.20.1,[lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,lū,lū,or,,P335412,20,1,penalties for litigation: contravention
29406,P335412.20.2,{1}sa]-⸢li⸣-la-a-nu,Salilanu[1]PN$,PN,PN,"['𒁹', '𒊓', '𒇷', '𒆷', '𒀀', '𒉡']",𒁹𒊓𒇷𒆷𒀀𒉡,{[1]}[sa]-⸢li⸣-la-a-nu,"['missing', 'missing', 'damaged', 'complete', 'complete', 'complete']",0.42,Salilanu,Salilanu,1,,P335412,20,2,penalties for litigation: contravention
29407,P335412.21.1,[lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,lū,lū,or,,P335412,21,1,penalties for litigation: contravention
29408,P335412.21.2,DUMU]-⸢MEŠ⸣-šu₂-nu,marʾēšunu[son]N,,N,"['𒌉', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒈨𒌍𒋙𒉡,[DUMU]-⸢MEŠ⸣-šu₂-nu,"['missing', 'damaged', 'complete', 'complete']",0.38,marʾēšunu,māru,son,,P335412,21,2,penalties for litigation: contravention
29409,P335412.21.3,lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,,P335412,21,3,penalties for litigation: contravention
29410,P335412.21.4,DUMU—DUMU-MEŠ-⸢šu₂⸣-[nu],māru[son]N$mār&māru[son]N$marʾēšunu,,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒌉𒈨𒌍𒋙𒉡,DUMU-DUMU-MEŠ-⸢šu₂⸣-[nu],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,mār,māru,son,,P335412,21,4,penalties for litigation: contravention
29412,P335412.22.1,[lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,lū,lū,or,,P335412,22,1,penalties for litigation: contravention
29413,P335412.22.2,PAB]-MEŠ-šu₂-nu,ahhēšunu[brother]N,,N,"['𒉽', '𒈨𒌍', '𒋙', '𒉡']",𒉽𒈨𒌍𒋙𒉡,[PAB]-MEŠ-šu₂-nu,"['missing', 'complete', 'complete', 'complete']",0.25,ahhēšunu,ahu,brother,,P335412,22,2,penalties for litigation: contravention
29414,P335412.22.3,lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,,P335412,22,3,penalties for litigation: contravention
29415,P335412.22.4,DUMU-MEŠ—⸢ŠEŠ⸣-[MEŠ-šu₂-nu],+māru[son]N$marʾē&+ahu[brother]N$ahhēšunu,,N,"['𒌉', '𒈨𒌍', '𒋀', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒈨𒌍𒋀𒈨𒌍𒋙𒉡,DUMU-MEŠ-⸢ŠEŠ⸣-[MEŠ-šu₂-nu],"['complete', 'complete', 'damaged', 'missing', 'missing', 'missing']",0.58,marʾē,māru,son,,P335412,22,4,penalties for litigation: contravention
29417,P335412.23.1,[lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,lū,lū,or,,P335412,23,1,penalties for litigation: contravention
29418,P335412.23.2,{lu₂v]}⸢ha⸣-za-na-šu₂-nu,hazannu[mayor]N$hazannašunu,,N,"['𒇽', '𒄩', '𒍝', '𒈾', '𒋙', '𒉡']",𒇽𒄩𒍝𒈾𒋙𒉡,{[LU₂~v]}⸢ha⸣-za-na-šu₂-nu,"['missing', 'damaged', 'complete', 'complete', 'complete', 'complete']",0.25,hazannašunu,hazannu,mayor,,P335412,23,2,penalties for litigation: contravention
29419,P335412.23.3,lu-u,lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,,P335412,23,3,penalties for litigation: contravention
29420,P335412.23.4,{⸢lu₂v⸣}[GAR-nu-šu₂-nu],šaknušunu[prefect]N,,N,"['𒇽', '𒃻', '𒉡', '𒋙', '𒉡']",𒇽𒃻𒉡𒋙𒉡,{⸢LU₂~v⸣}[GAR-nu-šu₂-nu],"['damaged', 'missing', 'missing', 'missing', 'missing']",0.9,šaknušunu,šaknu,prefect,,P335412,23,4,penalties for litigation: contravention
29421,P335412.24.1,[lu-u],lū[or]CNJ,,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,lū,lū,or,,P335412,24,1,penalties for litigation: contravention
29422,P335412.24.2,⸢IM⸣.RI.A,kimtu[family]N$,,N,"['𒅎', '𒊑', '𒀀']",𒅎𒊑𒀀,⸢IM⸣.RI.A,"['damaged', 'complete', 'complete']",0.17,kimtu,kimtu,family,,P335412,24,2,penalties for litigation: contravention
29423,P335412.24.3,KI.MIN,šanīš[ditto]AV,,AV,"['𒆠', '𒈫']",𒆠𒈫,KI.MIN,"['complete', 'complete']",0.0,šanīš,šanîš,ditto,,P335412,24,3,penalties for litigation: contravention
