Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
30256,P335341.2.1,[ku-um,kūm[instead of]PRP,PRP,"['𒆪', '𒌝']",𒆪𒌝,[ku-um],"['missing', 'missing']",1.0,kūm,kūm,instead of,,,P335341,2,1,seal identification
30257,P335341.2.2,{na₄}KIŠIB-šu₂-nu,kunukkišunu[seal]N,N,"['𒉌𒌓', '𒈩', '𒋙', '𒉡']",𒉌𒌓𒈩𒋙𒉡,{[NA₄]}[KIŠIB-šu₂-nu],"['missing', 'missing', 'missing', 'missing']",1.0,kunukkišunu,kunukku,seal,,,P335341,2,2,seal identification
30258,P335341.2.3,ṣu-pur]-⸢šu₂⸣-nu,ṣupuršunu[fingernail]N,N,"['𒍮', '𒁓', '𒋙', '𒉡']",𒍮𒁓𒋙𒉡,[ṣu-pur]-⸢šu₂⸣-nu,"['missing', 'missing', 'damaged', 'complete']",0.62,ṣupuršunu,ṣupru,fingernail,,,P335341,2,3,seal identification
30259,P335341.2.4,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,2,4,seal identification
30260,P335341.2.5,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,2,5,seal identification
30261,P335341.2.6,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,2,6,seal identification
30262,P335341.4.1,[ṣu]-⸢pur⸣,ṣupur[fingernail]N,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu]-⸢pur⸣,"['missing', 'damaged']",0.75,ṣupur,ṣupru,fingernail,,,P335341,4,1,seal identification
30263,P335341.4.2,{1}ma-⸢x⸣+[x,u,u,"['𒁹', '𒈠', 'x', 'x']",𒁹𒈠xx,{1}ma-⸢x⸣+[x],"['complete', 'complete', 'damaged', 'missing']",0.38,,,,,,P335341,4,2,seal identification
30264,P335341.4.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,4,3,seal identification
30265,P335341.4.4,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,4,4,seal identification
30266,P335341.5.1,[ṣu]-pur,ṣupur[fingernail]N,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu]-pur,"['missing', 'complete']",0.5,ṣupur,ṣupru,fingernail,,,P335341,5,1,seal identification
30267,P335341.5.2,{1}aš-šur—PAB-[x,u,u,"['𒁹', '𒀸', '𒋩', '𒉽', 'x']",𒁹𒀸𒋩𒉽x,{1}aš-šur-PAB-[x],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,,,,,,P335341,5,2,seal identification
30268,P335341.5.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,5,3,seal identification
30269,P335341.5.4,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,5,4,seal identification
30270,P335341.6.1,[ṣu]-pur,ṣupur[fingernail]N,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu]-pur,"['missing', 'complete']",0.5,ṣupur,ṣupru,fingernail,,,P335341,6,1,seal identification
30271,P335341.6.2,{1}ha-a-⸢an⸣-[x,u,u,"['𒁹', '𒄩', '𒀀', '𒀭', 'x']",𒁹𒄩𒀀𒀭x,{1}ha-a-⸢an⸣-[x],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,,,,,,P335341,6,2,seal identification
30272,P335341.6.3,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335341,6,3,seal identification
30273,P335341.7.1,[PAB],gimru[total]N,N,['𒉽'],𒉽,[PAB],['missing'],1.0,gimru,gimru,total,,,P335341,7,1,seal identification
30274,P335341.7.2,03,n,n,['𒐈'],𒐈,03,['complete'],0.0,,,,NUMBER,,P335341,7,2,seal identification
30275,P335341.7.3,LU₂-MEŠ-e,amēlē[man]N,N,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,LU₂-MEŠ-e,"['complete', 'complete', 'complete']",0.0,amēlē,awīlu,man,,,P335341,7,3,seal identification
30276,P335341.7.4,⸢EN⸣,bēl[owner]N,N,['𒂗'],𒂗,⸢EN⸣,['damaged'],0.5,bēl,bēlu,owner,,,P335341,7,4,seal identification
30277,P335341.7.5,[A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,[A].[ŠA₃],"['missing', 'missing']",1.0,eqli,eqlu,field,,,P335341,7,5,seal identification
30278,P335341.7.6,SUM-ni],tadāni[giving]'N,V,"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,tadāni,tadānu,giving,,,P335341,7,6,seal identification
30279,P335341.12.1,E₂,bētu[plot of land]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,plot of land,,,P335341,12,1,object sold
30280,P335341.12.2,09,n,n,['𒑆'],𒑆,09,['complete'],0.0,,,,NUMBER,,P335341,12,2,object sold
30281,P335341.12.3,ANŠE,imārī[a unit of capacity]N,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,imārī,imēru,a unit of capacity,,,P335341,12,3,object sold
30282,P335341.12.4,3(ban₂),n,n,['𒑑'],𒑑,3(ban₂),['complete'],0.0,,,,NUMBER,,P335341,12,4,object sold
30283,P335341.12.5,A.ŠA₃,eqlu[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,field,,,P335341,12,5,object sold
30284,P335341.12.6,tab-⸢ru,tabriu[fodder crop//(a type of real estate)]N$tabru,N,"['𒋰', '𒊒']",𒋰𒊒,tab-⸢ru⸣,"['complete', 'damaged']",0.25,tabru,tabriu,(a type of real estate),,,P335341,12,6,object sold
30285,P335341.12.7,GAL⸣-[u],rabû[big]AJ$,AJ,"['𒃲', '𒌋']",𒃲𒌋,⸢GAL⸣-[u],"['damaged', 'missing']",0.75,rabû,rabû,big,,,P335341,12,7,object sold
30286,P335341.13.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335341,13,1,object sold
30287,P335341.13.2,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335341,13,2,object sold
30288,P335341.13.3,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335341,13,3,object sold
30289,P335341.13.4,{1}{d}PA—BAD₃—⸢PAB⸣,Nabu-duru-uṣur[1]PN,PN,"['𒁹', '𒀭', '𒉺', '𒂦', '𒉽']",𒁹𒀭𒉺𒂦𒉽,{1}{d}PA-BAD₃-⸢PAB⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,Nabu-duru-uṣur,Nabu-duru-uṣur,1,PN,,P335341,13,4,object sold
30290,P335341.14.1,SUHUR,ṭēhi[adjacent to]PRP,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,,P335341,14,1,object sold
30291,P335341.14.2,A.ŠA₃,eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,,,P335341,14,2,object sold
30292,P335341.14.3,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335341,14,3,object sold
