Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
26849,P337162.2.1,[ku-um,kūm[instead of]PRP,PRP,"['𒆪', '𒌝']",𒆪𒌝,[ku-um],"['missing', 'missing']",1.0,kūm,kūm,instead of,,,P337162,2,1,seal identification
26850,P337162.2.2,{na₄}KIŠIB-šu₂,kunukkīšu[seal]N,N,"['𒉌𒌓', '𒈩', '𒋙']",𒉌𒌓𒈩𒋙,{[NA₄]}[KIŠIB-šu₂],"['missing', 'missing', 'missing']",1.0,kunukkīšu,kunukku,seal,,,P337162,2,2,seal identification
26851,P337162.2.3,ṣu-pur-šu₂,ṣupuršu[fingernail]N,N,"['𒍮', '𒁓', '𒋙']",𒍮𒁓𒋙,[ṣu-pur-šu₂],"['missing', 'missing', 'missing']",1.0,ṣupuršu,ṣupru,fingernail,,,P337162,2,3,seal identification
26852,P337162.2.4,iš-kun],iškun[place]V,V,"['𒅖', '𒆲']",𒅖𒆲,[iš-kun],"['missing', 'missing']",1.0,iškun,šakānu,place,,,P337162,2,4,seal identification
26853,P337162.6.1,[ṣu-pur],ṣupur[fingernail]N,N,"['𒍮', '𒁓']",𒍮𒁓,[ṣu-pur],"['missing', 'missing']",1.0,ṣupur,ṣupru,fingernail,,,P337162,6,1,seal identification
26854,P337162.6.2,{1}NUMUN—sa-ma-aʾ,Zeru-samaʾ[1]PN$,PN,"['𒁹', '𒆰', '𒊓', '𒈠', '𒀪']",𒁹𒆰𒊓𒈠𒀪,{1}NUMUN-sa-ma-aʾ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Zeru-samaʾ,Zeru-samaʾ,1,PN,,P337162,6,2,seal identification
26855,P337162.7.1,[EN,bēl[owner]N,N,['𒂗'],𒂗,[EN],['missing'],1.0,bēl,bēlu,owner,,,P337162,7,1,seal identification
26856,P337162.7.2,A.ŠA₃],eqli[field]N,N,"['𒀀', '𒊮']",𒀀𒊮,[A].[ŠA₃],"['missing', 'missing']",1.0,eqli,eqlu,field,,,P337162,7,2,seal identification
26857,P337162.7.3,{giš}SAR,kirie[garden]N,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,kirie,kirû,garden,,,P337162,7,3,seal identification
26858,P337162.7.4,ad-rat,adru[threshing floor]N$adrāt,N,"['𒀜', '𒋥']",𒀜𒋥,ad-rat,"['complete', 'complete']",0.0,adrāt,adru,threshing floor,,,P337162,7,4,seal identification
26859,P337162.7.5,E₂,bēti[house]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēti,bītu,house,,,P337162,7,5,seal identification
