Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
1112,P335272.2.1,ṣu-pur,ṣupur[fingernail]N,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,,P335272,2,1,seal identification
1113,P335272.2.2,{1}man-nu—ki—PAB-MEŠ,Mannu-ki-ahhe[1]PN$,PN,PN,"['𒁹', '𒌋𒌋', '𒉡', '𒆠', '𒉽', '𒈨𒌍']",𒁹𒌋𒌋𒉡𒆠𒉽𒈨𒌍,{1}man-nu-ki-PAB-MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Mannu-ki-ahhe,Mannu-ki-ahhe,1,,P335272,2,2,seal identification
1114,P335272.2.3,ṣu-pur,ṣupur[fingernail]N,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,,P335272,2,3,seal identification
1115,P335272.2.4,{1}TA@v—{d}⸢IM—PAB⸣-tu₂,Issi-Adad-ahhutu[1]PN$,PN,PN,"['𒁹', '𒋬', '𒀭', '𒅎', '𒉽', '𒌓']",𒁹𒋬𒀭𒅎𒉽𒌓,{1}TA@v-{d}⸢IM-PAB⸣-tu₂,"['complete', 'complete', 'complete', 'damaged', 'damaged', 'complete']",0.17,Issi-Adad-ahhutu,Issi-Adad-ahhutu,1,,P335272,2,4,seal identification
1116,P335272.3.1,be-li₂,bēli[owner]N,,N,"['𒁁', '𒉌']",𒁁𒉌,be-li₂,"['complete', 'complete']",0.0,bēli,bēlu,owner,,P335272,3,1,seal identification
1117,P335272.3.2,E₂,!bēti[house]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēti,bītu,house,,P335272,3,2,seal identification
1118,P335272.3.3,SUM-ni,tadāni[giving]'N,,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,tadāni,tadānu,giving,,P335272,3,3,seal identification
1119,P335272.3.4,mu-ṣu-u₂,mūṣû[exit]N$,,N,"['𒈬', '𒍮', '𒌑']",𒈬𒍮𒌑,mu-ṣu-u₂,"['complete', 'complete', 'complete']",0.0,mūṣû,mūṣû,exit,,P335272,3,4,object sold
1120,P335272.3.5,a-di,adi[with]PRP,,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,adi,adi,with,,P335272,3,5,object sold
1121,P335272.3.6,⸢TUR₃⸣,+tarbaṣu[courtyard//courtyard]N'N$tarbāṣi,,N,['𒉣𒇬'],𒉣𒇬,⸢TUR₃⸣,['damaged'],0.5,tarbāṣi,tarbaṣu,courtyard,,P335272,3,6,object sold
1122,P335272.7.1,E₂,bētu[house]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,house,,P335272,7,1,object sold
1123,P335272.7.2,ep-šu₂,epšu[built]AJ,,AJ,"['𒅁', '𒋙']",𒅁𒋙,ep-šu₂,"['complete', 'complete']",0.0,epšu,epšu,built,,P335272,7,2,object sold
1124,P335272.7.3,a-di,adi[with]PRP,,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,adi,adi,with,,P335272,7,3,object sold
1125,P335272.7.4,{giš}UR₃-MEŠ-šu₂,gušūrīšu[log]N,,N,"['𒄑', '𒃡', '𒈨𒌍', '𒋙']",𒄑𒃡𒈨𒌍𒋙,{GIŠ}UR₃-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,gušūrīšu,gušūru,log,,P335272,7,4,object sold
1126,P335272.7.5,02,n,NUMBER,n,['𒈫'],𒈫,02,['complete'],0.0,,,,,P335272,7,5,object sold
1127,P335272.7.6,{giš}⸢IG⸣-MEŠ,dalāti[door]N,,N,"['𒄑', '𒅅', '𒈨𒌍']",𒄑𒅅𒈨𒌍,{GIŠ}⸢IG⸣-MEŠ,"['complete', 'damaged', 'complete']",0.17,dalāti,daltu,door,,P335272,7,6,object sold
1128,P335272.8.1,ina,ina[in+=with]PRP,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P335272,8,1,object sold
1129,P335272.8.2,ŠA₃-bi,libbi[interior]N,,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,,P335272,8,2,object sold
1130,P335272.8.3,SUHUR,ṭēhi[adjacent to]PRP,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,P335272,8,3,object sold
1131,P335272.8.4,E₂,bēt[house]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēt,bītu,house,,P335272,8,4,object sold
1132,P335272.8.5,{1}{d}PA—BAD₃—⸢PAB⸣,Nabu-duru-uṣur[1]PN,PN,PN,"['𒁹', '𒀭', '𒉺', '𒂦', '𒉽']",𒁹𒀭𒉺𒂦𒉽,{1}{d}PA-BAD₃-⸢PAB⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,Nabu-duru-uṣur,Nabu-duru-uṣur,1,,P335272,8,5,object sold
1133,P335272.9.1,SUHUR,ṭēhi[adjacent to]PRP,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,P335272,9,1,object sold
1134,P335272.9.2,E₂,bēt[house]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēt,bītu,house,,P335272,9,2,object sold
1135,P335272.9.3,{1}{d}UTU—MU—PAB,Šamaš-šumu-uṣur[1]PN$,PN,PN,"['𒁹', '𒀭', '𒌓', '𒈬', '𒉽']",𒁹𒀭𒌓𒈬𒉽,{1}{d}UTU-MU-PAB,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Šamaš-šumu-uṣur,Šamaš-šumu-uṣur,1,,P335272,9,3,object sold
1136,P335272.9.4,SUHUR,ṭēhi[adjacent to]PRP,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,P335272,9,4,object sold
1137,P335272.9.5,E₂,bēt[house]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēt,bītu,house,,P335272,9,5,object sold
1138,P335272.9.6,{1}{⸢iti}KIN⸣-a.a,Ululaya[1]PN,PN,PN,"['𒁹', '𒌗', '𒆥', '𒀀', '𒀀']",𒁹𒌗𒆥𒀀𒀀,{1}{⸢ITI⸣}⸢KIN⸣-a.a,"['complete', 'damaged', 'damaged', 'complete', 'complete']",0.2,Ululaya,Ululayu,1,,P335272,9,6,object sold
1139,P335272.10.1,SUHUR,ṭēhi[adjacent to]PRP,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,P335272,10,1,object sold
1140,P335272.10.2,E₂,bēt[house]N,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēt,bītu,house,,P335272,10,2,object sold
1141,P335272.10.3,{1}{d}PA—PAB-ir,Nabu-naṣir[1]PN$,PN,PN,"['𒁹', '𒀭', '𒉺', '𒉽', '𒅕']",𒁹𒀭𒉺𒉽𒅕,{1}{d}PA-PAB-ir,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Nabu-naṣir,Nabu-naṣir,1,,P335272,10,3,object sold
1142,P335272.10.4,SUHUR,ṭēhi[adjacent to]PRP,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,,P335272,10,4,object sold
1143,P335272.10.5,{1}{d}UTU—⸢u₂-bal-liṭ⸣,Šamaš-uballiṭ[1]PN$,PN,PN,"['𒁹', '𒀭', '𒌓', '𒌑', '𒁄', '𒀖']",𒁹𒀭𒌓𒌑𒁄𒀖,{1}{d}UTU-⸢u₂-bal-liṭ⸣,"['complete', 'complete', 'complete', 'damaged', 'damaged', 'damaged']",0.25,Šamaš-uballiṭ,Šamaš-uballiṭ,1,,P335272,10,5,object sold
1144,P335272.11.1,u₂-piš-ma,uppišma[contract]V,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,,P335272,11,1,initiation of transaction
1145,P335272.11.2,{1}SU—DINGIR-MEŠ-ni,Eriba-ilani[1]PN,PN,PN,"['𒁹', '𒋢', '𒀭', '𒈨𒌍', '𒉌']",𒁹𒋢𒀭𒈨𒌍𒉌,{1}SU-DINGIR-MEŠ-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Eriba-ilani,Eriba-ilani,1,,P335272,11,2,initiation of transaction
1146,P335272.11.3,{lu₂v}⸢DAM⸣.QAR,tankāru[merchant]N,,N,"['𒇽', '𒁮', '𒃼']",𒇽𒁮𒃼,{LU₂~v}⸢DAM⸣.QAR,"['complete', 'damaged', 'complete']",0.17,tankāru,tamkāru,merchant,,P335272,11,3,initiation of transaction
1147,P335272.12.1,⸢TA@v⸣,issu[from+=from]PRP,,PRP,['𒋬'],𒋬,⸢TA@v⸣,['damaged'],0.5,issu,ištu,from,,P335272,12,1,completion of transaction
