Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
11064,P337076.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,P337076,2,1,,seal identification
11065,P337076.2.2,%akk-x-neoass:{1}ši-il-ka-a-nu=,{1}ši-il-ka-a-nu,"['𒁹', '𒅆', '𒅋', '𒅗', '𒀀', '𒉡']",𒁹𒅆𒅋𒅗𒀀𒉡,{1}ši-il-ka-a-nu,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337076,2,2,,seal identification
11066,P337076.3.1,%akk-x-neoass:{1}ši-il-ka-a-nu=,{1}ši-il-ka-a-nu,"['𒁹', '𒅆', '𒅋', '𒅗', '𒀀', '𒉡']",𒁹𒅆𒅋𒅗𒀀𒉡,{1}ši-il-ka-a-nu,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337076,3,1,,seal identification
11067,P337076.4.1,%akk-x-neoass:ARAD=,ARAD,['𒀴'],𒀴,ARAD,['complete'],0.0,,P337076,4,1,,seal identification
11068,P337076.4.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P337076,4,2,,seal identification
11069,P337076.4.3,%akk-x-neoass:E₂-AD-šu₂=,E₂-AD-šu₂,"['𒂍', '𒀜', '𒋙']",𒂍𒀜𒋙,E₂-AD-šu₂,"['complete', 'complete', 'complete']",0.0,,P337076,4,3,,seal identification
11070,P337076.5.1,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P337076,5,1,,seal identification
11071,P337076.5.2,%akk-x-neoass:{1}šum₂-ma-{d}PA=,{1}⸢šum₂-ma⸣-{d}PA,"['𒁹', '𒋧', '𒈠', '𒀭', '𒉺']",𒁹𒋧𒈠𒀭𒉺,{1}⸢šum₂-ma⸣-{d}PA,"['complete', 'damaged', 'damaged', 'complete', 'complete']",0.2,,P337076,5,2,,seal identification
11072,P337076.9.1,%akk-x-neoass:01=,01,['01'],01,01,['complete'],0.0,,P337076,9,1,,penalties for litigation: penalty
11073,P337076.9.2,%akk-x-neoass:MA.NA=,MA.⸢NA⸣,"['𒈠', '𒈾']",𒈠𒈾,MA.⸢NA⸣,"['complete', 'damaged']",0.25,,P337076,9,2,,penalties for litigation: penalty
11074,P337076.9.3,%akk-x-neoass:KU₃.BABBAR=,[KU₃.BABBAR,"['𒆬', '𒌓']",𒆬𒌓,[KU₃].[BABBAR],"['missing', 'missing']",1.0,,P337076,9,3,,penalties for litigation: penalty
11075,P337076.9.4,%akk-x-neoass:SUM-an=,SUM-an],"['𒋧', '𒀭']",𒋧𒀭,[SUM-an],"['missing', 'missing']",1.0,,P337076,9,4,,penalties for litigation: penalty
11076,P337076.11.1,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P337076,11,1,,witness
11077,P337076.11.2,%akk-x-neoass:{1}in-gal-u₂=,{1}in-gal-u₂,"['𒁹', '𒅔', '𒃲', '𒌑']",𒁹𒅔𒃲𒌑,{1}in-gal-u₂,"['complete', 'complete', 'complete', 'complete']",0.0,,P337076,11,2,,witness
11078,P337076.11.3,%akk-x-neoass:{LU₂}GAL-u₂-rat=,{lu₂}GAL-u₂-⸢rat⸣,"['𒇽', '𒃲', '𒌑', '𒋥']",𒇽𒃲𒌑𒋥,{LU₂}GAL-u₂-⸢rat⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,P337076,11,3,,witness
11079,P337076.12.1,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P337076,12,1,,witness
11080,P337076.12.2,%akk-x-neoass:{1}hu-hu-ru=,{1}hu-hu-ru,"['𒁹', '𒄷', '𒄷', '𒊒']",𒁹𒄷𒄷𒊒,{1}hu-hu-ru,"['complete', 'complete', 'complete', 'complete']",0.0,,P337076,12,2,,witness
11081,P337076.13.1,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P337076,13,1,,witness
11082,P337076.13.2,%akk-x-neoass:{1}bu-ṭu-ha-a=,{1}bu-ṭu-ha-a,"['𒁹', '𒁍', '𒂅', '𒄩', '𒀀']",𒁹𒁍𒂅𒄩𒀀,{1}bu-ṭu-ha-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337076,13,2,,witness
11083,P337076.14.1,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P337076,14,1,,witness
11084,P337076.14.2,%akk-x-neoass:{1}kur-ru-a-ba-ia=,{1}kur-ru-a-ba-ia,"['𒁹', '𒆳', '𒊒', '𒀀', '𒁀', '𒅀']",𒁹𒆳𒊒𒀀𒁀𒅀,{1}kur-ru-a-ba-ia,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337076,14,2,,witness
11085,P337076.15.1,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P337076,15,1,,witness
