Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
16719,P337015.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄]}⸢KIŠIB⸣,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}⸢KIŠIB⸣,"['missing', 'damaged']",0.75,,P337015,2,1,,seal identification
16720,P337015.2.2,%akk-x-neoass:{1}ARAD-aš-šur=,{1}ARAD-aš-šur,"['𒁹', '𒀴', '𒀸', '𒋩']",𒁹𒀴𒀸𒋩,{1}ARAD-aš-šur,"['complete', 'complete', 'complete', 'complete']",0.0,,P337015,2,2,,seal identification
16721,P337015.3.1,%akk-x-neoass:{NA₄}KIŠIB=,{⸢na₄⸣}[KIŠIB],"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}[KIŠIB],"['damaged', 'missing']",0.75,,P337015,3,1,,seal identification
16722,P337015.3.2,%akk-x-neoass:{1}pu-ṭi-hu-ta-pi-ša₂=,{1}pu-ṭi-hu-ta-pi-ša₂,"['𒁹', '𒁍', '𒁲', '𒄷', '𒋫', '𒉿', '𒃻']",𒁹𒁍𒁲𒄷𒋫𒉿𒃻,{1}pu-ṭi-hu-ta-pi-ša₂,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337015,3,2,,seal identification
16723,P337015.4.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,,P337015,4,1,,seal identification
16724,P337015.4.2,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,,P337015,4,2,,seal identification
16725,P337015.4.3,%akk-x-neoass:ta-da-ni=,ta-da-ni,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,,P337015,4,3,,seal identification
16726,P337015.8.1,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,,P337015,8,1,,object sold
16727,P337015.8.2,%akk-x-neoass:GIBIL=,GIBIL,['𒉋'],𒉋,GIBIL,['complete'],0.0,,P337015,8,2,,object sold
16728,P337015.8.3,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,,P337015,8,3,,object sold
16729,P337015.8.4,%akk-x-neoass:{1}ARAD-aš-šur=,{1}ARAD-aš-šur,"['𒁹', '𒀴', '𒀸', '𒋩']",𒁹𒀴𒀸𒋩,{1}ARAD-aš-šur,"['complete', 'complete', 'complete', 'complete']",0.0,,P337015,8,4,,object sold
16730,P337015.9.1,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,P337015,9,1,,object sold
