Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
6903,P336869.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P336869,2,1,,seal identification
6904,P336869.2.2,%akk-x-neoass:{1}bu-si-i=,{1}bu-⸢si⸣-[i],"['𒁹', '𒁍', '𒋛', '𒄿']",𒁹𒁍𒋛𒄿,{[1]}bu-⸢si⸣-[i],"['missing', 'complete', 'damaged', 'missing']",0.62,,P336869,2,2,,seal identification
6905,P336869.3.1,%akk-x-neoass:EN=,[EN,['𒂗'],𒂗,[EN],['missing'],1.0,,P336869,3,1,,seal identification
6906,P336869.3.2,%akk-x-neoass:A.ŠA₃=,A].⸢ŠA₃,"['𒀀', '𒊮']",𒀀𒊮,[A].⸢ŠA₃⸣,"['missing', 'damaged']",0.75,,P336869,3,2,,seal identification
6907,P336869.3.3,%akk-x-neoass:SUM-an=,SUM⸣-[an],"['𒋧', '𒀭']",𒋧𒀭,⸢SUM⸣-[an],"['damaged', 'missing']",0.75,,P336869,3,3,,seal identification
6908,P336869.7.1,%akk-x-neoass:A.ŠA₃=,⸢A.ŠA₃⸣,"['𒀀', '𒊮']",𒀀𒊮,⸢A⸣.⸢ŠA₃⸣,"['damaged', 'damaged']",0.5,,P336869,7,1,,object sold
6909,P336869.7.2,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,P336869,7,2,,object sold
6910,P336869.7.3,%akk-x-neoass:ša₂-GIR₂=,ša₂-GIR₂,"['𒃻', '𒄈']",𒃻𒄈,ša₂-GIR₂,"['complete', 'complete']",0.0,,P336869,7,3,,object sold
6911,P336869.7.4,%akk-x-neoass:{1}ha-an-da-bu=,{1}ha-an-⸢da⸣-[bu],"['𒁹', '𒄩', '𒀭', '𒁕', '𒁍']",𒁹𒄩𒀭𒁕𒁍,{1}ha-an-⸢da⸣-[bu],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,,P336869,7,4,,object sold
6912,P336869.8.1,%akk-x-neoass:SUHUR=,[SUHUR,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,P336869,8,1,,object sold
6913,P336869.8.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336869,8,2,,object sold
6914,P336869.8.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336869,8,3,,object sold
6915,P336869.8.4,%akk-x-neoass:x-MEŠ=,x]-MEŠ,"['X', '𒈨𒌍']",X𒈨𒌍,[x]-MEŠ,"['missing', 'complete']",0.5,,P336869,8,4,,object sold
6916,P336869.9.1,%akk-x-neoass:ša=,[ša,['𒊭'],𒊭,[ša],['missing'],1.0,,P336869,9,1,,object sold
