Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
11880,P336951.3.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P336951,3,1,,penalties for litigation: contravention
11881,P336951.3.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336951,3,2,,penalties for litigation: contravention
11882,P336951.3.3,%akk-x-neoass:x-šu₂=,x]-šu₂,"['X', '𒋙']",X𒋙,[x]-šu₂,"['missing', 'complete']",0.5,,P336951,3,3,,penalties for litigation: contravention
11883,P336951.3.4,%akk-x-neoass:lu-u=,lu-u,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,P336951,3,4,,penalties for litigation: contravention
11884,P336951.3.5,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P336951,3,5,,penalties for litigation: contravention
11885,P336951.3.6,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336951,3,6,,penalties for litigation: contravention
11886,P336951.3.7,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P336951,3,7,,penalties for litigation: contravention
11887,P336951.4.1,%akk-x-neoass:ša=,[ša,['𒊭'],𒊭,[ša],['missing'],1.0,,P336951,4,1,,penalties for litigation: contravention
11888,P336951.4.2,%akk-x-neoass:de-nu=,de-nu,"['𒁲', '𒉡']",𒁲𒉡,[de-nu],"['missing', 'missing']",1.0,,P336951,4,2,,penalties for litigation: contravention
11889,P336951.4.3,%akk-x-neoass:DUG₄.DUG₄=,DUG₄].⸢DUG₄⸣,"['𒅗', '𒅗']",𒅗𒅗,[DUG₄].⸢DUG₄⸣,"['missing', 'damaged']",0.75,,P336951,4,3,,penalties for litigation: contravention
11890,P336951.4.4,%akk-x-neoass:TA=,TA,['𒋫'],𒋫,TA,['complete'],0.0,,P336951,4,4,,penalties for litigation: contravention
11891,P336951.4.5,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P336951,4,5,,penalties for litigation: contravention
11892,P336951.4.6,%akk-x-neoass:{1}x=,{1}[x,"['𒁹', 'X']",𒁹X,{1}[x],"['complete', 'missing']",0.5,,P336951,4,6,,penalties for litigation: contravention
11893,P336951.4.7,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336951,4,7,,penalties for litigation: contravention
11894,P336951.4.8,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336951,4,8,,penalties for litigation: contravention
11895,P336951.4.9,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P336951,4,9,,penalties for litigation: contravention
11896,P336951.6.1,%akk-x-neoass:TA=,[TA,['𒋫'],𒋫,[TA],['missing'],1.0,,P336951,6,1,,penalties for litigation: contravention
