Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
7377,P337066.3.1,%akk-x-neoass:08=,08,['0₈'],0₈,08,['complete'],0.0,,P337066,3,1,,price
7378,P337066.3.2,%akk-x-neoass:MA.NA=,MA.NA,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,P337066,3,2,,price
7379,P337066.3.3,%akk-x-neoass:KU₃.BABBAR=,⸢KU₃.BABBAR,"['𒆬', '𒌓']",𒆬𒌓,⸢KU₃⸣.⸢BABBAR⸣,"['damaged', 'damaged']",0.5,,P337066,3,3,,price
7380,P337066.3.4,%akk-x-neoass:up-piš-ma=,up-piš-ma⸣,"['𒌒', '𒄫', '𒈠']",𒌒𒄫𒈠,⸢up-piš-ma⸣,"['damaged', 'damaged', 'damaged']",0.5,,P337066,3,4,,initiation of transaction
7381,P337066.4.1,%akk-x-neoass:{1}a-mir-de-ni-DINGIR=,{1}a-mir-de-ni-DINGIR,"['𒁹', '𒀀', '𒂇', '𒁲', '𒉌', '𒀭']",𒁹𒀀𒂇𒁲𒉌𒀭,{1}a-mir-de-ni-DINGIR,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337066,4,1,,completion of transaction
7382,P337066.4.2,%akk-x-neoass:ki-i=,ki-i,"['𒆠', '𒄿']",𒆠𒄿,ki-i,"['complete', 'complete']",0.0,,P337066,4,2,,completion of transaction
7383,P337066.4.3,%akk-x-neoass:re-mut=,⸢re-mut⸣,"['𒊑', '𒄷𒄭']",𒊑𒄷𒄭,⸢re-mut⸣,"['damaged', 'damaged']",0.5,,P337066,4,3,,completion of transaction
7384,P337066.5.1,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,P337066,5,1,,completion of transaction
7385,P337066.5.2,%akk-x-neoass:{1}{d}AMAR.UTU-ib-ni=,{1}{d}AMAR.UTU-ib-ni,"['𒁹', '𒀭', '𒀫', '𒌓', '𒅁', '𒉌']",𒁹𒀭𒀫𒌓𒅁𒉌,{1}{d}AMAR.UTU-ib-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337066,5,2,,completion of transaction
7386,P337066.5.3,%akk-x-neoass:DUMU-i-šu₂=,DUMU-i-šu₂,"['𒌉', '𒄿', '𒋙']",𒌉𒄿𒋙,DUMU-i-šu₂,"['complete', 'complete', 'complete']",0.0,,P337066,5,3,,completion of transaction
7387,P337066.6.1,%akk-x-neoass:ʾi-šim=,ʾi-šim,"['𒀪', '𒋆']",𒀪𒋆,ʾi-šim,"['complete', 'complete']",0.0,,P337066,6,1,,completion of transaction
7388,P337066.6.2,%akk-x-neoass:SUHUR=,SUHUR,['𒋦'],𒋦,SUHUR,['complete'],0.0,,P337066,6,2,,object sold
7389,P337066.6.3,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,,P337066,6,3,,object sold
7390,P337066.6.4,%akk-x-neoass:{1}{d}PA-KUR-a-ni=,{1}{d}PA-KUR-a-ni,"['𒁹', '𒀭', '𒉺', '𒆳', '𒀀', '𒉌']",𒁹𒀭𒉺𒆳𒀀𒉌,{1}{d}PA-KUR-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337066,6,4,,object sold
7391,P337066.6.5,%akk-x-neoass:{LU₂}UŠ.KU=,{lu₂}UŠ.KU,"['𒇽', '𒍑', '𒆪']",𒇽𒍑𒆪,{LU₂}UŠ.KU,"['complete', 'complete', 'complete']",0.0,,P337066,6,5,,object sold
7392,P337066.7.1,%akk-x-neoass:SUHUR=,SUHUR,['𒋦'],𒋦,SUHUR,['complete'],0.0,,P337066,7,1,,object sold
7393,P337066.7.2,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,,P337066,7,2,,object sold
7394,P337066.7.3,%akk-x-neoass:{1}{d}PA-ŠEŠ-a-ni=,{1}{d}PA-ŠEŠ-a-ni,"['𒁹', '𒀭', '𒉺', '𒋀', '𒀀', '𒉌']",𒁹𒀭𒉺𒋀𒀀𒉌,{1}{d}PA-ŠEŠ-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P337066,7,3,,object sold
7395,P337066.7.4,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P337066,7,4,,object sold
7396,P337066.7.5,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,,P337066,7,5,,object sold
7397,P337066.7.6,%akk-x-neoass:MI₂-KUR=,MI₂-KUR,"['𒊩', '𒆳']",𒊩𒆳,MI₂-KUR,"['complete', 'complete']",0.0,,P337066,7,6,,object sold
7398,P337066.8.1,%akk-x-neoass:SUHUR=,[SUHUR],['𒋦'],𒋦,[SUHUR],['missing'],1.0,,P337066,8,1,,object sold
7399,P337066.8.2,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,,P337066,8,2,,object sold
7400,P337066.8.3,%akk-x-neoass:{1}ku-lu-ʾi=,{1}ku-lu-ʾi,"['𒁹', '𒆪', '𒇻', '𒀪']",𒁹𒆪𒇻𒀪,{1}ku-lu-ʾi,"['complete', 'complete', 'complete', 'complete']",0.0,,P337066,8,3,,object sold
