Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
31799,P335488.2.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,2,1,penalties for litigation: contravention
31800,P335488.2.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,2,2,penalties for litigation: contravention
31801,P335488.2.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,2,3,penalties for litigation: contravention
31802,P335488.2.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,2,4,penalties for litigation: contravention
31803,P335488.2.5,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,2,5,penalties for litigation: contravention
31804,P335488.2.6,lu,lū[may]MOD,MOD,['𒇻'],𒇻,lu,['complete'],0.0,lū,lū,may,,,P335488,2,6,penalties for litigation: contravention
31805,P335488.2.7,DUMU.UŠ-šu₂,māru[son]N$māršu,N,"['𒌉', '𒍑', '𒋙']",𒌉𒍑𒋙,DUMU.UŠ-šu₂,"['complete', 'complete', 'complete']",0.0,māršu,māru,son,,,P335488,2,7,penalties for litigation: contravention
31806,P335488.3.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,3,1,penalties for litigation: contravention
31807,P335488.3.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,3,2,penalties for litigation: contravention
31808,P335488.3.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,3,3,penalties for litigation: contravention
31809,P335488.3.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,3,4,penalties for litigation: contravention
31810,P335488.3.5,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,3,5,penalties for litigation: contravention
31811,P335488.3.6,TA@v,issi[with]PRP,PRP,['𒋬'],𒋬,TA@v,['complete'],0.0,issi,išti,with,,,P335488,3,6,penalties for litigation: contravention
31812,P335488.3.7,A-MEŠ-šu₂,māru[son]N$marʾē,N,"['𒀀', '𒈨𒌍', '𒋙']",𒀀𒈨𒌍𒋙,A-MEŠ-šu₂,"['complete', 'complete', 'complete']",0.0,marʾē,māru,son,,,P335488,3,7,penalties for litigation: contravention
31813,P335488.4.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,4,1,penalties for litigation: contravention
31814,P335488.4.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,4,2,penalties for litigation: contravention
31815,P335488.4.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,4,3,penalties for litigation: contravention
31816,P335488.4.4,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,4,4,penalties for litigation: contravention
31817,P335488.4.5,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,4,5,penalties for litigation: contravention
31818,P335488.4.6,ša,ša[that]REL,REL,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,that,,,P335488,4,6,penalties for litigation: contravention
31819,P335488.4.7,e-la-an-ni],ellāni[come forward]V,V,"['𒂊', '𒆷', '𒀭', '𒉌']",𒂊𒆷𒀭𒉌,[e-la-an-ni],"['missing', 'missing', 'missing', 'missing']",1.0,ellāni,elû,come forward,,,P335488,4,7,penalties for litigation: contravention
31820,P335488.4.8,de-nu,dēnu[lawsuit]N,N,"['𒁲', '𒉡']",𒁲𒉡,de-nu,"['complete', 'complete']",0.0,dēnu,dīnu,lawsuit,,,P335488,4,8,penalties for litigation: contravention
31821,P335488.5.1,[DUG₄.DUG₄,dabābu[litigation]'N,V,"['𒅗', '𒅗']",𒅗𒅗,[DUG₄].[DUG₄],"['missing', 'missing']",1.0,dabābu,dabābu,litigation,,,P335488,5,1,penalties for litigation: contravention
31822,P335488.5.2,ub-ta-u-ni,ubtaʾʾūni[seek]V,V,"['𒌒', '𒋫', '𒌋', '𒉌']",𒌒𒋫𒌋𒉌,[ub-ta-u-ni],"['missing', 'missing', 'missing', 'missing']",1.0,ubtaʾʾūni,buʾʾû,seek,,,P335488,5,2,penalties for litigation: contravention
31823,P335488.5.3,i-gar]-ru-u-ni,gerû[be(come) hostile to//initiate]V$igarrûni,V,"['𒄿', '𒃻', '𒊒', '𒌋', '𒉌']",𒄿𒃻𒊒𒌋𒉌,[i-gar]-ru-u-ni,"['missing', 'missing', 'complete', 'complete', 'complete']",0.4,igarrûni,gerû,initiate,,,P335488,5,3,penalties for litigation: contravention
31824,P335488.9.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335488,9,1,penalties for litigation: penalty
31825,P335488.9.2,MA.NA],manê[a unit of weight]N,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,manê,manû,a unit of weight,,,P335488,9,2,penalties for litigation: penalty
