Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
3099,P336933.5.1,%akk-x-neoass:{MI₂}ur-ki-ša₂-al-lak=,{mi₂}ur-ki-ša₂-al-lak,"['𒊩', '𒌨', '𒆠', '𒃻', '𒀠', '𒋃']",𒊩𒌨𒆠𒃻𒀠𒋃,{MI₂}ur-ki-ša₂-al-lak,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336933,5,1,,object sold
3100,P336933.5.2,%akk-x-neoass:GEME₂-šu₂-nu=,GEME₂-šu₂-nu,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,GEME₂-šu₂-nu,"['complete', 'complete', 'complete']",0.0,,P336933,5,2,,object sold
3101,P336933.6.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,P336933,6,1,,initiation of transaction
3102,P336933.6.2,%akk-x-neoass:{1}{d}NU-MAN-iq-bi=,{1}{d}NU-MAN-iq-bi,"['𒁹', '𒀭', '𒉡', '𒌋𒌋', '𒅅', '𒁉']",𒁹𒀭𒉡𒌋𒌋𒅅𒁉,{1}{d}NU-MAN-iq-bi,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336933,6,2,,initiation of transaction
3103,P336933.7.1,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,,P336933,7,1,,price
3104,P336933.7.2,%akk-x-neoass:ŠA₃=,ŠA₃,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,P336933,7,2,,price
3105,P336933.7.3,%akk-x-neoass:30=,30,['𒌍'],𒌍,30,['complete'],0.0,,P336933,7,3,,price
3106,P336933.7.4,%akk-x-neoass:GIN₂-MEŠ=,GIN₂-MEŠ,"['𒂆', '𒈨𒌍']",𒂆𒈨𒌍,GIN₂-MEŠ,"['complete', 'complete']",0.0,,P336933,7,4,,price
3107,P336933.7.5,%akk-x-neoass:KU₃.BABBAR=,KU₃.BABBAR,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,P336933,7,5,,price
3108,P336933.8.1,%akk-x-neoass:TA=,[TA],['𒋫'],𒋫,[TA],['missing'],1.0,,P336933,8,1,,completion of transaction
3109,P336933.8.2,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P336933,8,2,,completion of transaction
3110,P336933.8.3,%akk-x-neoass:LU₂-MEŠ-e=,⸢LU₂-MEŠ⸣-e,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,⸢LU₂-MEŠ⸣-e,"['damaged', 'damaged', 'complete']",0.33,,P336933,8,3,,completion of transaction
3111,P336933.8.4,%akk-x-neoass:an-nu-te=,an-nu-⸢te⸣,"['𒀭', '𒉡', '𒋼']",𒀭𒉡𒋼,an-nu-⸢te⸣,"['complete', 'complete', 'damaged']",0.17,,P336933,8,4,,completion of transaction
3112,P336933.12.1,%akk-x-neoass:lu=,[lu,['𒇻'],𒇻,[lu],['missing'],1.0,,P336933,12,1,,penalties for litigation: contravention
3113,P336933.12.2,%akk-x-neoass:{1}{d}NU-MAN-iq-bi=,{1}{d]}NU-MAN-⸢iq⸣-[bi,"['𒁹', '𒀭', '𒉡', '𒌋𒌋', '𒅅', '𒁉']",𒁹𒀭𒉡𒌋𒌋𒅅𒁉,{[1]}{[d]}NU-MAN-⸢iq⸣-[bi],"['missing', 'missing', 'complete', 'complete', 'damaged', 'missing']",0.58,,P336933,12,2,,penalties for litigation: contravention
3114,P336933.12.3,%akk-x-neoass:lu=,lu,['𒇻'],𒇻,[lu],['missing'],1.0,,P336933,12,3,,penalties for litigation: contravention
3115,P336933.12.4,%akk-x-neoass:DUMU-MEŠ-šu₂=,DUMU-MEŠ-šu₂],"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,[DUMU-MEŠ-šu₂],"['missing', 'missing', 'missing']",1.0,,P336933,12,4,,penalties for litigation: contravention
3116,P336933.13.1,%akk-x-neoass:lu=,⸢lu⸣,['𒇻'],𒇻,⸢lu⸣,['damaged'],0.5,,P336933,13,1,,penalties for litigation: contravention
3117,P336933.13.2,%akk-x-neoass:DUMU-DUMU-MEŠ-šu₂=,DUMU-DUMU-MEŠ-⸢šu₂⸣,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,DUMU-DUMU-MEŠ-⸢šu₂⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,P336933,13,2,,penalties for litigation: contravention
3118,P336933.13.3,%akk-x-neoass:de-e-nu=,[de-e-nu,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,[de-e-nu],"['missing', 'missing', 'missing']",1.0,,P336933,13,3,,penalties for litigation: contravention
3119,P336933.13.4,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.DUG₄],"['𒅗', '𒅗']",𒅗𒅗,[DUG₄].[DUG₄],"['missing', 'missing']",1.0,,P336933,13,4,,penalties for litigation: contravention
3120,P336933.13.5,%akk-x-neoass:ub-ta-u-ni=,⸢ub-ta⸣-[u-ni],"['𒌒', '𒋫', '𒌋', '𒉌']",𒌒𒋫𒌋𒉌,⸢ub-ta⸣-[u-ni],"['damaged', 'damaged', 'missing', 'missing']",0.75,,P336933,13,5,,penalties for litigation: contravention
3121,P336933.14.1,%akk-x-neoass:kas-pu=,kas-pu,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,P336933,14,1,,penalties for litigation: penalty
3122,P336933.14.2,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,,P336933,14,2,,penalties for litigation: penalty
3123,P336933.14.3,%akk-x-neoass:10-a-te=,10-a-te,"['𒌋', '𒀀', '𒋼']",𒌋𒀀𒋼,10-a-te,"['complete', 'complete', 'complete']",0.0,,P336933,14,3,,penalties for litigation: penalty
3124,P336933.14.4,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,P336933,14,4,,penalties for litigation: penalty
