Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
16963,P335248.3.1,[man-nu,mannu[who?//whoever]QP'XP,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man-nu],"['missing', 'missing']",1.0,mannu,mannu,whoever,,P335248,3,1,penalties for litigation: contravention
16964,P335248.3.2,ša],ša[who]REL,,REL,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,who,,P335248,3,2,penalties for litigation: contravention
16965,P335248.3.3,⸢ur⸣-[kiš,urkiš[later]AV,,AV,"['𒌨', '𒆧']",𒌨𒆧,⸢ur⸣-[kiš],"['damaged', 'missing']",0.75,urkiš,urkiš,later,,P335248,3,3,penalties for litigation: contravention
16966,P335248.3.4,ina,ina[in+=whenever]PRP$,,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P335248,3,4,penalties for litigation: contravention
16967,P335248.3.5,ma-ti-ma,matīma[ever]AV,,AV,"['𒈠', '𒋾', '𒈠']",𒈠𒋾𒈠,[ma-ti-ma],"['missing', 'missing', 'missing']",1.0,matīma,matīma,ever,,P335248,3,5,penalties for litigation: contravention
16968,P335248.3.6,i-GIL-u-ni],+parāku[lie across//contravene]V'V$iparrikūni,,V,"['𒄿', '𒄃', '𒌋', '𒉌']",𒄿𒄃𒌋𒉌,[i-GIL-u-ni],"['missing', 'missing', 'missing', 'missing']",1.0,iparrikūni,parāku,contravene,,P335248,3,6,penalties for litigation: contravention
16969,P335248.4.1,⸢TA@v⸣,išti[with]PRP$issi,,PRP,['𒋬'],𒋬,⸢TA@v⸣,['damaged'],0.5,issi,išti,with,,P335248,4,1,penalties for litigation: contravention
16970,P335248.4.2,{1}MU—GIŠ,Šumu-lešir[1]PN,PN,PN,"['𒁹', '𒈬', '𒄑']",𒁹𒈬𒄑,{1}MU-GIŠ,"['complete', 'complete', 'complete']",0.0,Šumu-lešir,Šumu-lešir,1,,P335248,4,2,penalties for litigation: contravention
16971,P335248.4.3,[de-nu,dēnu[lawsuit]N,,N,"['𒁲', '𒉡']",𒁲𒉡,[de-nu],"['missing', 'missing']",1.0,dēnu,dīnu,lawsuit,,P335248,4,3,penalties for litigation: contravention
16972,P335248.4.4,DUG₄.DUG₄,dabābu[litigation]'N,,V,"['𒅗', '𒅗']",𒅗𒅗,[DUG₄].[DUG₄],"['missing', 'missing']",1.0,dabābu,dabābu,litigation,,P335248,4,4,penalties for litigation: contravention
16973,P335248.4.5,ub-ta-u-ni],ubtaʾʾūni[seek]V,,V,"['𒌒', '𒋫', '𒌋', '𒉌']",𒌒𒋫𒌋𒉌,[ub-ta-u-ni],"['missing', 'missing', 'missing', 'missing']",1.0,ubtaʾʾūni,buʾʾû,seek,,P335248,4,5,penalties for litigation: contravention
16974,P335248.5.1,01,n,NUMBER,n,['𒁹'],𒁹,01,['complete'],0.0,,,,,P335248,5,1,penalties for litigation: penalty
16975,P335248.5.2,MA.NA,manû[a unit of weight]N,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manû,manû,a unit of weight,,P335248,5,2,penalties for litigation: penalty
