Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
4635,P225213.11.3,sūsānu[horse groom]N,{lu₂}{giš}GIGIR,N,"['𒇽', '𒄑', '𒇀']",𒇽𒄑𒇀,{LU₂}{GIŠ}GIGIR,"['complete', 'complete', 'complete']",0.0,sūsānu,šušānu,horse groom,,P225213,11,3,witness
4636,P225213.11.4,u,[(x)],u,['X'],X,[x],['missing'],1.0,,,,,P225213,11,4,witness
4637,P225213.12.1,šību[witness]N,[IGI,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P225213,12,1,witness
4638,P225213.12.2,u,{1}(x),u,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,,,,P225213,12,2,witness
4639,P225213.12.3,u,x]-ri-sa,u,"['X', '𒊑', '𒊓']",X𒊑𒊓,[x]-ri-sa,"['missing', 'complete', 'complete']",0.33,,,,,P225213,12,3,witness
4640,P225213.12.4,sūsānu[horse groom]N,{lu₂}{giš}GIGIR,N,"['𒇽', '𒄑', '𒇀']",𒇽𒄑𒇀,{LU₂}{GIŠ}GIGIR,"['complete', 'complete', 'complete']",0.0,sūsānu,šušānu,horse groom,,P225213,12,4,witness
4641,P225213.12.5,u,[(x)],u,['X'],X,[x],['missing'],1.0,,,,,P225213,12,5,witness
4642,P225213.13.1,šību[witness]N,[IGI,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P225213,13,1,witness
4643,P225213.13.2,u,{1}(x)],u,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,,,,P225213,13,2,witness
4644,P225213.13.3,u,x,u,['X'],X,x,['complete'],0.0,,,,,P225213,13,3,witness
4645,P225213.13.4,u,x,u,['X'],X,x,['complete'],0.0,,,,,P225213,13,4,witness
4646,P225213.13.5,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225213,13,5,witness
4647,P225213.13.6,+Isda...[]PN$,{1}is-da-a-[x,PN,"['𒁹', '𒄑', '𒁕', '𒀀', 'X']",𒁹𒄑𒁕𒀀X,{1}is-da-a-[x],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,Isda...,Isda...,1,PN,P225213,13,6,witness
4648,P225213.13.7,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P225213,13,7,witness
4649,P225213.14.1,šību[witness]N,[IGI],N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P225213,14,1,witness
4650,P225213.14.2,+Bel-aplu-uṣur[]PN$,{1}EN-A-PAB,PN,"['𒁹', '𒂗', '𒀀', '𒉽']",𒁹𒂗𒀀𒉽,{1}EN-A-PAB,"['complete', 'complete', 'complete', 'complete']",0.0,Bel-aplu-uṣur,Bel-aplu-uṣur,1,PN,P225213,14,2,witness
4651,P225213.14.3,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225213,14,3,witness
4652,P225213.14.4,+Bali...[]PN$,{1}ba-li-x+[x,PN,"['𒁹', '𒁀', '𒇷', 'X', 'X']",𒁹𒁀𒇷XX,{1}ba-li-x+[x],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,Bali...,Bali...,1,PN,P225213,14,4,witness
4653,P225213.14.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P225213,14,5,witness
4654,P225213.15.1,šību[witness]N,[IGI],N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P225213,15,1,witness
4655,P225213.15.2,+Abdi-Attar[]PN$Abdi-Attara,{1}⸢ab-di⸣-a-ta-ra,PN,"['𒁹', '𒀊', '𒁲', '𒀀', '𒋫', '𒊏']",𒁹𒀊𒁲𒀀𒋫𒊏,{1}⸢ab-di⸣-a-ta-ra,"['complete', 'damaged', 'damaged', 'complete', 'complete', 'complete']",0.17,Abdi-Attara,Abdi-Attar,1,PN,P225213,15,2,witness
4656,P225213.15.3,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225213,15,3,witness
4657,P225213.15.4,u,{1}x,u,"['𒁹', 'X']",𒁹X,{1}x,"['complete', 'complete']",0.0,,,,,P225213,15,4,witness
4658,P225213.15.5,u,x+[x],u,"['X', 'X']",XX,x+[x],"['complete', 'missing']",0.5,,,,,P225213,15,5,witness
4659,P225213.16.1,šību[witness]N,[IGI],N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P225213,16,1,witness
4660,P225213.16.2,+Ribaya[]PN$,{1}rib-a.a,PN,"['𒁹', '𒆗', '𒀀', '𒀀']",𒁹𒆗𒀀𒀀,{1}rib-a.a,"['complete', 'complete', 'complete', 'complete']",0.0,Ribaya,Ribaya,1,PN,P225213,16,2,witness
4661,P225213.16.3,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225213,16,3,witness
4662,P225213.16.4,u,{1}BE-x+[x-x]+x,u,"['𒁹', '𒁁', 'X', 'X', 'X', 'X']",𒁹𒁁XXXX,{1}BE-x+[x-x]+x,"['complete', 'complete', 'complete', 'missing', 'missing', 'complete']",0.33,,,,,P225213,16,4,witness
4663,P225213.17.1,šību[witness]N,⸢IGI,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,,P225213,17,1,witness
4664,P225213.17.2,u,{1}[x,u,"['𒁹', 'X']",𒁹X,{⸢1⸣}[x],"['damaged', 'missing']",0.75,,,,,P225213,17,2,witness
4665,P225213.17.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,17,3,witness
4666,P225213.17.4,u,(x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,17,4,witness
4667,P225213.17.5,u,x)],u,['X'],X,[x],['missing'],1.0,,,,,P225213,17,5,witness
4668,P225213.17.6,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225213,17,6,witness
4669,P225213.17.7,Nabu-eriba[1]PN,{1}{d}⸢PA⸣-SU,PN,"['𒁹', '𒀭', '𒉺', '𒋢']",𒁹𒀭𒉺𒋢,{1}{d}⸢PA⸣-SU,"['complete', 'complete', 'damaged', 'complete']",0.12,Nabu-eriba,Nabu-eriba,1,PN,P225213,17,7,witness
4670,P225213.18.1,šību[witness]N,⸢IGI⸣,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,,P225213,18,1,witness
4671,P225213.18.2,+Kaššayu[]PN$Kaššaya,{1}kaš-ša-a.a,PN,"['𒁹', '𒁉', '𒊭', '𒀀', '𒀀']",𒁹𒁉𒊭𒀀𒀀,{1}kaš-ša-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kaššaya,Kaššayu,1,PN,P225213,18,2,witness
4672,P225213.18.3,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225213,18,3,witness
4673,P225213.18.4,Urdu-ahhešu[1]PN,{1}ARAD-PAB-MEŠ-šu₂,PN,"['𒁹', '𒀴', '𒉽', '𒈨𒌍', '𒋙']",𒁹𒀴𒉽𒈨𒌍𒋙,{1}ARAD-PAB-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Urdu-ahhešu,Urdu-ahhešu,1,PN,P225213,18,4,witness
4674,P225213.19.1,šību[witness]N,⸢IGI⸣,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,,P225213,19,1,witness
4675,P225213.19.2,Nabu-šezibanni[1]PN,{1}{d}PA-še-zib-[a]-ni,PN,"['𒁹', '𒀭', '𒉺', '𒊺', '𒍦', '𒀀', '𒉌']",𒁹𒀭𒉺𒊺𒍦𒀀𒉌,{1}{d}PA-še-zib-[a]-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'missing', 'complete']",0.14,Nabu-šezibanni,Nabu-šezibanni,1,PN,P225213,19,2,witness
4676,P225213.19.3,ṣābit[one who seizes]N,⸢ṣa-bit⸣,N,"['𒍝', '𒂍']",𒍝𒂍,⸢ṣa-bit⸣,"['damaged', 'damaged']",0.5,ṣābit,ṣābitu,one who seizes,,P225213,19,3,witness
4677,P225213.19.4,+ṭuppu[tablet//tablet]N'N$tuppi,ṭup-⸢pi⸣,N,"['𒁾', '𒉿']",𒁾𒉿,ṭup-⸢pi⸣,"['complete', 'damaged']",0.25,tuppi,ṭuppu,tablet,,P225213,19,4,witness
4678,P225213.20.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,20,1,none
4679,P225213.20.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,20,2,none
4680,P225213.20.3,limme[eponym (of year)]N,lim]-me,N,"['𒅆', '𒈨']",𒅆𒈨,[lim]-me,"['missing', 'complete']",0.5,limme,līmu,eponym (of year),,P225213,20,3,date
4681,P225213.20.4,Šamaš-kenu-dugul[1]PN,{1}{d}UTU-GIN-⸢du-gul⸣,PN,"['𒁹', '𒀭', '𒌓', '𒁺', '𒁺', '𒄢']",𒁹𒀭𒌓𒁺𒁺𒄢,{1}{d}UTU-GIN-⸢du-gul⸣,"['complete', 'complete', 'complete', 'complete', 'damaged', 'damaged']",0.17,Šamaš-kenu-dugul,Šamaš-kenu-dugul,1,PN,P225213,20,4,date
4682,P225213.22.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,22,1,none
4683,P225213.22.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,22,2,none
4684,P225213.22.3,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P225213,22,3,none
4685,P225213.22.4,u,x,u,['X'],X,x,['complete'],0.0,,,,,P225213,22,4,none
4686,P225213.22.5,u,x,u,['X'],X,x,['complete'],0.0,,,,,P225213,22,5,none
4687,P225213.22.6,u,x,u,['X'],X,x,['complete'],0.0,,,,,P225213,22,6,none
