Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
11047,P336926.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P336926,2,1,,seal identification
11048,P336926.2.2,%akk-x-neoass:{1}man-nu-GIM-{URU}arba-il₃=,{1}man]-nu-GIM-{uru}arba-il₃,"['𒁹', '𒌋𒌋', '𒉡', '𒁶', '𒌷', '𒇹', '𒀭']",𒁹𒌋𒌋𒉡𒁶𒌷𒇹𒀭,{[1]}[man]-nu-GIM-{URU}arba-il₃,"['missing', 'missing', 'complete', 'complete', 'complete', 'complete', 'complete']",0.29,,P336926,2,2,,seal identification
11049,P336926.3.1,%akk-x-neoass:EN=,[EN,['𒂗'],𒂗,[EN],['missing'],1.0,,P336926,3,1,,seal identification
11050,P336926.3.2,%akk-x-neoass:UN-MEŠ=,UN]-⸢MEŠ⸣,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,[UN]-⸢MEŠ⸣,"['missing', 'damaged']",0.75,,P336926,3,2,,seal identification
11051,P336926.3.3,%akk-x-neoass:na-da-ni=,na-da-ni,"['𒈾', '𒁕', '𒉌']",𒈾𒁕𒉌,na-da-ni,"['complete', 'complete', 'complete']",0.0,,P336926,3,3,,seal identification
11052,P336926.6.1,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P336926,6,1,,none
11053,P336926.6.2,%akk-x-neoass:x+x-ba-DINGIR=,x]+x-ba-DINGIR,"['X', 'X', '𒁀', '𒀭']",XX𒁀𒀭,[x]+x-ba-DINGIR,"['missing', 'complete', 'complete', 'complete']",0.25,,P336926,6,2,,none
11054,P336926.6.3,%akk-x-neoass:MI₂-šu₂=,MI₂-šu₂,"['𒊩', '𒋙']",𒊩𒋙,MI₂-šu₂,"['complete', 'complete']",0.0,,P336926,6,3,,none
11055,P336926.6.4,%akk-x-neoass:DUMU-MEŠ-šu₂=,DUMU-MEŠ-šu₂,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU-MEŠ-šu₂,"['complete', 'complete', 'complete']",0.0,,P336926,6,4,,none
11056,P336926.7.1,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P336926,7,1,,none
11057,P336926.7.2,%akk-x-neoass:x+x-{d}UTU=,x]+x-{d}UTU,"['X', 'X', '𒀭', '𒌓']",XX𒀭𒌓,[x]+x-{d}UTU,"['missing', 'complete', 'complete', 'complete']",0.25,,P336926,7,2,,none
11058,P336926.7.3,%akk-x-neoass:{MI₂}15-ku-lit-ti=,{mi₂}15-ku-lit-ti,"['𒊩', '𒌋𒐊', '𒆪', '𒀖', '𒋾']",𒊩𒌋𒐊𒆪𒀖𒋾,{MI₂}15-ku-lit-ti,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336926,7,3,,none
11059,P336926.8.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P336926,8,1,,none
11060,P336926.8.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336926,8,2,,none
11061,P336926.8.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336926,8,3,,none
11062,P336926.8.4,%akk-x-neoass:x+x=,x]+x,"['X', 'X']",XX,[x]+x,"['missing', 'complete']",0.5,,P336926,8,4,,none
11063,P336926.8.5,%akk-x-neoass:x-MEŠ=,x-MEŠ,"['X', '𒈨𒌍']",X𒈨𒌍,x-MEŠ,"['complete', 'complete']",0.0,,P336926,8,5,,none
