Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
13998,P527292.2.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,,P527292,2,1,seal identification
13999,P527292.2.2,+Nusku-x-x[]PN$,{m}{d]}⸢nusku⸣-[x-x],Nusku-x-x,Nusku-x-x,1,PN,"['𒁹', '𒀭', '𒉺𒌆', 'X', 'X']",𒁹𒀭𒉺𒌆XX,{[m]}{[d]}⸢nusku⸣-[x-x],"['missing', 'missing', 'damaged', 'missing', 'missing']",0.9,PN,,P527292,2,2,seal identification
14000,P527292.3.1,mār[son]N,DUMU,mār,māru,son,N,['𒌉'],𒌉,DUMU,['complete'],0.0,,,P527292,3,1,seal identification
14001,P527292.3.2,+Nergal-šumu-x[]PN$,{m}U.GUR-MU-[x],Nergal-šumu-x,Nergal-šumu-x,1,PN,"['𒁹', '𒌋', '𒄥', '𒈬', 'X']",𒁹𒌋𒄥𒈬X,{m}U.GUR-MU-[x],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,PN,,P527292,3,2,seal identification
14002,P527292.4.1,X,TA,,,,X,['𒋫'],𒋫,TA,['complete'],0.0,,,P527292,4,1,seal identification
14003,P527292.4.2,X,ŠA₃-bi,,,,X,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,,,P527292,4,2,seal identification
14004,P527292.4.3,x[1]SN,{uru}x-[x-x-x],x,x,1,SN,"['𒌷', 'X', 'X', 'X', 'X']",𒌷XXXX,{URU}x-[x-x-x],"['complete', 'complete', 'missing', 'missing', 'missing']",0.6,SN,,P527292,4,3,seal identification
14005,P527292.8.1,bēl[owner]N,[EN,bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,,P527292,8,1,seal identification
14006,P527292.8.2,u,x].⸢MEŠ,,,,u,"['X', '𒈨𒌍']",X𒈨𒌍,[x].⸢MEŠ⸣,"['missing', 'damaged']",0.75,,,P527292,8,2,seal identification
14007,P527292.8.3,X,SUM⸣-[an],,,,X,"['𒋧', '𒀭']",𒋧𒀭,⸢SUM⸣-[an],"['damaged', 'missing']",0.75,,,P527292,8,3,seal identification
