Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
14327,P335498.2.1,[ina],ina[in+=for]PRP,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,,P335498,2,1,price
14328,P335498.2.2,ŠA₃-bi,libbi[interior]N,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,,,P335498,2,2,price
14329,P335498.2.3,55,n,n,['𒐐𒐊'],𒐐𒐊,55,['complete'],0.0,,,,NUMBER,,P335498,2,3,price
14330,P335498.2.4,[GIN₂,šiqlī[a unit of weight]N,N,['𒂆'],𒂆,[GIN₂],['missing'],1.0,šiqlī,šiqlu,a unit of weight,,,P335498,2,4,price
14331,P335498.2.5,KUG.UD,ṣarpu[silver]N,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,ṣarpu,ṣarpu,silver,,,P335498,2,5,price
14332,P335498.2.6,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,2,6,none
14333,P335498.2.7,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,2,7,none
14334,P335498.2.8,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,2,8,none
14335,P335498.2.9,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,2,9,none
14336,P335498.3.1,[il]-⸢qi⸣,ilqi[purchase]V,V,"['𒅋', '𒆥']",𒅋𒆥,[il]-⸢qi⸣,"['missing', 'damaged']",0.75,ilqi,leqû,purchase,,,P335498,3,1,completion of transaction
14337,P335498.3.2,kas-pu,kaspu[money]N,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,,,P335498,3,2,confirmation of transfer 1
14338,P335498.3.3,ga-[mur,gammur[completed]AJ,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-[mur],"['complete', 'missing']",0.5,gammur,gammuru,completed,,,P335498,3,3,confirmation of transfer 1
14339,P335498.3.4,ta-din],tadin[paid]AJ,AJ,"['𒋫', '𒁷']",𒋫𒁷,[ta-din],"['missing', 'missing']",1.0,tadin,tadnu,paid,,,P335498,3,4,confirmation of transfer 1
14340,P335498.4.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,4,1,none
14341,P335498.4.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,4,2,none
14342,P335498.4.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,4,3,none
14343,P335498.4.4,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,4,4,none
14344,P335498.4.5,šu-a-tu,šuātu[that]'DP,IP,"['𒋗', '𒀀', '𒌅']",𒋗𒀀𒌅,šu-a-tu,"['complete', 'complete', 'complete']",0.0,šuātu,šuāti,that,,,P335498,4,5,confirmation of transfer 2
14345,P335498.4.6,za-rip,zarip[purchased]AJ,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,zarip,zarpu,purchased,,,P335498,4,6,confirmation of transfer 2
14346,P335498.4.7,⸢la⸣-[qi],laqi[acquired]AJ,AJ,"['𒆷', '𒆥']",𒆷𒆥,⸢la⸣-[qi],"['damaged', 'missing']",0.75,laqi,leqû,acquired,,,P335498,4,7,confirmation of transfer 2
14347,P335498.5.1,[tu-a]-⸢ru⸣,tuāru[revocation]'N,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,[tu-a]-⸢ru⸣,"['missing', 'missing', 'damaged']",0.83,tuāru,târu,revocation,,,P335498,5,1,exclusion of litigation
14348,P335498.5.2,de-nu,dēnu[lawsuit]N,N,"['𒁲', '𒉡']",𒁲𒉡,de-nu,"['complete', 'complete']",0.0,dēnu,dīnu,lawsuit,,,P335498,5,2,exclusion of litigation
14349,P335498.5.3,⸢DUG₄⸣.[DUG₄,dabābu[litigation]'N,V,"['𒅗', '𒅗']",𒅗𒅗,⸢DUG₄⸣.[DUG₄],"['damaged', 'missing']",0.75,dabābu,dabābu,litigation,,,P335498,5,3,exclusion of litigation
14350,P335498.5.4,la-šu₂],laššu[(there) is not]V,V,"['𒆷', '𒋙']",𒆷𒋙,[la-šu₂],"['missing', 'missing']",1.0,laššu,laššu,(there) is not,,,P335498,5,4,exclusion of litigation
14351,P335498.6.1,[man-nu,mannu[whoever]'XP,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man-nu],"['missing', 'missing']",1.0,mannu,mannu,whoever,,,P335498,6,1,penalties for litigation: contravention
14352,P335498.6.2,ša,ša[that]REL,REL,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,that,,,P335498,6,2,penalties for litigation: contravention
14353,P335498.6.3,ina],ina[in+=in the future]PRP,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,,P335498,6,3,penalties for litigation: contravention
14354,P335498.6.4,⸢ur⸣-kiš,urkiš[later]AV,AV,"['𒌨', '𒆧']",𒌨𒆧,⸢ur⸣-kiš,"['damaged', 'complete']",0.25,urkiš,urkiš,later,,,P335498,6,4,penalties for litigation: contravention
14355,P335498.6.5,ina,ina[in+=whenever]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,,P335498,6,5,penalties for litigation: contravention
14356,P335498.6.6,[ma-te-ma],matēma[ever]AV,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,[ma-te-ma],"['missing', 'missing', 'missing']",1.0,matēma,matīma,ever,,,P335498,6,6,penalties for litigation: contravention
14357,P335498.10.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,10,1,none
14358,P335498.10.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,10,2,none
14359,P335498.10.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335498,10,3,none
