Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
1010,P336930.3.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P336930,3,1,,none
1011,P336930.3.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,3,2,,none
1012,P336930.3.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,3,3,,none
1013,P336930.3.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,3,4,,none
1014,P336930.3.5,%akk-x-neoass:x+x-mu=,x]+x-⸢mu⸣,"['X', 'X', '𒈬']",XX𒈬,[x]+x-⸢mu⸣,"['missing', 'complete', 'damaged']",0.5,,P336930,3,5,,none
1015,P336930.4.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P336930,4,1,,none
1016,P336930.4.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,4,2,,none
1017,P336930.4.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,4,3,,none
1018,P336930.4.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,4,4,,none
1019,P336930.4.5,%akk-x-neoass:x+x-ME=,x]+x-⸢ME,"['X', 'X', '𒈨']",XX𒈨,[x]+x-⸢ME⸣,"['missing', 'complete', 'damaged']",0.5,,P336930,4,5,,none
1020,P336930.4.6,%akk-x-neoass:x=,x,['X'],X,⸢x⸣,['damaged'],0.5,,P336930,4,6,,none
1021,P336930.4.7,%akk-x-neoass:x=,x⸣,['X'],X,⸢x⸣,['damaged'],0.5,,P336930,4,7,,none
1022,P336930.5.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P336930,5,1,,none
1023,P336930.5.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,5,2,,none
1024,P336930.5.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,5,3,,none
1025,P336930.5.4,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P336930,5,4,,none
1026,P336930.5.5,%akk-x-neoass:za-ar-pu=,⸢za⸣-ar-⸢pu,"['𒍝', '𒅈', '𒁍']",𒍝𒅈𒁍,⸢za⸣-ar-⸢pu⸣,"['damaged', 'complete', 'damaged']",0.33,,P336930,5,5,,confirmation of transfer 2
1027,P336930.5.6,%akk-x-neoass:TI-u=,TI⸣-u,"['𒋾', '𒌋']",𒋾𒌋,⸢TI⸣-u,"['damaged', 'complete']",0.25,,P336930,5,6,,confirmation of transfer 2
1028,P336930.6.1,%akk-x-neoass:man-nu=,[man-nu,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man-nu],"['missing', 'missing']",1.0,,P336930,6,1,,penalties for litigation: contravention
1029,P336930.6.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,[ša],['missing'],1.0,,P336930,6,2,,penalties for litigation: contravention
1030,P336930.6.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,6,3,,penalties for litigation: contravention
1031,P336930.6.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,6,4,,penalties for litigation: contravention
1032,P336930.6.5,%akk-x-neoass:x-ni=,x]-ni,"['X', '𒉌']",X𒉌,[x]-ni,"['missing', 'complete']",0.5,,P336930,6,5,,penalties for litigation: contravention
1033,P336930.7.1,%akk-x-neoass:lu=,[lu,['𒇻'],𒇻,[lu],['missing'],1.0,,P336930,7,1,,penalties for litigation: contravention
1034,P336930.7.2,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P336930,7,2,,penalties for litigation: contravention
1035,P336930.7.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,7,3,,penalties for litigation: contravention
1036,P336930.7.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336930,7,4,,penalties for litigation: contravention
