Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
1918,P337051.4.1,%akk-x-neoass:E₂=,[E₂,['𒂍'],𒂍,[E₂],['missing'],1.0,,P337051,4,1,,object sold
1919,P337051.4.2,%akk-x-neoass:ep-šu=,ep-šu,"['𒅁', '𒋗']",𒅁𒋗,[ep-šu],"['missing', 'missing']",1.0,,P337051,4,2,,object sold
1920,P337051.4.3,%akk-x-neoass:a-di=,a-di],"['𒀀', '𒁲']",𒀀𒁲,[a-di],"['missing', 'missing']",1.0,,P337051,4,3,,object sold
1921,P337051.4.4,%akk-x-neoass:GIŠ.UR₃-MEŠ-šu₂=,⸢GIŠ.UR₃⸣-MEŠ-(šu₂),"['𒄑', '𒃡', '𒈨𒌍', '𒋙']",𒄑𒃡𒈨𒌍𒋙,⸢GIŠ⸣.⸢UR₃⸣-MEŠ-šu₂,"['damaged', 'damaged', 'complete', 'complete']",0.25,,P337051,4,4,,object sold
1922,P337051.4.5,%akk-x-neoass:IG-šu₂=,IG-šu₂,"['𒅅', '𒋙']",𒅅𒋙,IG-šu₂,"['complete', 'complete']",0.0,,P337051,4,5,,object sold
1923,P337051.5.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337051,5,1,,object sold
1924,P337051.5.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,5,2,,object sold
1925,P337051.5.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,5,3,,object sold
1926,P337051.5.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,5,4,,object sold
1927,P337051.5.5,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,5,5,,object sold
1928,P337051.5.6,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337051,5,6,,object sold
1929,P337051.5.7,%akk-x-neoass:ŠA₃-URU=,ŠA₃-URU,"['𒊮', '𒌷']",𒊮𒌷,ŠA₃-URU,"['complete', 'complete']",0.0,,P337051,5,7,,object sold
1930,P337051.6.1,%akk-x-neoass:SUHUR=,[SUHUR,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,P337051,6,1,,object sold
1931,P337051.6.2,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P337051,6,2,,object sold
1932,P337051.6.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,6,3,,object sold
1933,P337051.6.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,6,4,,object sold
1934,P337051.6.5,%akk-x-neoass:{LU₂}ša₂-UGU-E₂=,{lu₂}ša₂]-⸢UGU⸣-E₂,"['𒇽', '𒃻', '𒌋𒅗', '𒂍']",𒇽𒃻𒌋𒅗𒂍,{[LU₂]}[ša₂]-⸢UGU⸣-E₂,"['missing', 'missing', 'damaged', 'complete']",0.62,,P337051,6,5,,object sold
1935,P337051.6.6,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P337051,6,6,,object sold
1936,P337051.6.7,%akk-x-neoass:{LU₂}tur-ta-ni=,{lu₂}tur-ta-ni,"['𒇽', '𒌉', '𒋫', '𒉌']",𒇽𒌉𒋫𒉌,{LU₂}tur-ta-ni,"['complete', 'complete', 'complete', 'complete']",0.0,,P337051,6,7,,object sold
1937,P337051.7.1,%akk-x-neoass:SUHUR=,[SUHUR,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,P337051,7,1,,object sold
1938,P337051.7.2,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P337051,7,2,,object sold
1939,P337051.7.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,7,3,,object sold
1940,P337051.7.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,7,4,,object sold
1941,P337051.7.5,%akk-x-neoass:{LU₂}ša₂-UGU-E₂-MAN-MEŠ-ni=,{lu₂]}⸢ša₂⸣-UGU-E₂-MAN-MEŠ-ni,"['𒇽', '𒃻', '𒌋𒅗', '𒂍', '𒌋𒌋', '𒈨𒌍', '𒉌']",𒇽𒃻𒌋𒅗𒂍𒌋𒌋𒈨𒌍𒉌,{[LU₂]}⸢ša₂⸣-UGU-E₂-MAN-MEŠ-ni,"['missing', 'damaged', 'complete', 'complete', 'complete', 'complete', 'complete']",0.21,,P337051,7,5,,object sold
1942,P337051.8.1,%akk-x-neoass:SUHUR=,[SUHUR,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,P337051,8,1,,object sold
1943,P337051.8.2,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P337051,8,2,,object sold
1944,P337051.8.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337051,8,3,,object sold
1945,P337051.8.4,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337051,8,4,,object sold
1946,P337051.8.5,%akk-x-neoass:{LU₂}NAGAR=,{⸢lu₂⸣}NAGAR,"['𒇽', '𒉄']",𒇽𒉄,{⸢LU₂⸣}NAGAR,"['damaged', 'complete']",0.25,,P337051,8,5,,object sold
