Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
280,P337083.2.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337083,2,1,,none
281,P337083.2.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,2,2,,none
282,P337083.2.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,2,3,,none
283,P337083.2.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,2,4,,none
284,P337083.2.5,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337083,2,5,,none
285,P337083.2.6,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,,P337083,2,6,,none
286,P337083.2.7,%akk-x-neoass:IGI=,IGI,['𒅆'],𒅆,IGI,['complete'],0.0,,P337083,2,7,,none
287,P337083.2.8,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337083,2,8,,none
288,P337083.2.9,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,2,9,,none
289,P337083.2.10,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,2,10,,none
290,P337083.2.11,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337083,2,11,,none
291,P337083.3.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337083,3,1,,none
292,P337083.3.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,3,2,,none
293,P337083.3.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337083,3,3,,none
294,P337083.3.4,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337083,3,4,,none
295,P337083.3.5,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,,P337083,3,5,,price
296,P337083.3.6,%akk-x-neoass:ŠA₃=,ŠA₃,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,P337083,3,6,,price
297,P337083.3.7,%akk-x-neoass:30=,30,['𒌍'],𒌍,30,['complete'],0.0,,P337083,3,7,,price
298,P337083.3.8,%akk-x-neoass:GIN₂-MEŠ=,[GIN₂-MEŠ,"['𒂆', '𒈨𒌍']",𒂆𒈨𒌍,[GIN₂-MEŠ],"['missing', 'missing']",1.0,,P337083,3,8,,price
299,P337083.3.9,%akk-x-neoass:KU₃.BABBAR=,KU₃.BABBAR],"['𒆬', '𒌓']",𒆬𒌓,[KU₃].[BABBAR],"['missing', 'missing']",1.0,,P337083,3,9,,price
300,P337083.4.1,%akk-x-neoass:il-qi=,[il-qi,"['𒅋', '𒆥']",𒅋𒆥,[il-qi],"['missing', 'missing']",1.0,,P337083,4,1,,completion of transaction
301,P337083.4.2,%akk-x-neoass:kas-pu=,kas-pu],"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,,P337083,4,2,,confirmation of transfer 1
302,P337083.4.3,%akk-x-neoass:ga-mur=,ga-mur,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,,P337083,4,3,,confirmation of transfer 1
303,P337083.4.4,%akk-x-neoass:ta-din=,[ta-din],"['𒋫', '𒁷']",𒋫𒁷,[ta-din],"['missing', 'missing']",1.0,,P337083,4,4,,confirmation of transfer 1
304,P337083.5.1,%akk-x-neoass:GEME₂=,[GEME₂,['𒊩𒆳'],𒊩𒆳,[GEME₂],['missing'],1.0,,P337083,5,1,,confirmation of transfer 2
305,P337083.5.2,%akk-x-neoass:šu-a-te=,šu-a]-te,"['𒋗', '𒀀', '𒋼']",𒋗𒀀𒋼,[šu-a]-te,"['missing', 'missing', 'complete']",0.67,,P337083,5,2,,confirmation of transfer 2
306,P337083.5.3,%akk-x-neoass:zar-pat=,⸢zar⸣-pat,"['𒇡', '𒉻']",𒇡𒉻,⸢zar⸣-pat,"['damaged', 'complete']",0.25,,P337083,5,3,,confirmation of transfer 2
307,P337083.5.4,%akk-x-neoass:la-qi-at=,la-[qi-at],"['𒆷', '𒆥', '𒀜']",𒆷𒆥𒀜,la-[qi-at],"['complete', 'missing', 'missing']",0.67,,P337083,5,4,,confirmation of transfer 2
308,P337083.6.1,%akk-x-neoass:de-e-nu=,[de-e-nu],"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,[de-e-nu],"['missing', 'missing', 'missing']",1.0,,P337083,6,1,,exclusion of litigation
309,P337083.6.2,%akk-x-neoass:DUG₄.DUG₄=,⸢DUG₄⸣.DUG₄,"['𒅗', '𒅗']",𒅗𒅗,⸢DUG₄⸣.DUG₄,"['damaged', 'complete']",0.25,,P337083,6,2,,exclusion of litigation
310,P337083.6.3,%akk-x-neoass:la-aš₂-šu₂=,[la-aš₂-šu₂],"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,[la-aš₂-šu₂],"['missing', 'missing', 'missing']",1.0,,P337083,6,3,,exclusion of litigation
